"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-04-30",1,1,0,0
"2","2020-05-07",1,2,0,0
"3","2020-05-15",1,3,0,0
"4","2020-05-27",1,4,0,0
"5","2020-06-03",1,5,0,0
"6","2020-06-04",1,6,0,0
"7","2020-06-06",1,7,0,0
"8","2020-06-07",2,9,1.28571428571429,5.28571428571429
"9","2020-06-08",1,10,1.28571428571429,6.57142857142857
"10","2020-06-09",1,11,1.28571428571429,7.85714285714286
"11","2020-06-10",2,13,1.42857142857143,9.28571428571429
"12","2020-06-12",4,17,1.85714285714286,11.1428571428571
"13","2020-06-16",1,18,1.85714285714286,13
"14","2020-06-18",1,19,1.85714285714286,14.8571428571429
"15","2020-06-19",1,20,1.85714285714286,16.7142857142857
"16","2020-06-20",1,21,1.71428571428571,18.4285714285714
"17","2020-06-23",1,22,1.71428571428571,20.1428571428571
"18","2020-06-24",3,25,2,22.1428571428571
"19","2020-06-25",2,27,2,24.1428571428571
"20","2020-06-26",1,28,1.57142857142857,25.7142857142857
"21","2020-06-27",1,29,1.57142857142857,27.2857142857143
"22","2020-06-29",1,30,1.57142857142857,28.8571428571429
"23","2020-07-01",1,31,1.57142857142857,30.4285714285714
"24","2020-07-02",3,34,1.85714285714286,32.2857142857143
"25","2020-07-03",2,36,2,34.2857142857143
"26","2020-07-05",1,37,1.71428571428571,36
"27","2020-07-06",1,38,1.57142857142857,37.5714285714286
"28","2020-07-07",1,39,1.57142857142857,39.1428571428571
"29","2020-07-08",1,40,1.57142857142857,40.7142857142857
"30","2020-07-09",1,41,1.57142857142857,42.2857142857143
"31","9999-99-99",505,546,73.5714285714286,115.857142857143
