"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.93456500490734,0.517034245771851,1.05764469018085,1.16957409529943,1.56541930254177,1.88870401335398,2.2538023688129,2.85604931681327,3.07186757060751
"2",3,9,3.3442526990846,0.610574213762058,2.25635325259894,2.40719077712848,2.91472895426208,3.30716863073795,3.73338220162976,4.40783343837245,4.64280790059097
"3",4,10,1.92075814365647,0.350680854264132,1.2959274537123,1.38256038180663,1.67406290110273,1.89945905752693,2.14425311494114,2.5316214815204,2.66657812279965
"4",5,11,1.78100049875392,0.301044029839097,1.2405321033686,1.31639542871958,1.56978223480106,1.76406760810993,1.97377230834651,2.30337368074751,2.41766197766142
"5",6,12,1.61023472139587,0.261214564858935,1.13949792516557,1.20597717465694,1.42721008257675,1.59613209460066,1.77789532448945,2.06260411402499,2.16108865241962
"6",7,13,1.4692592387337,0.232310283382179,1.04966034102677,1.10913421954211,1.30662158137307,1.45703371665823,1.6185774427157,1.87109197951308,1.95831260315865
"7",8,14,1.42262019417277,0.21694754573764,1.02955728846819,1.08554651930435,1.27091129864823,1.4116074579664,1.56233044042012,1.79726379765621,1.87824900934404
"8",9,15,1.20307572199591,0.19022297395793,0.859494934140842,0.908194018310909,1.06990288775768,1.19306507961914,1.32534216846562,1.53210902121912,1.60352801386454
"9",10,16,0.730526681999452,0.14610533639989,0.472758350776781,0.507924268690848,0.62740676009047,0.720809752778499,0.823064029776667,0.986281246953024,1.04348716436165
"10",11,17,0.806431198723112,0.164612079127717,0.51669568552805,0.55606921368523,0.690161070303127,0.795258842941365,0.910534158065595,1.0949112768461,1.15962430411103
"11",12,18,0.815447424292661,0.173853975009533,0.511036559370634,0.552048215040126,0.692447019704898,0.803125994801816,0.92503050011023,1.12088598142052,1.18983900889645
"12",13,19,0.718450736727242,0.169340462629435,0.425799439613368,0.464370813673399,0.598170888068056,0.705190787122204,0.824294805818779,1.01777447994471,1.08640315875593
"13",14,20,0.709917173310924,0.177479293327731,0.405779003771032,0.445293627177925,0.583554282224159,0.695183265858526,0.820242342507818,1.0248155669321,1.09771914052118
"14",15,21,0.738058359872938,0.190565849087803,0.413085661310804,0.454955434467562,0.60219676555864,0.721723443545602,0.856141362922589,1.07690025974905,1.15578074928125
"15",16,22,0.804016046540068,0.207596050555547,0.45000167784385,0.4956132057572,0.656012978116024,0.786221336040036,0.932651713361733,1.17313905842143,1.25906882060682
"16",17,23,0.852275315083633,0.220056540113506,0.477012024104444,0.525361282170973,0.69538869283615,0.833412516805538,0.988632050677671,1.24355411183105,1.33464161618717
"17",18,24,1.18479111583216,0.264927347413853,0.723701193558807,0.785199672858575,0.997010459526056,1.16510417781148,1.35113619188503,1.65155377204842,1.75768818553857
"18",19,25,0.995456348022189,0.234631311353895,0.589970520565194,0.643413459930671,0.82880144356436,0.977083896949318,1.14210961886109,1.41018724753648,1.5052763754149
"19",20,26,1.60848756316379,0.298688641995283,1.07722936529512,1.15067746112882,1.39824184640341,1.59003745690007,1.79863684842737,2.12924381902694,2.24454987873783
"20",21,27,1.61697434545482,0.273318549569601,1.12628187766571,1.19515836082181,1.4252088101042,1.60160093607909,1.79199230353861,2.09123812843985,2.19500072941879
"21",22,28,1.81238898949525,0.264364104543602,1.33167525924823,1.40054803547478,1.6277747955253,1.79955149954736,1.9830157576791,2.26802456751631,2.36603733547722
"22",23,29,1.78683514079415,0.23462294844608,1.3568188364002,1.41920556257684,1.62349149206276,1.7765765315855,1.93900017445904,2.18946085522031,2.27513748631684
"23",24,30,1.46857092981122,0.191191650050218,1.11794423461352,1.16886158130167,1.33549578546275,1.46028230402042,1.59261405034032,1.7965559862861,1.86629104504016
"24",25,31,1.53036123787719,0.184233843151239,1.1907123891518,1.24044612729557,1.40240021069015,1.52297457142776,1.65027262530481,1.84547480363327,1.9119801706457
"25",26,32,1.55229852158055,0.173552250781327,1.23087618611276,1.27827957399176,1.43198372644613,1.54583542400683,1.6655698046931,1.84836508614615,1.91044427696673
"26",27,33,1.32680416939398,0.149277131788337,1.05044335570279,1.09117719630755,1.22330188653372,1.32121005839706,1.42420998854567,1.58151439417643,1.6349507436924
"27",28,34,1.43422124654982,0.149527901426272,1.1561847489328,1.19744594542695,1.33073577450125,1.42902815320532,1.5320470434301,1.68871163923644,1.74176559422091
"28",29,35,1.2296097646723,0.131076841332994,0.986182987167953,1.02223843359576,1.13884622934374,1.2249553013919,1.31530070852749,1.45285881042008,1.49948365764611
"29",30,36,1.02553212836336,0.116870232526167,0.809333918172512,0.841161714229102,0.944473371793846,1.02109602822615,1.10175645958209,1.22503548493864,1.26693617110595
"30",31,37,1.10207881943397,0.12245320215933,0.875209662866428,0.908687566414616,1.01720138509634,1.09754684863055,1.18201727403268,1.31093000870849,1.35469875460228
"31",32,38,1.0886852621999,0.120965029133323,0.864573245121437,0.89764429191007,1.00483934280897,1.08420836841028,1.16765222524285,1.29499828423301,1.33823510882239
"32",33,39,1.297957439536,0.131113501026776,1.05374458942442,1.09008274516098,1.20728254642996,1.29354529784908,1.38382369898432,1.52088312936156,1.56724088070478
"33",34,40,1.27748549183601,0.124669818467346,1.04485656782261,1.07956797652237,1.19133387711578,1.27343227912668,1.35921958526431,1.48922955108261,1.53314570678996
"34",35,41,1.26072738843557,0.119127540744587,1.03807903162898,1.07138497098409,1.17846391503908,1.25697721533784,1.338903560048,1.46286256480876,1.50468525659801
"35",36,42,1.10408165507296,0.107747336772684,0.903029409013065,0.933029146632055,1.02962412269752,1.10057861897189,1.17472129342885,1.28708391449498,1.32503896148979
"36",37,43,1.11832427379545,0.107610803419516,0.917383077702051,0.947399560067217,1.04398422182661,1.11487455596575,1.18890451873074,1.30101684011844,1.33886762954374
"37",38,44,1.0539938741589,0.103352602529682,0.861189372348506,0.889947467246186,0.98256566471168,1.05061762031969,1.12174237521917,1.22955755084015,1.26598300785277
"38",39,45,1.36326917532606,0.117331529165238,1.14301235509282,1.17618514791825,1.28240326675443,1.35990456016861,1.44046786818544,1.5618306385474,1.60264503099928
"39",40,46,1.0617293571781,0.0981569137941295,0.878079105875775,0.905596771233874,0.993978866249064,1.05870602406338,1.12618469708835,1.22817525243909,1.26255909927265
"40",41,47,1.03589886814526,0.0965980675396158,0.855240756190182,0.882292560381584,0.969212077955204,1.0328978148823,1.09931480181082,1.19974249123627,1.23360983779652
"41",42,48,1.01472632283837,0.0958826249650491,0.835522515210536,0.862329589983799,0.948514616303535,1.01170790712665,1.077648267647,1.17741961095039,1.21108159580119
"42",43,49,1.11264551826389,0.100734192076886,0.923984855001388,0.952297008541028,1.04314675404189,1.10960698424013,1.17883253637704,1.28335917239569,1.31857212542019
"43",44,50,1.07997828502239,0.0977766397442218,0.896856692190793,0.924337601899342,1.01252000207099,1.07702896225059,1.14422205461409,1.24567979227947,1.27985889424298
"44",45,51,1.12854799908013,0.0989802072766131,0.942898890346951,0.970822654447074,1.06030401273035,1.12565560904024,1.19363948624167,1.29613993128108,1.33063271924787
"45",46,52,1.04845848905994,0.0937769781249901,0.872727612079233,0.899122648454502,0.983775983449544,1.04566392908836,1.11009514551435,1.20732721226171,1.24006900933015
"46",47,53,1.05768716788873,0.0938545593351962,0.881746136407025,0.908187786354129,0.992961732987347,1.05491238515244,1.11938830021945,1.21665196116668,1.24939548692612
"47",48,54,1.10493555204724,0.0954518935715918,0.925781408177893,0.952756807077511,1.03914437701785,1.10218817498106,1.16773226540147,1.26648620182561,1.29970133651156
"48",49,55,1.09850121835117,0.0938512927909511,0.922264213218468,0.948820617101145,1.03382757906317,1.09582962517513,1.16026298417687,1.25729520124081,1.28991926275407
"49",50,56,0.984793360454744,0.0877323655140816,0.820359168806146,0.845064500875621,0.924285089766293,0.982189315857394,1.04246342439068,1.13340520823253,1.16402463398044
"50",51,57,1.0232024561655,0.0900879529885518,0.854261647125517,0.879665361411885,0.961084538085195,1.0205597401647,1.08244000605455,1.17575444743832,1.20716012661948
"51",52,58,1.22138612439141,0.0984220986976555,1.03610054313924,1.06412886889679,1.15363961808225,1.21874345118856,1.28625222323801,1.38765807157223,1.42168856406703
"52",53,59,0.969214411696929,0.0846806563273948,0.810358096984753,0.834258355884177,0.910834091777375,0.966749335985882,1.02490797087861,1.1125793880294,1.14207819298073
"53",54,60,1.08518961298344,0.0904324677486201,0.915187283818546,0.940847337951991,1.02290245729468,1.08267863636309,1.14473993443199,1.23809735611117,1.26946035956478
"54",55,61,1.10872319882131,0.0905268701032855,0.938394941786607,0.964138760035968,1.04639558160427,1.10626034522572,1.16836641572709,1.26170893586398,1.29304646755671
"55",56,62,1.05278796945162,0.0868324882232131,0.889480874169284,0.914147182769252,0.992992322405285,1.05040165990407,1.10998265416295,1.19956895270394,1.22965509622032
"56",57,63,1.14133992306533,0.0899501870423918,0.971848177013267,0.997523489350784,1.07945064086876,1.13897777218119,1.20065453861805,1.2932141184167,1.32425452162208
"57",58,64,1.10351746614355,0.0867005203853222,0.940128467534335,0.964884098944765,1.0438675068192,1.10124768653123,1.1606934382201,1.24989349684857,1.27980442651965
"58",59,65,1.0936980853786,0.0851442804698722,0.933182427195849,0.95751656088465,1.03512872963468,1.0914893895859,1.14986002688562,1.23741390010134,1.2667646160523
"59",60,66,1.19292565277186,0.08794364589602,1.02677963894263,1.0520497336202,1.13248978543416,1.19076525296198,1.25100671218815,1.34117109125234,1.37134819562424
"60",61,67,1.17727529030271,0.0849625257208204,1.01663323969542,1.04109611132101,1.11890965092562,1.17523204161781,1.23341380303182,1.32042435648732,1.34952818894172
"61",62,68,1.21355585374164,0.0841449587750953,1.05422842252037,1.07854514255039,1.15579094283007,1.21161160774127,1.26920153013289,1.35519872246319,1.38393160217552
"62",63,69,1.24284220555043,0.0826726337503994,1.08607669023705,1.11005526226401,1.1861264387979,1.24100958638471,1.29756039329523,1.38188051561489,1.4100217611766
"63",64,70,1.15108195485493,0.0769098981993774,1.00526593982748,1.02756453106808,1.09831582475803,1.14936948917143,1.20198147656611,1.2804408832363,1.30662922122972
"64",65,71,1.16993657543812,0.0761563843364616,1.02542219316409,1.0475514527887,1.11770907846014,1.16828453821858,1.22036332211669,1.2979570645279,1.32383884551517
"65",66,72,1.23612741618079,0.0766613679922144,1.0904263965317,1.11279087172602,1.18359274268421,1.23454299915259,1.28693503062104,1.36486865268689,1.39083210892458
"66",67,73,1.25606490616762,0.0747975766784671,1.11372759457037,1.13561762367376,1.20483821463726,1.25458050827654,1.30567355082551,1.38157569205116,1.40683755009986
"67",68,74,1.27365341049282,0.0726912396332161,1.13515042902129,1.15649159515317,1.22389938796987,1.27227077502195,1.32190030053334,1.39553159530852,1.42001347155818
"68",69,75,1.17779964201222,0.06733032406215,1.04951719593064,1.06928211390799,1.13171388424344,1.1765168846268,1.2224871390849,1.29069284124556,1.31337159116938
"69",70,76,1.1952784295228,0.0664043571957111,1.0686568980437,1.0881901616242,1.1498444086129,1.19404894437058,1.2393722530071,1.30656064530068,1.32888675095815
"70",71,77,1.17071118406096,0.0641545776955591,1.048332769676,1.06722246097367,1.12682461536348,1.16953950976584,1.21332056940375,1.27819665228134,1.29974787393177
"71",72,78,1.13953512084682,0.0619825393346939,1.0212756486079,1.03953527673709,1.09713863057232,1.13841151619397,1.18070682478507,1.24336773692346,1.26417970672836
"72",73,79,1.1364328100488,0.0609191930327129,1.02015586505566,1.0381202546612,1.09477172746185,1.13534445843074,1.17690753151936,1.23845788275386,1.2588945427532
"73",74,80,1.11638651049232,0.0594192584457856,1.00295065811298,1.02048123940289,1.07575500850341,1.11533249830612,1.15586908206528,1.21588716160662,1.2358120126041
"74",75,81,1.09633210383213,0.0581054852922487,0.985391744639232,1.00253962729931,1.05660117422005,1.09530574669474,1.13494424789907,1.19362562479443,1.21310495879027
"75",76,82,1.13121870339554,0.0584158826555901,1.01960906774315,1.03687841049213,1.09128893856008,1.13021333471213,1.1700525575639,1.22898844371154,1.24854157369713
"76",77,83,1.09377994992648,0.0564825537397446,0.985864140782988,1.00256193829159,1.05517169844407,1.09280785487104,1.13132856094239,1.18831390816653,1.20721990881199
"77",78,84,1.09604521975266,0.0559323234043892,0.989147851922076,1.00569578297101,1.05781882767127,1.09509393857547,1.13323465818013,1.18963960315697,1.20834846203983
"78",79,85,1.06624137618418,0.0545536546562534,0.961985925528771,0.978123233147455,1.02895599131463,1.06531111805751,1.10251272411516,1.15753275364651,1.17578323205513
"79",80,86,1.06600195912062,0.0541879249125501,0.962428116816312,0.978463992956498,1.02896957460019,1.06508392417328,1.10203362989816,1.15667146426737,1.17479274785466
"80",81,87,1.02959828265568,0.0528869113506341,0.928538388873349,0.944178646360424,0.99345024830691,1.02869288499274,1.06475937994015,1.11810635135423,1.13580330501481
"81",82,88,1.05140753092039,0.0533771302256312,0.949380054146904,0.96517730626847,1.0149298405036,1.05050439793219,1.08690075147811,1.14071846188909,1.15856727071873
"82",83,89,1.03986389723153,0.0527910910157468,0.938956602483983,0.954580413112675,1.0037867033716,1.03897067993832,1.07496742994272,1.1281942639174,1.14584710676349
"83",84,90,1.05521615353653,0.0529597806306295,0.953956871664635,0.969642128149381,1.01902886367581,1.05433029417547,1.09043780150813,1.1438119616928,1.16150954075919
"84",85,91,0.993717614907268,0.0510438452476903,0.896179576719082,0.911274783877454,0.958829310330852,0.992843769620888,1.02765337637816,1.07914124896803,1.09622147810105
"85",86,92,1.00894276725421,0.0516220027867339,0.910289886926074,0.925559993834789,0.973661056912929,1.00806250015002,1.04326493385826,1.09532824906033,1.1125979673442
"86",87,93,0.983874412088779,0.051011511950868,0.886421821791435,0.901498244904774,0.949004062508953,0.982992944769833,1.01778391122404,1.06925738284988,1.08633613817884
"87",88,94,0.97870258149283,0.0510878589004468,0.881121481237796,0.896213710858276,0.943777007319215,0.977813803660168,1.01265933717722,1.06422319342613,1.08133435883181
"88",89,95,0.928733461690159,0.0500013287609812,0.83330675216653,0.848047216770732,0.894536870072047,0.92783628896742,0.961952087927907,1.0124800867721,1.02925854289978
"89",90,96,0.96403031477669,0.0516033596507517,0.865530747565558,0.880749491975757,0.928740761001805,0.963109716444548,0.998316367238619,1.05045142519033,1.06776137680165
"90",91,97,0.939054769985775,0.0512296376805852,0.841319269964903,0.856408056784151,0.90401194685451,0.938123332513691,0.973082279224411,1.02487874642592,1.04208335309259
"91",92,98,0.962621993866987,0.0523597338140509,0.862722335771596,0.87814715183512,0.926807569849342,0.961672829131772,0.997401779948947,1.05033456901065,1.06791547503398
"92",93,99,0.92956326714286,0.0517222837527354,0.830942181707735,0.846154950779518,0.894174009902824,0.928604141723026,0.963907032189901,1.016243296233,1.03363476979259
"93",94,100,0.861529426981508,0.0503310865322721,0.765696128331306,0.78044719022175,0.827068613992873,0.86054950096848,0.894922082151575,0.945954335737101,0.962931323903744
