"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-02-12",1,1,0,0
"2","2020-03-11",1,2,0,0
"3","2020-03-16",1,3,0,0
"4","2020-03-17",3,6,0,0
"5","2020-03-18",4,10,0,0
"6","2020-03-19",5,15,0,0
"7","2020-03-20",6,21,0,0
"8","2020-03-21",3,24,3.42857142857143,11.7142857142857
"9","2020-03-22",2,26,3.57142857142857,15.2857142857143
"10","2020-03-23",10,36,4.85714285714286,20.1428571428571
"11","2020-03-24",9,45,6,26.1428571428571
"12","2020-03-25",7,52,6.57142857142857,32.7142857142857
"13","2020-03-26",11,63,7.57142857142857,40.2857142857143
"14","2020-03-27",16,79,9.14285714285714,49.4285714285714
"15","2020-03-28",7,86,9.28571428571429,58.7142857142857
"16","2020-03-29",21,107,11.8571428571429,70.5714285714286
"17","2020-03-30",29,136,15.7142857142857,86.2857142857143
"18","2020-03-31",44,180,20.5714285714286,106.857142857143
"19","2020-04-01",65,245,28.5714285714286,135.428571428571
"20","2020-04-02",29,274,31.7142857142857,167.142857142857
"21","2020-04-03",38,312,35.5714285714286,202.714285714286
"22","2020-04-04",25,337,36.8571428571429,239.571428571429
"23","2020-04-05",20,357,38.7142857142857,278.285714285714
"24","2020-04-06",68,425,45.4285714285714,323.714285714286
"25","2020-04-07",41,466,47.1428571428571,370.857142857143
"26","2020-04-08",58,524,49.1428571428571,420
"27","2020-04-09",58,582,48.1428571428571,468.142857142857
"28","2020-04-10",48,630,50.8571428571429,519
"29","2020-04-11",33,663,50.1428571428571,569.142857142857
"30","2020-04-12",44,707,52.8571428571429,622
"31","2020-04-13",81,788,61.5714285714286,683.571428571429
"32","2020-04-14",103,891,66.5714285714286,750.142857142857
"33","2020-04-15",102,993,75.2857142857143,825.428571428571
"34","2020-04-16",85,1078,79.1428571428571,904.571428571429
"35","2020-04-17",99,1177,85,989.571428571429
"36","2020-04-18",46,1223,84.7142857142857,1074.28571428571
"37","2020-04-19",44,1267,86.2857142857143,1160.57142857143
"38","2020-04-20",110,1377,95.7142857142857,1256.28571428571
"39","2020-04-21",106,1483,99.2857142857143,1355.57142857143
"40","2020-04-22",92,1575,97.7142857142857,1453.28571428571
"41","2020-04-23",110,1685,98.8571428571429,1552.14285714286
"42","2020-04-24",85,1770,98.8571428571429,1651
"43","2020-04-25",44,1814,91,1742
"44","2020-04-26",68,1882,94.1428571428571,1836.14285714286
"45","2020-04-27",112,1994,103.857142857143,1940
"46","2020-04-28",97,2091,102,2042
"47","2020-04-29",109,2200,102.428571428571,2144.42857142857
"48","2020-04-30",90,2290,102.142857142857,2246.57142857143
"49","2020-05-01",91,2381,99.4285714285714,2346
"50","2020-05-02",78,2459,98.4285714285714,2444.42857142857
"51","2020-05-03",91,2550,105.142857142857,2549.57142857143
"52","2020-05-04",144,2694,116,2665.57142857143
"53","2020-05-05",140,2834,120,2785.57142857143
"54","2020-05-06",119,2953,123.142857142857,2908.71428571429
"55","2020-05-07",122,3075,125,3033.71428571429
"56","2020-05-08",142,3217,132.428571428571,3166.14285714286
"57","2020-05-09",75,3292,130.142857142857,3296.28571428571
"58","2020-05-10",69,3361,128.857142857143,3425.14285714286
"59","2020-05-11",131,3492,134.571428571429,3559.71428571429
"60","2020-05-12",125,3617,131.857142857143,3691.57142857143
"61","2020-05-13",125,3742,129.714285714286,3821.28571428571
"62","2020-05-14",112,3854,128.714285714286,3950
"63","2020-05-15",143,3997,131.714285714286,4081.71428571429
"64","2020-05-16",70,4067,121.428571428571,4203.14285714286
"65","2020-05-17",72,4139,121,4324.14285714286
"66","2020-05-18",215,4354,141.857142857143,4466
"67","2020-05-19",156,4510,145.428571428571,4611.42857142857
"68","2020-05-20",170,4680,151.857142857143,4763.28571428571
"69","2020-05-21",224,4904,166,4929.28571428571
"70","2020-05-22",206,5110,179.428571428571,5108.71428571429
"71","2020-05-23",66,5176,168.428571428571,5277.14285714286
"72","2020-05-24",78,5254,169.571428571429,5446.71428571429
"73","2020-05-25",136,5390,178.714285714286,5625.42857142857
"74","2020-05-26",134,5524,167.142857142857,5792.57142857143
"75","2020-05-27",124,5648,162.571428571429,5955.14285714286
"76","2020-05-28",116,5764,154.857142857143,6110
"77","2020-05-29",114,5878,139.142857142857,6249.14285714286
"78","2020-05-30",84,5962,121.714285714286,6370.85714285714
"79","2020-05-31",70,6032,122.285714285714,6493.14285714286
"80","2020-06-01",153,6185,133,6626.14285714286
"81","2020-06-02",164,6349,137,6763.14285714286
"82","2020-06-03",159,6508,140.571428571429,6903.71428571429
"83","2020-06-04",145,6653,143.571428571429,7047.28571428571
"84","2020-06-05",152,6805,148.714285714286,7196
"85","2020-06-06",100,6905,146.714285714286,7342.71428571429
"86","2020-06-07",67,6972,144.285714285714,7487
"87","2020-06-08",166,7138,158,7645
"88","2020-06-09",168,7306,160.142857142857,7805.14285714286
"89","2020-06-10",142,7448,157,7962.14285714286
"90","2020-06-11",142,7590,154.571428571429,8116.71428571429
