"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-04-01",1,1,0,0
"2","2020-04-04",1,2,0,0
"3","2020-04-06",2,4,0,0
"4","2020-04-10",1,5,0,0
"5","2020-04-11",1,6,0,0
"6","2020-04-12",1,7,0,0
"7","2020-04-14",2,9,0,0
"8","2020-04-15",7,16,2.28571428571429,7.14285714285714
"9","2020-04-16",1,17,2.28571428571429,9.42857142857143
"10","2020-04-17",2,19,2.42857142857143,11.8571428571429
"11","2020-04-18",1,20,2.28571428571429,14.1428571428571
"12","2020-04-19",1,21,2.28571428571429,16.4285714285714
"13","2020-04-20",2,23,2.42857142857143,18.8571428571429
"14","2020-04-21",3,26,2.71428571428571,21.5714285714286
"15","2020-04-22",6,32,3.28571428571429,24.8571428571429
"16","2020-04-23",4,36,2.85714285714286,27.7142857142857
"17","2020-04-24",3,39,3.14285714285714,30.8571428571429
"18","2020-04-25",3,42,3.28571428571429,34.1428571428571
"19","2020-04-26",6,48,4,38.1428571428571
"20","2020-04-27",3,51,4.28571428571429,42.4285714285714
"21","2020-04-28",1,52,4.14285714285714,46.5714285714286
"22","2020-04-29",4,56,4.28571428571429,50.8571428571429
"23","2020-04-30",2,58,3.71428571428571,54.5714285714286
"24","2020-05-01",3,61,3.57142857142857,58.1428571428571
"25","2020-05-02",1,62,3.28571428571429,61.4285714285714
"26","2020-05-04",2,64,3.14285714285714,64.5714285714286
"27","2020-05-05",3,67,2.71428571428571,67.2857142857143
"28","2020-05-06",6,73,3.14285714285714,70.4285714285714
"29","2020-05-07",1,74,3.14285714285714,73.5714285714286
"30","2020-05-08",2,76,2.85714285714286,76.4285714285714
"31","2020-05-09",4,80,3.14285714285714,79.5714285714286
"32","2020-05-10",4,84,3.28571428571429,82.8571428571429
"33","2020-05-11",4,88,3.71428571428571,86.5714285714286
"34","2020-05-12",5,93,4.14285714285714,90.7142857142857
"35","2020-05-13",6,99,4.57142857142857,95.2857142857143
"36","2020-05-14",1,100,3.85714285714286,99.1428571428571
"37","2020-05-15",4,104,4.28571428571429,103.428571428571
"38","2020-05-16",8,112,5.14285714285714,108.571428571429
"39","2020-05-17",8,120,5.71428571428571,114.285714285714
"40","2020-05-18",9,129,6.42857142857143,120.714285714286
"41","2020-05-19",3,132,6.28571428571429,127
"42","2020-05-20",7,139,6.57142857142857,133.571428571429
"43","2020-05-21",3,142,6.14285714285714,139.714285714286
"44","2020-05-22",4,146,6.57142857142857,146.285714285714
"45","2020-05-23",1,147,6.14285714285714,152.428571428571
"46","2020-05-24",2,149,5.28571428571429,157.714285714286
"47","2020-05-25",2,151,4.42857142857143,162.142857142857
"48","2020-05-26",7,158,4.14285714285714,166.285714285714
"49","2020-05-27",7,165,4.71428571428571,171
"50","2020-05-28",4,169,4.28571428571429,175.285714285714
"51","2020-05-29",4,173,4.42857142857143,179.714285714286
"52","2020-05-30",5,178,4.57142857142857,184.285714285714
"53","2020-05-31",7,185,5.42857142857143,189.714285714286
"54","2020-06-01",6,191,6,195.714285714286
"55","2020-06-02",2,193,6,201.714285714286
"56","2020-06-03",3,196,5.42857142857143,207.142857142857
"57","2020-06-04",2,198,4.71428571428571,211.857142857143
"58","2020-06-06",4,202,4.71428571428571,216.571428571429
"59","2020-06-07",4,206,4.71428571428571,221.285714285714
"60","2020-06-08",5,211,4.71428571428571,226
"61","2020-06-09",2,213,4,230
"62","2020-06-10",7,220,4.14285714285714,234.142857142857
"63","2020-06-11",4,224,4.42857142857143,238.571428571429
"64","2020-06-12",8,232,5.14285714285714,243.714285714286
"65","2020-06-13",4,236,5.42857142857143,249.142857142857
"66","2020-06-14",3,239,5.28571428571429,254.428571428571
"67","2020-06-15",5,244,5.42857142857143,259.857142857143
"68","2020-06-16",1,245,4.85714285714286,264.714285714286
"69","2020-06-17",2,247,4.85714285714286,269.571428571429
"70","2020-06-19",2,249,4.14285714285714,273.714285714286
"71","2020-06-20",4,253,4.14285714285714,277.857142857143
"72","2020-06-21",2,255,3.28571428571429,281.142857142857
"73","2020-06-22",4,259,3.28571428571429,284.428571428571
"74","2020-06-23",3,262,3.28571428571429,287.714285714286
"75","2020-06-24",3,265,3,290.714285714286
"76","2020-06-25",2,267,3.14285714285714,293.857142857143
"77","2020-06-26",1,268,3,296.857142857143
"78","2020-06-27",3,271,3.14285714285714,300
"79","2020-06-28",2,273,2.85714285714286,302.857142857143
"80","2020-06-29",2,275,2.85714285714286,305.714285714286
"81","2020-06-30",6,281,3.14285714285714,308.857142857143
"82","2020-07-01",3,284,3.14285714285714,312
"83","2020-07-02",1,285,2.85714285714286,314.857142857143
"84","2020-07-03",5,290,3.28571428571429,318.142857142857
"85","2020-07-04",3,293,3.57142857142857,321.714285714286
"86","2020-07-05",5,298,3.85714285714286,325.571428571429
"87","2020-07-06",3,301,4,329.571428571429
"88","2020-07-07",2,303,4,333.571428571429
"89","2020-07-08",2,305,3.42857142857143,337
"90","2020-07-09",2,307,3.28571428571429,340.285714285714
"91","2020-07-10",1,308,3.28571428571429,343.571428571429
"92","9999-99-99",1148,1456,166.571428571429,510.142857142857
