"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-29",1,1,0,0
"2","2020-04-13",1,2,0,0
"3","2020-04-17",1,3,0,0
"4","2020-04-22",1,4,0,0
"5","2020-04-28",1,5,0,0
"6","2020-05-08",1,6,0,0
"7","2020-05-10",2,8,0,0
"8","2020-05-16",1,9,1.28571428571429,5.42857142857143
"9","2020-05-27",2,11,1.42857142857143,6.85714285714286
"10","2020-06-03",1,12,1.42857142857143,8.28571428571429
"11","2020-06-04",1,13,1.42857142857143,9.71428571428571
"12","2020-06-09",1,14,1.42857142857143,11.1428571428571
"13","2020-06-11",1,15,1.42857142857143,12.5714285714286
"14","2020-06-14",1,16,1.42857142857143,14
"15","2020-06-15",2,18,1.42857142857143,15.4285714285714
"16","2020-06-16",1,19,1.42857142857143,16.8571428571429
"17","2020-06-20",1,20,1.28571428571429,18.1428571428571
"18","2020-06-25",1,21,1.28571428571429,19.4285714285714
"19","2020-06-26",1,22,1.28571428571429,20.7142857142857
"20","2020-06-27",1,23,1.28571428571429,22
"21","2020-07-02",1,24,1.28571428571429,23.2857142857143
"22","2020-07-03",1,25,1.28571428571429,24.5714285714286
"23","2020-07-06",1,26,1.14285714285714,25.7142857142857
"24","2020-07-09",1,27,1.14285714285714,26.8571428571429
"25","9999-99-99",427,454,62,88.8571428571429
