"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,2.00697164116806,0.460430871915975,1.20832803228244,1.31424448470769,1.68028764179249,1.97187354835688,2.29544249359668,2.81945400356427,3.00493937429874
"2",3,9,1.58101198042306,0.362709023746907,0.951872490937499,1.03530923551988,1.32366339301368,1.55336310682354,1.80825777918636,2.22105308637673,2.36717104206131
"3",4,10,2.28496512116772,0.410391850707974,1.55252294063339,1.65435247044496,1.99642994500987,2.2604431251867,2.54678874389021,2.99923840696539,3.15670624761549
"4",5,11,1.8164865064476,0.311524865786223,1.25796971122199,1.3361923346438,1.59780821856455,1.79870918844475,2.01579882331077,2.35742989506054,2.47599234643001
"5",6,12,1.60864680320257,0.264459905378503,1.13263580438595,1.19972946150272,1.42326745164131,1.59417793012626,1.77826338266659,2.06692564055797,2.16685483017203
"6",7,13,1.73476857892712,0.255777672753066,1.27006863035349,1.33655568241211,1.55609222129569,1.72221411514176,1.899766040635,2.17581066864032,2.27079474087131
"7",8,14,1.818362571496,0.238762702908772,1.38075893633609,1.44424643176746,1.65213684066963,1.80792295644997,1.97321244857178,2.22809232927823,2.31528066337858
"8",9,15,1.49470298646857,0.194593754048129,1.13783716690957,1.18966054745792,1.35925987531564,1.48626687114603,1.62095335609122,1.8285242772748,1.89950021617252
"9",10,16,1.41741841294119,0.17857793449363,1.08918322666233,1.13701919898909,1.2932349288641,1.40992593982221,1.53343722255264,1.72337720772426,1.78822411145045
"10",11,17,1.4937077461684,0.174825268187297,1.17082843063809,1.21823935929941,1.37237033584828,1.48689272732529,1.60761833088295,1.79242440630526,1.85530951094162
"11",12,18,1.62650894046133,0.171449096216167,1.30790526313384,1.35514194285475,1.50782151365196,1.62048881587042,1.738635392554,1.91841228987689,1.97931966451185
"12",13,19,1.66687714925368,0.159657874778968,1.36867958568481,1.41324018610857,1.55659290642875,1.66178244621938,1.7716087237547,1.93789341438017,1.99402412121243
"13",14,20,1.53465226682304,0.140093944077569,1.2723792432703,1.31171448465492,1.43798159624814,1.53039145541609,1.62667902695831,1.77212467538527,1.82113657195416
"14",15,21,1.25863113223466,0.118402057169042,1.03729019338772,1.07041180627874,1.17687648736597,1.25492030937634,1.33634135543796,1.45950897862151,1.50105800479913
"15",16,22,1.21766268817159,0.113547631153484,1.00530543109968,1.03710387554684,1.1392747115984,1.21413505560446,1.29220588793236,1.4102551049294,1.4500649797366
"16",17,23,1.16972345015812,0.109077274158389,0.965726673529225,0.996273216927255,1.09442159907998,1.16633470007371,1.24133189283851,1.35473352593083,1.39297609061002
"17",18,24,1.04522994522821,0.101521706871262,0.855748637022715,0.884032455133449,0.975081932719559,1.04194490247473,1.11179764298471,1.21763355008902,1.2533776465885
"18",19,25,0.983716901334407,0.0988672685350695,0.79951655598548,0.826936494024834,0.915350628093798,0.98040671313136,1.04847551133699,1.15178923997686,1.18672636244485
