"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-05-01",1,1,0,0
"2","2020-05-02",1,2,0,0
"3","2020-05-03",1,3,0,0
"4","2020-05-14",1,4,0,0
"5","2020-05-24",1,5,0,0
"6","2020-05-25",1,6,0,0
"7","2020-05-27",1,7,0,0
"8","2020-05-29",1,8,1.14285714285714,5.14285714285714
"9","2020-06-02",2,10,1.28571428571429,6.42857142857143
"10","2020-06-03",1,11,1.28571428571429,7.71428571428571
"11","2020-06-06",1,12,1.28571428571429,9
"12","2020-06-07",1,13,1.28571428571429,10.2857142857143
"13","2020-06-08",3,16,1.57142857142857,11.8571428571429
"14","2020-06-09",1,17,1.57142857142857,13.4285714285714
"15","2020-06-10",1,18,1.57142857142857,15
"16","2020-06-15",2,20,1.71428571428571,16.7142857142857
"17","2020-06-16",1,21,1.57142857142857,18.2857142857143
"18","2020-06-21",3,24,1.85714285714286,20.1428571428571
"19","2020-06-22",1,25,1.85714285714286,22
"20","2020-06-23",2,27,2,24
"21","2020-06-24",1,28,1.71428571428571,25.7142857142857
"22","2020-06-25",2,30,1.85714285714286,27.5714285714286
"23","2020-06-27",1,31,1.85714285714286,29.4285714285714
"24","2020-06-28",4,35,2.14285714285714,31.5714285714286
"25","2020-06-29",1,36,2.14285714285714,33.7142857142857
"26","2020-07-01",1,37,1.85714285714286,35.5714285714286
"27","2020-07-02",1,38,1.85714285714286,37.4285714285714
"28","2020-07-04",1,39,1.71428571428571,39.1428571428571
"29","2020-07-08",1,40,1.71428571428571,40.8571428571429
"30","2020-07-09",1,41,1.57142857142857,42.4285714285714
"31","9999-99-99",512,553,74.5714285714286,117
