"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-26",1,1,0,0
"2","2020-03-29",1,2,0,0
"3","2020-03-31",1,3,0,0
"4","2020-04-02",2,5,0,0
"5","2020-04-04",1,6,0,0
"6","2020-04-05",1,7,0,0
"7","2020-04-06",2,9,0,0
"8","2020-04-07",2,11,1.57142857142857,6.28571428571429
"9","2020-04-09",1,12,1.57142857142857,7.85714285714286
"10","2020-04-10",3,15,1.85714285714286,9.71428571428571
"11","2020-04-11",2,17,2,11.7142857142857
"12","2020-04-12",1,18,1.85714285714286,13.5714285714286
"13","2020-04-13",1,19,1.85714285714286,15.4285714285714
"14","2020-04-14",3,22,2.14285714285714,17.5714285714286
"15","2020-04-15",1,23,2,19.5714285714286
"16","2020-04-16",2,25,2,21.5714285714286
"17","2020-04-17",2,27,2.14285714285714,23.7142857142857
"18","2020-04-18",4,31,2.28571428571429,26
"19","2020-04-19",2,33,2.28571428571429,28.2857142857143
"20","2020-04-20",2,35,2.42857142857143,30.7142857142857
"21","2020-04-21",9,44,3.57142857142857,34.2857142857143
"22","2020-04-22",4,48,3.71428571428571,38
"23","2020-04-23",6,54,4.42857142857143,42.4285714285714
"24","2020-04-24",5,59,4.85714285714286,47.2857142857143
"25","2020-04-25",5,64,5.28571428571429,52.5714285714286
"26","2020-04-26",9,73,6,58.5714285714286
"27","2020-04-27",6,79,6.57142857142857,65.1428571428571
"28","2020-04-28",7,86,7.28571428571429,72.4285714285714
"29","2020-04-29",5,91,6.71428571428571,79.1428571428571
"30","2020-04-30",10,101,7.57142857142857,86.7142857142857
"31","2020-05-01",7,108,7.71428571428571,94.4285714285714
"32","2020-05-02",8,116,8.14285714285714,102.571428571429
"33","2020-05-03",10,126,8.85714285714286,111.428571428571
"34","2020-05-04",12,138,9.28571428571429,120.714285714286
"35","2020-05-05",8,146,9.57142857142857,130.285714285714
"36","2020-05-06",12,158,10.2857142857143,140.571428571429
"37","2020-05-07",6,164,10.4285714285714,151
"38","2020-05-08",9,173,10.2857142857143,161.285714285714
"39","2020-05-09",12,185,11,172.285714285714
"40","2020-05-10",13,198,11.7142857142857,184
"41","2020-05-11",7,205,11.2857142857143,195.285714285714
"42","2020-05-12",7,212,10.5714285714286,205.857142857143
"43","2020-05-13",7,219,10.4285714285714,216.285714285714
"44","2020-05-14",10,229,10.1428571428571,226.428571428571
"45","2020-05-15",8,237,10.4285714285714,236.857142857143
"46","2020-05-16",11,248,10.7142857142857,247.571428571429
"47","2020-05-17",17,265,11.4285714285714,259
"48","2020-05-18",13,278,11.4285714285714,270.428571428571
