"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-02-29",1,1,0,0
"2","2020-03-18",1,2,0,0
"3","2020-03-23",3,5,0,0
"4","2020-03-25",2,7,0,0
"5","2020-03-27",5,12,0,0
"6","2020-03-28",1,13,0,0
"7","2020-03-30",2,15,0,0
"8","2020-03-31",2,17,2.42857142857143,10.2857142857143
"9","2020-04-01",4,21,2.85714285714286,13.1428571428571
"10","2020-04-02",2,23,3,16.1428571428571
"11","2020-04-03",5,28,3.28571428571429,19.4285714285714
"12","2020-04-04",1,29,3.14285714285714,22.5714285714286
"13","2020-04-05",1,30,2.57142857142857,25.1428571428571
"14","2020-04-06",5,35,3.14285714285714,28.2857142857143
"15","2020-04-07",2,37,3.14285714285714,31.4285714285714
"16","2020-04-08",6,43,3.71428571428571,35.1428571428571
"17","2020-04-09",3,46,3.57142857142857,38.7142857142857
"18","2020-04-10",3,49,3.71428571428571,42.4285714285714
"19","2020-04-11",1,50,3.14285714285714,45.5714285714286
"20","2020-04-13",5,55,3.71428571428571,49.2857142857143
"21","2020-04-14",5,60,4.28571428571429,53.5714285714286
"22","2020-04-15",6,66,4.42857142857143,58
"23","2020-04-16",3,69,4.57142857142857,62.5714285714286
"24","2020-04-17",10,79,5.14285714285714,67.7142857142857
"25","2020-04-18",4,83,5.28571428571429,73
"26","2020-04-19",7,90,5.85714285714286,78.8571428571429
"27","2020-04-20",9,99,7,85.8571428571429
"28","2020-04-21",9,108,7.57142857142857,93.4285714285714
"29","2020-04-22",11,119,8.42857142857143,101.857142857143
"30","2020-04-23",15,134,9.71428571428571,111.571428571429
"31","2020-04-24",13,147,11.1428571428571,122.714285714286
"32","2020-04-25",9,156,11,133.714285714286
"33","2020-04-26",12,168,12.1428571428571,145.857142857143
"34","2020-04-27",21,189,14.1428571428571,160
"35","2020-04-28",9,198,14.1428571428571,174.142857142857
"36","2020-04-29",19,217,15.5714285714286,189.714285714286
"37","2020-04-30",13,230,15.8571428571429,205.571428571429
"38","2020-05-01",18,248,16.2857142857143,221.857142857143
"39","2020-05-02",9,257,15.7142857142857,237.571428571429
"40","2020-05-03",14,271,16.4285714285714,254
"41","2020-05-04",31,302,19.1428571428571,273.142857142857
"42","2020-05-05",27,329,20,293.142857142857
"43","2020-05-06",35,364,23.7142857142857,316.857142857143
"44","2020-05-07",34,398,25.8571428571429,342.714285714286
"45","2020-05-08",34,432,28.8571428571429,371.571428571429
"46","2020-05-09",23,455,29.5714285714286,401.142857142857
"47","2020-05-10",21,476,31.2857142857143,432.428571428571
"48","2020-05-11",32,508,33.8571428571429,466.285714285714
"49","2020-05-12",46,554,36,502.285714285714
"50","2020-05-13",67,621,41.7142857142857,544
"51","2020-05-14",66,687,46.1428571428571,590.142857142857
"52","2020-05-15",81,768,52.8571428571429,643
"53","2020-05-16",39,807,53.5714285714286,696.571428571429
"54","2020-05-17",35,842,55.2857142857143,751.857142857143
"55","2020-05-18",93,935,65.5714285714286,817.428571428571
"56","2020-05-19",65,1000,70.2857142857143,887.714285714286
"57","2020-05-20",74,1074,74.2857142857143,962
"58","2020-05-21",105,1179,79.7142857142857,1041.71428571429
"59","2020-05-22",99,1278,84.4285714285714,1126.14285714286
"60","2020-05-23",55,1333,80.7142857142857,1206.85714285714
"61","2020-05-24",50,1383,82.2857142857143,1289.14285714286
"62","2020-05-25",145,1528,98,1387.14285714286
"63","2020-05-26",133,1661,103.714285714286,1490.85714285714
"64","2020-05-27",123,1784,112,1602.85714285714
"65","2020-05-28",142,1926,121.714285714286,1724.57142857143
"66","2020-05-29",126,2052,124.714285714286,1849.28571428571
"67","2020-05-30",70,2122,120.571428571429,1969.85714285714
"68","2020-05-31",70,2192,122.714285714286,2092.57142857143
"69","2020-06-01",147,2339,136.571428571429,2229.14285714286
"70","2020-06-02",144,2483,136.428571428571,2365.57142857143
"71","2020-06-03",114,2597,133.714285714286,2499.28571428571
"72","2020-06-04",109,2706,131.714285714286,2631
"73","2020-06-05",126,2832,129.428571428571,2760.42857142857
"74","2020-06-06",70,2902,121.428571428571,2881.85714285714
"75","2020-06-07",71,2973,121.571428571429,3003.42857142857
"76","2020-06-08",141,3114,131.714285714286,3135.14285714286
"77","2020-06-09",127,3241,128.857142857143,3264
"78","2020-06-10",108,3349,123.714285714286,3387.71428571429
"79","2020-06-11",94,3443,120.857142857143,3508.57142857143
"80","2020-06-12",103,3546,120,3628.57142857143
"81","2020-06-13",63,3609,111,3739.57142857143
"82","2020-06-14",59,3668,109.428571428571,3849
"83","2020-06-15",93,3761,112.571428571429,3961.57142857143
"84","2020-06-16",88,3849,105,4066.57142857143
"85","2020-06-17",112,3961,102.857142857143,4169.42857142857
"86","2020-06-18",93,4054,100.714285714286,4270.14285714286
"87","2020-06-19",82,4136,99,4369.14285714286
"88","2020-06-20",53,4189,91.8571428571429,4461
"89","2020-06-21",39,4228,88.4285714285714,4549.42857142857
"90","2020-06-22",95,4323,93.5714285714286,4643
"91","2020-06-23",86,4409,92.5714285714286,4735.57142857143
"92","2020-06-24",98,4507,94,4829.57142857143
"93","2020-06-25",88,4595,90.5714285714286,4920.14285714286
"94","2020-06-26",82,4677,89,5009.14285714286
"95","2020-06-27",40,4717,83,5092.14285714286
"96","2020-06-28",43,4760,81.5714285714286,5173.71428571429
"97","2020-06-29",68,4828,85.7142857142857,5259.42857142857
"98","2020-06-30",52,4880,79.5714285714286,5339
"99","2020-07-01",52,4932,74.7142857142857,5413.71428571429
"100","2020-07-02",46,4978,67.2857142857143,5481
"101","2020-07-03",59,5037,63.1428571428571,5544.14285714286
"102","2020-07-04",38,5075,56.8571428571429,5601
"103","2020-07-05",19,5094,53.8571428571429,5654.85714285714
"104","2020-07-06",29,5123,51.8571428571429,5706.71428571429
"105","2020-07-07",31,5154,46.5714285714286,5753.28571428571
"106","2020-07-08",20,5174,42,5795.28571428571
