"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-04-13",1,1,0,0
"2","2020-05-02",1,2,0,0
"3","2020-05-11",1,3,0,0
"4","2020-05-12",2,5,0,0
"5","2020-05-14",1,6,0,0
"6","2020-05-17",2,8,0,0
"7","2020-05-18",1,9,0,0
"8","2020-05-19",2,11,1.57142857142857,6.42857142857143
"9","2020-05-20",1,12,1.57142857142857,8
"10","2020-05-22",2,14,1.71428571428571,9.71428571428571
"11","2020-05-23",2,16,1.85714285714286,11.5714285714286
"12","2020-05-24",1,17,1.71428571428571,13.2857142857143
"13","2020-05-25",1,18,1.71428571428571,15
"14","2020-05-27",2,20,1.71428571428571,16.7142857142857
"15","2020-05-28",3,23,2,18.7142857142857
"16","2020-05-29",2,25,2,20.7142857142857
"17","2020-05-30",2,27,2.14285714285714,22.8571428571429
"18","2020-05-31",2,29,2.14285714285714,25
"19","2020-06-01",1,30,2,27
"20","2020-06-02",1,31,2,29
"21","2020-06-03",3,34,2.28571428571429,31.2857142857143
"22","2020-06-04",4,38,2.57142857142857,33.8571428571429
"23","2020-06-05",1,39,2.28571428571429,36.1428571428571
"24","2020-06-07",3,42,2.42857142857143,38.5714285714286
"25","2020-06-08",7,49,3.14285714285714,41.7142857142857
"26","2020-06-09",5,54,3.57142857142857,45.2857142857143
"27","2020-06-10",2,56,3.71428571428571,49
"28","2020-06-11",3,59,4,53
"29","2020-06-12",3,62,4,57
"30","2020-06-13",3,65,3.85714285714286,60.8571428571429
"31","2020-06-14",3,68,4.14285714285714,65
"32","2020-06-15",1,69,3.85714285714286,68.8571428571429
"33","2020-06-16",2,71,3.14285714285714,72
"34","2020-06-17",2,73,2.71428571428571,74.7142857142857
"35","2020-06-18",1,74,2.57142857142857,77.2857142857143
"36","2020-06-19",1,75,2.28571428571429,79.5714285714286
"37","2020-06-20",1,76,2,81.5714285714286
"38","2020-06-21",2,78,1.85714285714286,83.4285714285714
"39","2020-06-22",2,80,1.71428571428571,85.1428571428571
"40","2020-06-23",3,83,2,87.1428571428571
"41","2020-06-24",6,89,2.57142857142857,89.7142857142857
"42","2020-06-25",5,94,3,92.7142857142857
"43","2020-06-26",2,96,3.14285714285714,95.8571428571429
"44","2020-06-27",5,101,3.71428571428571,99.5714285714286
"45","2020-06-28",5,106,4.28571428571429,103.857142857143
"46","2020-06-29",3,109,4.42857142857143,108.285714285714
"47","2020-06-30",3,112,4.57142857142857,112.857142857143
"48","2020-07-01",3,115,4.57142857142857,117.428571428571
"49","2020-07-02",2,117,4,121.428571428571
"50","2020-07-03",1,118,3.42857142857143,124.857142857143
"51","2020-07-04",3,121,3.57142857142857,128.428571428571
"52","2020-07-05",5,126,3.57142857142857,132
"53","2020-07-06",2,128,3.14285714285714,135.142857142857
"54","2020-07-07",2,130,3,138.142857142857
"55","2020-07-08",2,132,2.85714285714286,141
"56","2020-07-09",1,133,2.57142857142857,143.571428571429
"57","2020-07-10",4,137,2.85714285714286,146.428571428571
"58","2020-07-11",1,138,2.85714285714286,149.285714285714
"59","9999-99-99",772,910,112.714285714286,262
