"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-13",1,1,0,0
"2","2020-03-14",1,2,0,0
"3","2020-03-18",1,3,0,0
"4","2020-03-19",1,4,0,0
"5","2020-03-20",3,7,0,0
"6","2020-03-21",1,8,0,0
"7","2020-03-22",1,9,0,0
"8","2020-03-24",1,10,1.42857142857143,6.28571428571429
"9","2020-03-25",2,12,1.57142857142857,7.85714285714286
"10","2020-03-26",2,14,1.71428571428571,9.57142857142857
"11","2020-03-27",2,16,1.85714285714286,11.4285714285714
"12","2020-03-28",2,18,2,13.4285714285714
"13","2020-03-29",5,23,2.28571428571429,15.7142857142857
"14","2020-03-30",3,26,2.57142857142857,18.2857142857143
"15","2020-03-31",5,31,3.14285714285714,21.4285714285714
"16","2020-04-01",7,38,4,25.4285714285714
"17","2020-04-02",6,44,4.57142857142857,30
"18","2020-04-03",5,49,5,35
"19","2020-04-04",9,58,6,41
"20","2020-04-05",12,70,7.42857142857143,48.4285714285714
"21","2020-04-06",11,81,8.28571428571429,56.7142857142857
"22","2020-04-07",7,88,8.85714285714286,65.5714285714286
"23","2020-04-08",10,98,9.57142857142857,75.1428571428571
"24","2020-04-09",8,106,9.71428571428571,84.8571428571429
"25","2020-04-10",12,118,10.5714285714286,95.4285714285714
"26","2020-04-11",12,130,11.5714285714286,107
"27","2020-04-12",9,139,11.5714285714286,118.571428571429
"28","2020-04-13",17,156,12.2857142857143,130.857142857143
"29","2020-04-14",13,169,12.5714285714286,143.428571428571
"30","2020-04-15",18,187,14.1428571428571,157.571428571429
"31","2020-04-16",24,211,16.1428571428571,173.714285714286
"32","2020-04-17",15,226,17.1428571428571,190.857142857143
"33","2020-04-18",16,242,17.7142857142857,208.571428571429
"34","2020-04-19",16,258,18.2857142857143,226.857142857143
"35","2020-04-20",36,294,22.1428571428571,249
"36","2020-04-21",30,324,24,273
"37","2020-04-22",33,357,26.8571428571429,299.857142857143
"38","2020-04-23",53,410,31.8571428571429,331.714285714286
"39","2020-04-24",40,450,34.1428571428571,365.857142857143
"40","2020-04-25",30,480,36.2857142857143,402.142857142857
"41","2020-04-26",21,501,37,439.142857142857
"42","2020-04-27",51,552,42,481.142857142857
"43","2020-04-28",52,604,44.2857142857143,525.428571428571
"44","2020-04-29",58,662,48.2857142857143,573.714285714286
"45","2020-04-30",59,721,52,625.714285714286
"46","2020-05-01",43,764,50.5714285714286,676.285714285714
"47","2020-05-02",45,809,51.2857142857143,727.571428571429
"48","2020-05-03",26,835,50.7142857142857,778.285714285714
"49","2020-05-04",54,889,55.4285714285714,833.714285714286
"50","2020-05-05",69,958,58,891.714285714286
"51","2020-05-06",58,1016,58.8571428571429,950.571428571429
"52","2020-05-07",53,1069,58.1428571428571,1008.71428571429
"53","2020-05-08",50,1119,56.8571428571429,1065.57142857143
"54","2020-05-09",32,1151,55.2857142857143,1120.85714285714
"55","2020-05-10",37,1188,54.1428571428571,1175
"56","2020-05-11",64,1252,59.5714285714286,1234.57142857143
"57","2020-05-12",44,1296,58.1428571428571,1292.71428571429
"58","2020-05-13",71,1367,58.4285714285714,1351.14285714286
"59","2020-05-14",59,1426,58.5714285714286,1409.71428571429
"60","2020-05-15",54,1480,58.7142857142857,1468.42857142857
"61","2020-05-16",45,1525,58,1526.42857142857
"62","2020-05-17",34,1559,58.2857142857143,1584.71428571429
"63","2020-05-18",72,1631,63.2857142857143,1648
"64","2020-05-19",54,1685,61.8571428571429,1709.85714285714
"65","2020-05-20",59,1744,64,1773.85714285714
"66","2020-05-21",76,1820,64.7142857142857,1838.57142857143
"67","2020-05-22",60,1880,64.8571428571429,1903.42857142857
"68","2020-05-23",50,1930,64.2857142857143,1967.71428571429
"69","2020-05-24",28,1958,61.8571428571429,2029.57142857143
"70","2020-05-25",68,2026,66.7142857142857,2096.28571428571
"71","2020-05-26",50,2076,63.5714285714286,2159.85714285714
"72","2020-05-27",51,2127,63.1428571428571,2223
"73","2020-05-28",43,2170,60.8571428571429,2283.85714285714
"74","2020-05-29",70,2240,60,2343.85714285714
"75","2020-05-30",21,2261,54.4285714285714,2398.28571428571
"76","2020-05-31",30,2291,51.5714285714286,2449.85714285714
"77","2020-06-01",61,2352,56.2857142857143,2506.14285714286
"78","2020-06-02",70,2422,56.5714285714286,2562.71428571429
"79","2020-06-03",41,2463,55.2857142857143,2618
"80","2020-06-04",40,2503,53.7142857142857,2671.71428571429
"81","2020-06-05",54,2557,55.2857142857143,2727
"82","2020-06-06",25,2582,48.8571428571429,2775.85714285714
"83","2020-06-07",25,2607,49.4285714285714,2825.28571428571
"84","2020-06-08",60,2667,53.7142857142857,2879
"85","2020-06-09",50,2717,52.1428571428571,2931.14285714286
"86","2020-06-10",52,2769,49.5714285714286,2980.71428571429
"87","2020-06-11",51,2820,51,3031.71428571429
