"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-04-05",1,1,0,0
"2","2020-04-07",3,4,0,0
"3","2020-04-08",1,5,0,0
"4","2020-04-09",1,6,0,0
"5","2020-04-12",1,7,0,0
"6","2020-04-14",1,8,0,0
"7","2020-04-15",1,9,0,0
"8","2020-04-18",2,11,1.57142857142857,7.28571428571429
"9","2020-04-19",1,12,1.57142857142857,8.85714285714286
"10","2020-04-20",1,13,1.28571428571429,10.1428571428571
"11","2020-04-21",2,15,1.42857142857143,11.5714285714286
"12","2020-04-22",1,16,1.42857142857143,13
"13","2020-04-24",6,22,2.14285714285714,15.1428571428571
"14","2020-04-25",3,25,2.42857142857143,17.5714285714286
"15","2020-04-26",1,26,2.42857142857143,20
"16","2020-04-27",1,27,2.28571428571429,22.2857142857143
"17","2020-04-28",1,28,2.28571428571429,24.5714285714286
"18","2020-04-29",2,30,2.42857142857143,27
"19","2020-05-01",1,31,2.28571428571429,29.2857142857143
"20","2020-05-03",2,33,2.42857142857143,31.7142857142857
"21","2020-05-04",3,36,2,33.7142857142857
"22","2020-05-06",2,38,1.85714285714286,35.5714285714286
"23","2020-05-07",2,40,2,37.5714285714286
"24","2020-05-08",1,41,2,39.5714285714286
"25","2020-05-11",2,43,2.14285714285714,41.7142857142857
"26","2020-05-13",2,45,2.14285714285714,43.8571428571429
"27","2020-05-14",4,49,2.57142857142857,46.4285714285714
"28","2020-05-15",1,50,2.42857142857143,48.8571428571429
"29","2020-05-16",1,51,2.14285714285714,51
"30","2020-05-18",2,53,2.14285714285714,53.1428571428571
"31","2020-05-19",2,55,2.14285714285714,55.2857142857143
"32","2020-05-20",1,56,2.14285714285714,57.4285714285714
"33","2020-05-22",1,57,2,59.4285714285714
"34","2020-05-23",1,58,1.85714285714286,61.2857142857143
"35","2020-05-25",2,60,1.57142857142857,62.8571428571429
"36","2020-05-26",4,64,2,64.8571428571429
"37","2020-05-28",2,66,2.14285714285714,67
"38","2020-05-29",2,68,2.14285714285714,69.1428571428571
"39","2020-05-30",2,70,2.14285714285714,71.2857142857143
"40","2020-05-31",3,73,2.42857142857143,73.7142857142857
"41","2020-06-01",2,75,2.57142857142857,76.2857142857143
"42","2020-06-02",1,76,2.57142857142857,78.8571428571429
"43","2020-06-03",1,77,2.42857142857143,81.2857142857143
"44","2020-06-04",1,78,2,83.2857142857143
"45","2020-06-05",1,79,1.85714285714286,85.1428571428571
"46","2020-06-06",1,80,1.71428571428571,86.8571428571429
"47","2020-06-08",3,83,1.85714285714286,88.7142857142857
"48","2020-06-09",1,84,1.57142857142857,90.2857142857143
"49","2020-06-11",4,88,1.85714285714286,92.1428571428571
"50","2020-06-13",1,89,1.85714285714286,94
"51","2020-06-14",3,92,2.14285714285714,96.1428571428571
"52","2020-06-15",2,94,2.28571428571429,98.4285714285714
"53","2020-06-16",4,98,2.71428571428571,101.142857142857
"54","2020-06-17",2,100,2.85714285714286,104
"55","2020-06-18",2,102,2.71428571428571,106.714285714286
"56","2020-06-20",1,103,2.71428571428571,109.428571428571
"57","2020-06-22",1,104,2.28571428571429,111.714285714286
"58","2020-06-23",3,107,2.57142857142857,114.285714285714
"59","2020-06-24",3,110,2.57142857142857,116.857142857143
"60","2020-06-25",3,113,2.71428571428571,119.571428571429
"61","2020-06-27",1,114,2.28571428571429,121.857142857143
"62","2020-06-28",1,115,2.14285714285714,124
"63","2020-06-29",2,117,2.14285714285714,126.142857142857
"64","2020-07-02",1,118,2.14285714285714,128.285714285714
"65","2020-07-04",2,120,2.28571428571429,130.571428571429
"66","2020-07-05",1,121,2,132.571428571429
"67","2020-07-06",3,124,2,134.571428571429
"68","2020-07-09",3,127,2,136.571428571429
"69","9999-99-99",569,696,83.1428571428571,219.714285714286
