"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-01-28",1,1,0,0
"2","2020-02-28",1,2,0,0
"3","2020-03-11",2,4,0,0
"4","2020-03-16",1,5,0,0
"5","2020-03-17",2,7,0,0
"6","2020-03-18",2,9,0,0
"7","2020-03-19",3,12,0,0
"8","2020-03-20",4,16,2.28571428571429,8
"9","2020-03-23",1,17,2.28571428571429,10.2857142857143
"10","2020-03-24",6,23,3,13.2857142857143
"11","2020-03-26",3,26,3.14285714285714,16.4285714285714
"12","2020-03-27",4,30,3.57142857142857,20
"13","2020-03-28",4,34,3.85714285714286,23.8571428571429
"14","2020-03-29",8,42,4.71428571428571,28.5714285714286
"15","2020-03-30",18,60,6.85714285714286,35.4285714285714
"16","2020-03-31",14,74,8.28571428571429,43.7142857142857
"17","2020-04-01",19,93,10.8571428571429,54.5714285714286
"18","2020-04-02",19,112,12.7142857142857,67.2857142857143
"19","2020-04-03",21,133,15.2857142857143,82.5714285714286
"20","2020-04-04",11,144,16.2857142857143,98.8571428571429
"21","2020-04-05",4,148,16.2857142857143,115.142857142857
"22","2020-04-06",25,173,18.7142857142857,133.857142857143
"23","2020-04-07",8,181,17.2857142857143,151.142857142857
"24","2020-04-08",16,197,17.5714285714286,168.714285714286
"25","2020-04-09",6,203,15.7142857142857,184.428571428571
"26","2020-04-10",11,214,14.5714285714286,199
"27","2020-04-11",9,223,12.8571428571429,211.857142857143
"28","2020-04-12",6,229,12.1428571428571,224
"29","2020-04-13",15,244,13.7142857142857,237.714285714286
"30","2020-04-14",16,260,12.4285714285714,250.142857142857
"31","2020-04-15",16,276,13.5714285714286,263.714285714286
"32","2020-04-16",5,281,12,275.714285714286
"33","2020-04-17",9,290,12.4285714285714,288.142857142857
"34","2020-04-18",6,296,11.7142857142857,299.857142857143
"35","2020-04-19",9,305,11.7142857142857,311.571428571429
"36","2020-04-20",9,314,12.1428571428571,323.714285714286
"37","2020-04-21",19,333,12.7142857142857,336.428571428571
"38","2020-04-22",14,347,12.4285714285714,348.857142857143
"39","2020-04-23",9,356,11.4285714285714,360.285714285714
"40","2020-04-24",13,369,12.5714285714286,372.857142857143
"41","2020-04-25",3,372,11.7142857142857,384.571428571429
"42","2020-04-26",4,376,11.4285714285714,396
"43","2020-04-27",24,400,13.5714285714286,409.571428571429
"44","2020-04-28",16,416,14.5714285714286,424.142857142857
"45","2020-04-29",13,429,13.7142857142857,437.857142857143
"46","2020-04-30",19,448,14.4285714285714,452.285714285714
"47","2020-05-01",15,463,15.2857142857143,467.571428571429
"48","2020-05-02",5,468,14.1428571428571,481.714285714286
"49","2020-05-03",5,473,14.4285714285714,496.142857142857
"50","2020-05-04",26,499,17.5714285714286,513.714285714286
"51","2020-05-05",31,530,18.5714285714286,532.285714285714
"52","2020-05-06",34,564,21.1428571428571,553.428571428571
"53","2020-05-07",23,587,22.5714285714286,576
"54","2020-05-08",18,605,22.4285714285714,598.428571428571
"55","2020-05-09",9,614,21.5714285714286,620
"56","2020-05-10",15,629,23,643
"57","2020-05-11",29,658,26.4285714285714,669.428571428571
"58","2020-05-12",29,687,26.8571428571429,696.285714285714
"59","2020-05-13",17,704,24.8571428571429,721.142857142857
"60","2020-05-14",32,736,24.5714285714286,745.714285714286
"61","2020-05-15",35,771,26.2857142857143,772
"62","2020-05-16",17,788,26.1428571428571,798.142857142857
"63","2020-05-17",13,801,26.7142857142857,824.857142857143
"64","2020-05-18",61,862,33.2857142857143,858.142857142857
"65","2020-05-19",47,909,35.8571428571429,894
"66","2020-05-20",42,951,37.7142857142857,931.714285714286
"67","2020-05-21",63,1014,44.2857142857143,976
"68","2020-05-22",45,1059,46.1428571428571,1022.14285714286
"69","2020-05-23",35,1094,46.1428571428571,1068.28571428571
"70","2020-05-24",17,1111,46.1428571428571,1114.42857142857
"71","2020-05-25",47,1158,51,1165.42857142857
"72","2020-05-26",54,1212,50,1215.42857142857
"73","2020-05-27",69,1281,53.1428571428571,1268.57142857143
"74","2020-05-28",54,1335,54.8571428571429,1323.42857142857
"75","2020-05-29",84,1419,57.8571428571429,1381.28571428571
"76","2020-05-30",37,1456,56.7142857142857,1438
"77","2020-05-31",32,1488,56.2857142857143,1494.28571428571
"78","2020-06-01",100,1588,68.1428571428571,1562.42857142857
"79","2020-06-02",72,1660,71.7142857142857,1634.14285714286
"80","2020-06-03",65,1725,73.2857142857143,1707.42857142857
"81","2020-06-04",74,1799,74,1781.42857142857
"82","2020-06-05",87,1886,78.7142857142857,1860.14285714286
"83","2020-06-06",37,1923,72,1932.14285714286
"84","2020-06-07",41,1964,72.5714285714286,2004.71428571429
"85","2020-06-08",134,2098,87.1428571428571,2091.85714285714
"86","2020-06-09",127,2225,91,2182.85714285714
"87","2020-06-10",120,2345,97.8571428571429,2280.71428571429
"88","2020-06-11",126,2471,106.571428571429,2387.28571428571
"89","2020-06-12",131,2602,114.714285714286,2502
"90","2020-06-13",54,2656,110,2612
"91","2020-06-14",43,2699,110.857142857143,2722.85714285714
"92","2020-06-15",159,2858,127.714285714286,2850.57142857143
"93","2020-06-16",183,3041,134.714285714286,2985.28571428571
"94","2020-06-17",177,3218,141.857142857143,3127.14285714286
"95","2020-06-18",201,3419,153.428571428571,3280.57142857143
"96","2020-06-19",200,3619,164,3444.57142857143
"97","2020-06-20",114,3733,161.571428571429,3606.14285714286
"98","2020-06-21",63,3796,162.857142857143,3769
"99","2020-06-22",268,4064,195,3964
"100","2020-06-23",324,4388,218.571428571429,4182.57142857143
"101","2020-06-24",243,4631,227.142857142857,4409.71428571429
"102","2020-06-25",197,4828,230,4639.71428571429
"103","2020-06-26",228,5056,233.857142857143,4873.57142857143
"104","2020-06-27",173,5229,230,5103.57142857143
"105","2020-06-28",108,5337,229.142857142857,5332.71428571429
"106","2020-06-29",292,5629,261.857142857143,5594.57142857143
"107","2020-06-30",270,5899,262.142857142857,5856.71428571429
"108","2020-07-01",274,6173,255,6111.71428571429
"109","2020-07-02",180,6353,246,6357.71428571429
"110","2020-07-03",258,6611,254.714285714286,6612.42857142857
"111","2020-07-04",153,6764,244,6856.42857142857
"112","2020-07-05",91,6855,232.285714285714,7088.71428571429
"113","2020-07-06",224,7079,248.857142857143,7337.57142857143
"114","2020-07-07",220,7299,238.571428571429,7576.14285714286
"115","2020-07-08",124,7423,217.714285714286,7793.85714285714
"116","2020-07-09",91,7514,191.571428571429,7985.42857142857
"117","2020-07-10",77,7591,176.857142857143,8162.28571428571
"118","2020-07-11",25,7616,143.571428571429,8305.85714285714
"119","2020-07-12",6,7622,122.571428571429,8428.42857142857
