"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,2.07860091353953,0.519650228384882,1.18810002017548,1.30379680199676,1.70861687776046,2.03546079150567,2.40162732577513,3.0006071887229,3.2140650967149
"2",3,9,1.61301665516,0.40325416379,0.921978388470736,1.01176033497646,1.32590506583682,1.57953945667857,1.86368862378978,2.32850343684351,2.49414906825065
"3",4,10,1.77437704070161,0.39676276807237,1.08383559348111,1.17593747393025,1.49315136236471,1.74489331959768,2.02350018134457,2.47341413642233,2.63236406777204
"4",5,11,1.62915832168217,0.347337721239343,1.02098484657632,1.10292082200462,1.38341944663667,1.60454170166226,1.84809111190906,2.2393849926893,2.37714420949599
"5",6,12,1.53339302901864,0.313002541353032,0.982473847201382,1.05734085842278,1.31231055517015,1.51214929179645,1.73134017244356,2.08192505692747,2.20497399780656
"6",7,13,1.47191849685459,0.288666966841527,0.961506030722455,1.03139291357626,1.26832679531523,1.453091363027,1.65500506382234,1.97667785537572,2.08927121502885
"7",8,14,1.57764903820356,0.2833541319988,1.0719359789735,1.14224394922639,1.37843057358179,1.56071788112992,1.75842457072285,2.07081742485154,2.17954074191585
"8",9,15,1.9851993959249,0.295936053211974,1.44801806174799,1.52476615381578,1.77840040039652,1.97051373746848,2.17599760666323,2.49573246598623,2.60581447275981
"9",10,16,1.97023707943282,0.258704802788282,1.49608361763047,1.56487375857376,1.79012773074529,1.95892551980158,2.13802043262256,2.41418856302799,2.50865910010969
"10",11,17,1.86464807170397,0.221293013048481,1.45630561413229,1.51618367015883,1.71100463571518,1.85590119961855,2.00875948752975,2.24295099369804,2.3226893852907
"11",12,18,1.8240642779854,0.1955602176778,1.46100071126504,1.51474921959037,1.68863102727634,1.81708030628353,1.95188618379629,2.15720369127548,2.22681138869576
"12",13,19,1.76084034098037,0.172664601134236,1.43873415703192,1.48677847196305,1.64150978720554,1.75519984903139,1.87402344064788,2.05414337801924,2.11499706580529
"13",14,20,1.54308606540932,0.146463247711752,1.26940832272638,1.31033364058915,1.44193610114234,1.53845465534713,1.6391882801499,1.79163737085786,1.84308072245573
"14",15,21,1.30056058560287,0.125729937431689,1.06584078591733,1.10089031036387,1.21369452478219,1.29651124652744,1.38301332828568,1.51404417806961,1.55828971750454
"15",16,22,1.30532886703192,0.12225524963101,1.076735349496,1.11095370624028,1.22092165706887,1.30151410633355,1.38557836593651,1.51271710029944,1.55559894358972
"16",17,23,1.15745680006814,0.111376332515783,0.949484247489284,0.980551069914388,1.08051543280556,1.15388636933184,1.23050679671496,1.34654216481192,1.38571743323346
"17",18,24,1.09895265773065,0.107246797884633,0.898834397332934,0.928694771550847,1.02484101687865,1.09546589493942,1.16926414054142,1.28110478247478,1.31888350977958
"18",19,25,0.9558602293014,0.0996553178166213,0.770558253747983,0.798057453635749,0.886890642301022,0.95239920722618,1.02105783313172,1.12546951775227,1.16082819459435
"19",20,26,0.883957710837415,0.0976167989934037,0.703037800145071,0.729750256423025,0.816305637746121,0.880366995184996,0.947696577929257,1.05041418321416,1.08528020253952
"20",21,27,0.913009443505619,0.102077558988891,0.723959706257317,0.751840774354722,0.842244353786068,0.909208068295197,0.979631777883965,1.08714577462795,1.12365865322469
"21",22,28,0.97215622492453,0.107356695501578,0.773184695816276,0.802562436782002,0.897754041224537,0.968207238982515,1.04225475526516,1.15522119943189,1.19356604026525
"22",23,29,0.863490503931133,0.101763331803316,0.675628138987031,0.703194773455058,0.792849155483428,0.859496169652647,0.929778953220493,1.03741223728765,1.07404833515375
"23",24,30,1.00806744487681,0.112705366632453,0.799334789439213,0.830118695648847,0.929934646045984,1.00387028938992,1.08162616528898,1.20033398453131,1.24064840240939
"24",25,31,1.00495977862043,0.112357918982421,0.796870603371787,0.827559609079423,0.927067847266951,1.00077556210756,1.07829173250577,1.19663359976135,1.23682373651447
