"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-04-13",1,1,0,0
"2","2020-05-21",1,2,0,0
"3","2020-05-29",1,3,0,0
"4","2020-06-06",1,4,0,0
"5","2020-06-13",1,5,0,0
"6","2020-06-14",1,6,0,0
"7","2020-06-20",1,7,0,0
"8","2020-06-21",1,8,1.14285714285714,5.14285714285714
"9","2020-06-22",1,9,1.14285714285714,6.28571428571429
"10","2020-06-23",2,11,1.28571428571429,7.57142857142857
"11","2020-06-27",1,12,1.28571428571429,8.85714285714286
"12","2020-07-02",1,13,1.28571428571429,10.1428571428571
"13","2020-07-06",1,14,1.28571428571429,11.4285714285714
"14","2020-07-09",1,15,1.28571428571429,12.7142857142857
"15","9999-99-99",139,154,21,33.7142857142857
