"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-11",1,1,0,0
"2","2020-03-13",1,2,0,0
"3","2020-03-14",1,3,0,0
"4","2020-03-17",1,4,0,0
"5","2020-03-18",1,5,0,0
"6","2020-03-21",1,6,0,0
"7","2020-03-23",1,7,0,0
"8","2020-03-24",1,8,1.14285714285714,5.14285714285714
"9","2020-03-25",1,9,1.14285714285714,6.28571428571429
"10","2020-03-30",2,11,1.28571428571429,7.57142857142857
"11","2020-03-31",2,13,1.42857142857143,9
"12","2020-04-01",1,14,1.42857142857143,10.4285714285714
"13","2020-04-06",1,15,1.42857142857143,11.8571428571429
"14","2020-04-08",1,16,1.42857142857143,13.2857142857143
"15","2020-04-09",1,17,1.42857142857143,14.7142857142857
"16","2020-04-11",1,18,1.42857142857143,16.1428571428571
"17","2020-04-15",2,20,1.57142857142857,17.7142857142857
"18","2020-04-16",2,22,1.57142857142857,19.2857142857143
"19","2020-04-18",2,24,1.57142857142857,20.8571428571429
"20","2020-04-19",10,34,2.85714285714286,23.7142857142857
"21","2020-04-20",4,38,3.28571428571429,27
"22","2020-04-21",4,42,3.71428571428571,30.7142857142857
"23","2020-04-22",2,44,3.85714285714286,34.5714285714286
"24","2020-04-23",2,46,4,38.5714285714286
"25","2020-04-24",2,48,4,42.5714285714286
"26","2020-04-25",5,53,4.42857142857143,47
"27","2020-04-26",8,61,5.28571428571429,52.2857142857143
"28","2020-04-27",5,66,4.57142857142857,56.8571428571429
"29","2020-04-28",3,69,4.42857142857143,61.2857142857143
"30","2020-04-29",8,77,5,66.2857142857143
"31","2020-04-30",2,79,5,71.2857142857143
"32","2020-05-01",6,85,5.57142857142857,76.8571428571429
"33","2020-05-02",6,91,6.14285714285714,83
"34","2020-05-03",7,98,6.42857142857143,89.4285714285714
"35","2020-05-04",3,101,5.71428571428571,95.1428571428571
"36","2020-05-05",3,104,5.42857142857143,100.571428571429
"37","2020-05-06",5,109,5.71428571428571,106.285714285714
"38","2020-05-07",11,120,6.14285714285714,112.428571428571
"39","2020-05-08",10,130,7.28571428571429,119.714285714286
"40","2020-05-09",2,132,6.71428571428571,126.428571428571
"41","2020-05-10",1,133,6,132.428571428571
"42","2020-05-11",6,139,5.85714285714286,138.285714285714
"43","2020-05-12",11,150,7,145.285714285714
"44","2020-05-13",10,160,8,153.285714285714
"45","2020-05-14",12,172,9,162.285714285714
"46","2020-05-15",16,188,9.71428571428571,172
"47","2020-05-16",3,191,8.71428571428571,180.714285714286
"48","2020-05-17",8,199,9.57142857142857,190.285714285714
"49","2020-05-18",15,214,11.5714285714286,201.857142857143
"50","2020-05-19",7,221,11.7142857142857,213.571428571429
"51","2020-05-20",23,244,13.4285714285714,227
"52","2020-05-21",20,264,14.8571428571429,241.857142857143
"53","2020-05-22",23,287,16.4285714285714,258.285714285714
"54","2020-05-23",5,292,14.8571428571429,273.142857142857
"55","2020-05-24",15,307,16.5714285714286,289.714285714286
"56","2020-05-25",27,334,19.2857142857143,309
"57","2020-05-26",21,355,20.1428571428571,329.142857142857
"58","2020-05-27",28,383,23.1428571428571,352.285714285714
"59","2020-05-28",23,406,23.1428571428571,375.428571428571
"60","2020-05-29",33,439,25,400.428571428571
"61","2020-05-30",38,477,27.1428571428571,427.571428571429
"62","2020-05-31",12,489,28.1428571428571,455.714285714286
"63","2020-06-01",40,529,31.7142857142857,487.428571428571
"64","2020-06-02",37,566,33.1428571428571,520.571428571429
"65","2020-06-03",29,595,34.2857142857143,554.857142857143
"66","2020-06-04",43,638,36.4285714285714,591.285714285714
"67","2020-06-05",81,719,44.7142857142857,636
"68","2020-06-06",21,740,43,679
"69","2020-06-07",20,760,40.4285714285714,719.428571428571
"70","2020-06-08",71,831,48.8571428571429,768.285714285714
"71","2020-06-09",69,900,53,821.285714285714
"72","2020-06-10",50,950,54.8571428571429,876.142857142857
"73","2020-06-11",59,1009,59.1428571428571,935.285714285714
"74","2020-06-12",54,1063,60.7142857142857,996
"75","2020-06-13",16,1079,51.4285714285714,1047.42857142857
"76","2020-06-14",19,1098,51.1428571428571,1098.57142857143
"77","2020-06-15",69,1167,58.1428571428571,1156.71428571429
"78","2020-06-16",89,1256,60.7142857142857,1217.42857142857
"79","2020-06-17",73,1329,61.2857142857143,1278.71428571429
"80","2020-06-18",82,1411,65.8571428571429,1344.57142857143
"81","2020-06-19",53,1464,65,1409.57142857143
"82","2020-06-20",13,1477,59.1428571428571,1468.71428571429
"83","2020-06-21",15,1492,59,1527.71428571429
"84","2020-06-22",71,1563,66.4285714285714,1594.14285714286
"85","2020-06-23",106,1669,71.7142857142857,1665.85714285714
"86","2020-06-24",93,1762,72.2857142857143,1738.14285714286
"87","2020-06-25",70,1832,71.8571428571429,1810
"88","2020-06-26",91,1923,73.1428571428571,1883.14285714286
"89","2020-06-27",53,1976,73.1428571428571,1956.28571428571
"90","2020-06-28",37,2013,76.5714285714286,2032.85714285714
"91","2020-06-29",64,2077,83.5714285714286,2116.42857142857
