"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-24",1,1,0,0
"2","2020-05-08",1,2,0,0
"3","2020-05-14",1,3,0,0
"4","2020-05-21",1,4,0,0
"5","2020-05-24",1,5,0,0
"6","2020-05-25",1,6,0,0
"7","2020-05-29",1,7,0,0
"8","2020-06-07",1,8,1.14285714285714,5.14285714285714
"9","2020-06-09",2,10,1.28571428571429,6.42857142857143
"10","2020-06-10",1,11,1.28571428571429,7.71428571428571
"11","2020-06-11",1,12,1.28571428571429,9
"12","2020-06-12",1,13,1.28571428571429,10.2857142857143
"13","2020-06-13",1,14,1.28571428571429,11.5714285714286
"14","2020-06-14",2,16,1.42857142857143,13
"15","2020-06-15",1,17,1.42857142857143,14.4285714285714
"16","2020-06-17",1,18,1.42857142857143,15.8571428571429
"17","2020-06-18",1,19,1.28571428571429,17.1428571428571
"18","2020-06-19",1,20,1.28571428571429,18.4285714285714
"19","2020-06-20",1,21,1.28571428571429,19.7142857142857
"20","2020-06-21",1,22,1.28571428571429,21
"21","2020-06-24",2,24,1.42857142857143,22.4285714285714
"22","2020-06-26",1,25,1.28571428571429,23.7142857142857
"23","2020-06-28",2,27,1.42857142857143,25.1428571428571
"24","2020-06-29",1,28,1.42857142857143,26.5714285714286
"25","2020-07-01",4,32,1.85714285714286,28.4285714285714
"26","2020-07-02",1,33,1.85714285714286,30.2857142857143
"27","2020-07-05",2,35,2,32.2857142857143
"28","2020-07-06",2,37,2.14285714285714,34.4285714285714
"29","2020-07-07",1,38,2,36.4285714285714
"30","2020-07-09",1,39,2,38.4285714285714
"31","9999-99-99",484,523,70.8571428571429,109.285714285714
