"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.60305620460721,0.566765956450466,0.692085887576091,0.797685333355312,1.19349735603669,1.53677973793517,1.94058572204862,2.63464567623382,2.89004490320158
"2",3,9,1.44661595247029,0.511455974882188,0.624546090504945,0.719840218307328,1.0770254402258,1.38680732337444,1.75120638601655,2.37753389643663,2.60800903194235
"3",4,10,1.53075041848708,0.510250139495694,0.699956565671374,0.798580169141601,1.16296980148914,1.47444451703545,1.83731633867657,2.45509401025014,2.68105649950022
"4",5,11,1.54224909253557,0.487701985174018,0.739568386496556,0.836732701297634,1.19152418593307,1.49115663405282,1.83741182152906,2.42213557750822,2.63490226190997
"5",6,12,1.38137856422789,0.436830257389332,0.662424715197806,0.749453913220177,1.06723743730721,1.3356155112403,1.64575315116331,2.16948493120701,2.36005812618371
"6",7,13,1.29655280101685,0.410005995788432,0.621747464593505,0.703432495321649,1.00170201313652,1.25359990159402,1.54469304300793,2.03626423426696,2.21513497697599
"7",8,14,1.24727074150236,0.394421640203455,0.598114801481712,0.676694978676217,0.963627251978728,1.20595048468692,1.48597915614005,1.95886569322669,2.13093754692736
"8",9,15,1.21309191562432,0.383613346450966,0.581724725955451,0.658151579012358,0.937221078113831,1.17290395335884,1.44525902926934,1.90518710747986,2.07254369469471
"9",10,16,1.18791358927033,0.375651260555999,0.569650739796903,0.64449131548794,0.917768588268123,1.14855974815955,1.41526195894324,1.86564400102625,2.02952701899534
"10",11,17,1.16871978437467,0.369581646512483,0.560446564293664,0.634077897644966,0.902939671938107,1.13000180596889,1.39239475533386,1.83549971504124,1.99673478058263
"11",12,18,1.15375399479537,0.364849048307143,0.553269886475937,0.625958349640466,0.891377272367488,1.11553181112628,1.37456474407004,1.81199561861416,1.97116602323687
"12",13,19,1.2560846290203,0.378723765399373,0.627032921161061,0.704435930229425,0.984291861112637,1.21823336416523,1.48670547967564,1.93690753236934,2.09998577696265
"13",14,20,2.17912548949458,0.487267272601238,1.33106646107317,1.44417745761635,1.83375016626451,2.14291631483275,2.48507545015422,3.03761808630195,3.23282566564517
"14",15,21,1.82943454615995,0.381463472448312,1.15970457154416,1.25033878342293,1.55978026916702,1.80299040210631,2.0702912913794,2.49875387179883,2.64936041488852
"15",16,22,1.66001118106982,0.325554977117585,1.08437441684179,1.16319196495695,1.43040301889877,1.6387781761663,1.86649391018806,2.22927244158477,2.35625381748147
"16",17,23,1.46590309476127,0.282113182122109,0.966039376361771,1.03471633367378,1.2670703285989,1.44784578475498,1.64506848610319,1.95869671992997,2.068336281539
"17",18,24,1.31958778040815,0.253954786745995,0.869616662244446,0.931438807233707,1.14060099096055,1.30333281395334,1.48087024302914,1.76319448835465,1.86189066156394
"18",19,25,1.24093141870039,0.238817362877511,0.817781624251415,0.875918751032701,1.07261345315426,1.22564535824789,1.39260035510859,1.65809616485073,1.75090937823394
"19",20,26,1.32396733902627,0.241722258994927,0.893275203923557,0.952990773871768,1.15392175316581,1.30928600370056,1.47802111377911,1.74503186014334,1.83805668257011
"20",21,27,1.14856164639638,0.217057748699409,0.763210872841713,0.816325374365388,0.995679990533153,1.13491761022563,1.28658223320558,1.52734751787135,1.61141486177011
"21",22,28,1.1674276630257,0.216785874682802,0.781844628002928,0.835152680136187,1.01483297009816,1.15403672054575,1.30543652352607,1.54538847087462,1.62907670502932
"22",23,29,1.09771252032186,0.207448167129541,0.729421997846334,0.780185013933562,0.95159924177461,1.08467253297825,1.22962265912719,1.45972878209037,1.54007429618394
"23",24,30,1.32260522407686,0.226824924631273,0.915942565984954,0.972897379583327,1.16338298657623,1.30966134941708,1.46772686994123,1.71647247779431,1.80279919533612
"24",25,31,1.21555995638642,0.208466812676161,0.841810606288994,0.894155772838564,1.06922439642588,1.20366369631539,1.34893615837499,1.57754950023158,1.65688935092917
"25",26,32,1.29113703990751,0.209450085488363,0.913685414014447,0.966990575220485,1.14438210582548,1.2798291084778,1.42557260505276,1.65386110167511,1.73282911403375
"26",27,33,1.23257324190354,0.197369677655565,0.876480066595071,0.926862597396166,1.0943408646384,1.22205458536021,1.35934593646346,1.57416870590464,1.64842350876708
"27",28,34,1.13729277877233,0.184493250814202,0.804816058489559,0.851769691633926,1.00802429555024,1.12733223364013,1.25570979627252,1.45679678445465,1.52635543503438
