"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-02-28",1,1,0,0
"2","2020-03-02",1,2,0,0
"3","2020-03-04",2,4,0,0
"4","2020-03-08",2,6,0,0
"5","2020-03-09",1,7,0,0
"6","2020-03-10",2,9,0,0
"7","2020-03-11",2,11,0,0
"8","2020-03-12",3,14,2,7.71428571428571
"9","2020-03-13",12,26,3.57142857142857,11.2857142857143
"10","2020-03-14",4,30,4,15.2857142857143
"11","2020-03-15",10,40,5.14285714285714,20.4285714285714
"12","2020-03-16",6,46,5.71428571428571,26.1428571428571
"13","2020-03-17",7,53,6.57142857142857,32.7142857142857
"14","2020-03-18",6,59,7.14285714285714,39.8571428571429
"15","2020-03-19",12,71,8.57142857142857,48.4285714285714
"16","2020-03-20",10,81,9.57142857142857,58
"17","2020-03-21",5,86,8.57142857142857,66.5714285714286
"18","2020-03-22",5,91,8.71428571428571,75.2857142857143
"19","2020-03-23",15,106,9.42857142857143,84.7142857142857
"20","2020-03-24",23,129,11.8571428571429,96.5714285714286
"21","2020-03-25",25,154,14.4285714285714,111
"22","2020-03-26",27,181,17.4285714285714,128.428571428571
"23","2020-03-27",43,224,21.8571428571429,150.285714285714
"24","2020-03-28",27,251,24.2857142857143,174.571428571429
"25","2020-03-29",18,269,26.1428571428571,200.714285714286
"26","2020-03-30",53,322,33,233.714285714286
"27","2020-03-31",34,356,35.7142857142857,269.428571428571
"28","2020-04-01",50,406,39.5714285714286,309
"29","2020-04-02",49,455,43,352
"30","2020-04-03",49,504,46.1428571428571,398.142857142857
"31","2020-04-04",34,538,44.8571428571429,443
"32","2020-04-05",40,578,46.7142857142857,489.714285714286
"33","2020-04-06",84,662,56.1428571428571,545.857142857143
"34","2020-04-07",73,735,59,604.857142857143
"35","2020-04-08",89,824,66.8571428571429,671.714285714286
"36","2020-04-09",61,885,68.4285714285714,740.142857142857
"37","2020-04-10",91,976,74.4285714285714,814.571428571429
"38","2020-04-11",78,1054,78.5714285714286,893.142857142857
"39","2020-04-12",85,1139,85.8571428571429,979
"40","2020-04-13",153,1292,102,1081
"41","2020-04-14",159,1451,112.714285714286,1193.71428571429
"42","2020-04-15",182,1633,128.285714285714,1322
"43","2020-04-16",188,1821,142.428571428571,1464.42857142857
"44","2020-04-17",156,1977,156,1620.42857142857
"45","2020-04-18",159,2136,165.714285714286,1786.14285714286
"46","2020-04-19",154,2290,176.571428571429,1962.71428571429
"47","2020-04-20",261,2551,201.714285714286,2164.42857142857
"48","2020-04-21",276,2827,219.285714285714,2383.71428571429
"49","2020-04-22",247,3074,231.857142857143,2615.57142857143
"50","2020-04-23",264,3338,243.571428571429,2859.14285714286
"51","2020-04-24",304,3642,260.142857142857,3119.28571428571
"52","2020-04-25",194,3836,265.571428571429,3384.85714285714
"53","2020-04-26",207,4043,272.428571428571,3657.28571428571
"54","2020-04-27",353,4396,300.857142857143,3958.14285714286
"55","2020-04-28",338,4734,311.857142857143,4270
"56","2020-04-29",321,5055,318.285714285714,4588.28571428571
"57","2020-04-30",300,5355,325.857142857143,4914.14285714286
"58","2020-05-01",273,5628,327.142857142857,5241.28571428571
"59","2020-05-02",228,5856,316.285714285714,5557.57142857143
"60","2020-05-03",246,6102,323.714285714286,5881.28571428571
"61","2020-05-04",488,6590,363.857142857143,6245.14285714286
"62","2020-05-05",343,6933,362.428571428571,6607.57142857143
"63","2020-05-06",342,7275,363,6970.57142857143
"64","2020-05-07",433,7708,379,7349.57142857143
"65","2020-05-08",423,8131,396.571428571429,7746.14285714286
"66","2020-05-09",255,8386,394,8140.14285714286
"67","2020-05-10",242,8628,396,8536.14285714286
"68","2020-05-11",570,9198,442.285714285714,8978.42857142857
"69","2020-05-12",531,9729,448.428571428571,9426.85714285714
"70","2020-05-13",576,10305,481.714285714286,9908.57142857143
"71","2020-05-14",511,10816,505.857142857143,10414.4285714286
"72","2020-05-15",596,11412,529.142857142857,10943.5714285714
"73","2020-05-16",351,11763,518.857142857143,11462.4285714286
"74","2020-05-17",302,12065,525.571428571429,11988
"75","2020-05-18",668,12733,586.428571428571,12574.4285714286
"76","2020-05-19",563,13296,585.428571428571,13159.8571428571
"77","2020-05-20",602,13898,595.571428571429,13755.4285714286
"78","2020-05-21",634,14532,603.857142857143,14359.2857142857
"79","2020-05-22",665,15197,625.857142857143,14985.1428571429
"80","2020-05-23",301,15498,583.714285714286,15568.8571428571
"81","2020-05-24",340,15838,582.142857142857,16151
"82","2020-05-25",775,16613,649.714285714286,16800.7142857143
"83","2020-05-26",651,17264,647.285714285714,17448
"84","2020-05-27",729,17993,671,18119
"85","2020-05-28",668,18661,680.428571428571,18799.4285714286
"86","2020-05-29",670,19331,685.571428571429,19485
"87","2020-05-30",380,19711,644.857142857143,20129.8571428571
"88","2020-05-31",325,20036,648.285714285714,20778.1428571429
"89","2020-06-01",816,20852,716.285714285714,21494.4285714286
"90","2020-06-02",774,21626,716.142857142857,22210.5714285714
"91","2020-06-03",896,22522,751.142857142857,22961.7142857143
"92","2020-06-04",765,23287,756.285714285714,23718
"93","2020-06-05",772,24059,771.142857142857,24489.1428571429
"94","2020-06-06",391,24450,731.285714285714,25220.4285714286
"95","2020-06-07",405,24855,734.857142857143,25955.2857142857
"96","2020-06-08",1012,25867,833,26788.2857142857
"97","2020-06-09",820,26687,833.571428571429,27621.8571428571
"98","2020-06-10",837,27524,842.571428571429,28464.4285714286
"99","2020-06-11",704,28228,815.142857142857,29279.5714285714
"100","2020-06-12",694,28922,805,30084.5714285714
"101","2020-06-13",362,29284,746.428571428571,30831
"102","2020-06-14",369,29653,743.285714285714,31574.2857142857
"103","2020-06-15",830,30483,804,32378.2857142857
"104","2020-06-16",795,31278,773,33151.2857142857
"105","2020-06-17",726,32004,759.571428571429,33910.8571428571
"106","2020-06-18",665,32669,735,34645.8571428571
"107","2020-06-19",646,33315,726.714285714286,35372.5714285714
"108","2020-06-20",333,33648,675.142857142857,36047.7142857143
"109","2020-06-21",239,33887,657.571428571429,36705.2857142857
"110","2020-06-22",704,34591,705.428571428571,37410.7142857143
"111","2020-06-23",624,35215,676,38086.7142857143
"112","2020-06-24",635,35850,653.142857142857,38739.8571428571
"113","2020-06-25",532,36382,625.428571428571,39365.2857142857
"114","2020-06-26",616,36998,618.428571428571,39983.7142857143
"115","2020-06-27",264,37262,563.857142857143,40547.5714285714
"116","2020-06-28",255,37517,552.714285714286,41100.2857142857
"117","2020-06-29",715,38232,620.714285714286,41721
"118","2020-06-30",589,38821,604.285714285714,42325.2857142857
"119","2020-07-01",707,39528,616.142857142857,42941.4285714286
"120","2020-07-02",550,40078,604,43545.4285714286
"121","2020-07-03",576,40654,610.285714285714,44155.7142857143
"122","2020-07-04",233,40887,555.571428571429,44711.2857142857
