"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-28",1,1,0,0
"2","2020-03-31",1,2,0,0
"3","2020-04-07",1,3,0,0
"4","2020-04-10",1,4,0,0
"5","2020-04-11",2,6,0,0
"6","2020-04-12",4,10,0,0
"7","2020-04-13",2,12,0,0
"8","2020-04-14",4,16,2.28571428571429,7.71428571428571
"9","2020-04-15",2,18,2.42857142857143,10.1428571428571
"10","2020-04-17",3,21,2.71428571428571,12.8571428571429
"11","2020-04-18",2,23,2.85714285714286,15.7142857142857
"12","2020-04-19",1,24,2.85714285714286,18.5714285714286
"13","2020-04-20",2,26,2.85714285714286,21.4285714285714
"14","2020-04-21",1,27,2.42857142857143,23.8571428571429
"15","2020-04-22",3,30,2.57142857142857,26.4285714285714
"16","2020-04-23",4,34,2.57142857142857,29
"17","2020-04-24",2,36,2.57142857142857,31.5714285714286
"18","2020-04-25",7,43,3.14285714285714,34.7142857142857
"19","2020-04-26",9,52,4.14285714285714,38.8571428571429
"20","2020-04-27",5,57,4.71428571428571,43.5714285714286
"21","2020-04-28",6,63,5.28571428571429,48.8571428571429
"22","2020-04-29",6,69,6,54.8571428571429
"23","2020-04-30",7,76,6.57142857142857,61.4285714285714
"24","2020-05-01",5,81,6.71428571428571,68.1428571428571
"25","2020-05-02",6,87,7.28571428571429,75.4285714285714
"26","2020-05-03",6,93,7.14285714285714,82.5714285714286
"27","2020-05-04",4,97,6.42857142857143,89
"28","2020-05-05",6,103,6.57142857142857,95.5714285714286
"29","2020-05-06",11,114,7.28571428571429,102.857142857143
"30","2020-05-07",4,118,7,109.857142857143
"31","2020-05-08",4,122,6.57142857142857,116.428571428571
"32","2020-05-09",5,127,6.57142857142857,123
"33","2020-05-10",7,134,6.71428571428571,129.714285714286
"34","2020-05-11",6,140,6.71428571428571,136.428571428571
"35","2020-05-12",7,147,7.14285714285714,143.571428571429
"36","2020-05-13",11,158,7.85714285714286,151.428571428571
"37","2020-05-14",4,162,6.85714285714286,158.285714285714
"38","2020-05-15",11,173,7.85714285714286,166.142857142857
"39","2020-05-16",5,178,8,174.142857142857
"40","2020-05-17",13,191,9.14285714285714,183.285714285714
"41","2020-05-18",8,199,9.28571428571429,192.571428571429
"42","2020-05-19",9,208,9.71428571428571,202.285714285714
"43","2020-05-20",10,218,10.1428571428571,212.428571428571
"44","2020-05-21",10,228,10,222.428571428571
"45","2020-05-22",12,240,11.1428571428571,233.571428571429
"46","2020-05-23",12,252,11.2857142857143,244.857142857143
"47","2020-05-24",17,269,13,257.857142857143
"48","2020-05-25",12,281,12.8571428571429,270.714285714286
"49","2020-05-26",10,291,13.1428571428571,283.857142857143
"50","2020-05-27",12,303,13.5714285714286,297.428571428571
"51","2020-05-28",10,313,13.5714285714286,311
"52","2020-05-29",10,323,13.5714285714286,324.571428571429
"53","2020-05-30",11,334,13.4285714285714,338
"54","2020-05-31",6,340,12.5714285714286,350.571428571429
"55","2020-06-01",11,351,11.7142857142857,362.285714285714
"56","2020-06-02",17,368,12.4285714285714,374.714285714286
"57","2020-06-03",12,380,12.7142857142857,387.428571428571
"58","2020-06-04",8,388,12.1428571428571,399.571428571429
"59","2020-06-05",8,396,11.8571428571429,411.428571428571
"60","2020-06-06",21,417,13.4285714285714,424.857142857143
"61","2020-06-07",9,426,13.1428571428571,438
"62","2020-06-08",8,434,13.4285714285714,451.428571428571
"63","2020-06-09",4,438,12.4285714285714,463.857142857143
"64","2020-06-10",6,444,10.8571428571429,474.714285714286
"65","2020-06-11",8,452,10.2857142857143,485
"66","2020-06-12",15,467,11.2857142857143,496.285714285714
"67","2020-06-13",9,476,11.4285714285714,507.714285714286
"68","2020-06-14",18,494,11,518.714285714286
"69","2020-06-15",13,507,11.5714285714286,530.285714285714
"70","2020-06-16",11,518,12,542.285714285714
"71","2020-06-17",10,528,12.8571428571429,555.142857142857
"72","2020-06-18",8,536,13.1428571428571,568.285714285714
"73","2020-06-19",15,551,14.1428571428571,582.428571428571
"74","2020-06-20",10,561,13.4285714285714,595.857142857143
"75","2020-06-21",7,568,13.1428571428571,609
"76","2020-06-22",6,574,11.4285714285714,620.428571428571
"77","2020-06-23",11,585,11.1428571428571,631.571428571429
"78","2020-06-24",8,593,10.7142857142857,642.285714285714
"79","2020-06-25",7,600,10.2857142857143,652.571428571429
"80","2020-06-26",13,613,11,663.571428571429
"81","2020-06-27",9,622,10.1428571428571,673.714285714286
"82","2020-06-28",14,636,10.7142857142857,684.428571428571
"83","2020-06-29",9,645,11,695.428571428571
"84","2020-06-30",4,649,10.7142857142857,706.142857142857
"85","2020-07-01",8,657,10.2857142857143,716.428571428571
"86","2020-07-02",7,664,10.1428571428571,726.571428571429
"87","2020-07-03",5,669,9.85714285714286,736.428571428571
"88","2020-07-04",5,674,8.71428571428571,745.142857142857
"89","2020-07-05",6,680,8.28571428571429,753.428571428571
"90","2020-07-06",8,688,7.42857142857143,760.857142857143
"91","2020-07-07",4,692,6.71428571428571,767.571428571429
"92","2020-07-08",6,698,7,774.571428571429
"93","2020-07-09",7,705,6.85714285714286,781.428571428571
"94","2020-07-11",1,706,6,787.428571428571
"95","9999-99-99",4258,4964,613.571428571429,1401
