"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-13",1,1,0,0
"2","2020-03-15",2,3,0,0
"3","2020-03-16",2,5,0,0
"4","2020-03-18",1,6,0,0
"5","2020-03-19",1,7,0,0
"6","2020-03-20",4,11,0,0
"7","2020-03-21",11,22,0,0
"8","2020-03-22",1,23,3.28571428571429,11.1428571428571
"9","2020-03-23",6,29,4,15.1428571428571
"10","2020-03-24",1,30,3.85714285714286,19
"11","2020-03-25",4,34,4.14285714285714,23.1428571428571
"12","2020-03-26",6,40,4.85714285714286,28
"13","2020-03-27",5,45,5.42857142857143,33.4285714285714
"14","2020-03-28",4,49,5.42857142857143,38.8571428571429
"15","2020-03-29",1,50,4,42.8571428571429
"16","2020-03-30",4,54,4.42857142857143,47.2857142857143
"17","2020-03-31",2,56,3.85714285714286,51.1428571428571
"18","2020-04-01",1,57,3.85714285714286,55
"19","2020-04-02",2,59,3.57142857142857,58.5714285714286
"20","2020-04-03",5,64,3.42857142857143,62
"21","2020-04-04",3,67,3.14285714285714,65.1428571428571
"22","2020-04-05",3,70,3,68.1428571428571
"23","2020-04-06",7,77,3.85714285714286,72
"24","2020-04-07",6,83,4.14285714285714,76.1428571428571
"25","2020-04-08",8,91,5,81.1428571428571
"26","2020-04-09",2,93,5.14285714285714,86.2857142857143
"27","2020-04-10",2,95,5.14285714285714,91.4285714285714
"28","2020-04-11",4,99,5,96.4285714285714
"29","2020-04-12",1,100,4.71428571428571,101.142857142857
"30","2020-04-13",4,104,4.85714285714286,106
"31","2020-04-14",4,108,4.42857142857143,110.428571428571
"32","2020-04-15",13,121,5.42857142857143,115.857142857143
"33","2020-04-16",14,135,6.28571428571429,122.142857142857
"34","2020-04-17",29,164,10.1428571428571,132.285714285714
"35","2020-04-18",10,174,11.2857142857143,143.571428571429
"36","2020-04-19",10,184,12.1428571428571,155.714285714286
"37","2020-04-20",14,198,14,169.714285714286
"38","2020-04-21",10,208,14.8571428571429,184.571428571429
"39","2020-04-22",13,221,16.1428571428571,200.714285714286
"40","2020-04-23",9,230,15.5714285714286,216.285714285714
"41","2020-04-24",12,242,15.2857142857143,231.571428571429
"42","2020-04-25",11,253,12.7142857142857,244.285714285714
"43","2020-04-26",7,260,12.2857142857143,256.571428571429
"44","2020-04-27",26,286,14.5714285714286,271.142857142857
"45","2020-04-28",17,303,15,286.142857142857
"46","2020-04-29",14,317,15.5714285714286,301.714285714286
"47","2020-04-30",16,333,16,317.714285714286
"48","2020-05-01",14,347,16.7142857142857,334.428571428571
"49","2020-05-02",9,356,16.2857142857143,350.714285714286
"50","2020-05-03",11,367,16.2857142857143,367
"51","2020-05-04",33,400,20,387
"52","2020-05-05",23,423,19.5714285714286,406.571428571429
"53","2020-05-06",29,452,21.2857142857143,427.857142857143
"54","2020-05-07",37,489,24.5714285714286,452.428571428571
"55","2020-05-08",43,532,28.4285714285714,480.857142857143
"56","2020-05-09",27,559,30.2857142857143,511.142857142857
"57","2020-05-10",23,582,32.2857142857143,543.428571428571
"58","2020-05-11",40,622,36.4285714285714,579.857142857143
"59","2020-05-12",53,675,39.2857142857143,619.142857142857
"60","2020-05-13",41,716,41.8571428571429,661
"61","2020-05-14",52,768,45.1428571428571,706.142857142857
"62","2020-05-15",38,806,45.2857142857143,751.428571428571
"63","2020-05-16",33,839,43.8571428571429,795.285714285714
"64","2020-05-17",20,859,42.8571428571429,838.142857142857
