"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-04-15",1,1,0,0
"2","2020-04-17",1,2,0,0
"3","2020-04-25",1,3,0,0
"4","2020-04-29",1,4,0,0
"5","2020-04-30",1,5,0,0
"6","2020-05-03",1,6,0,0
"7","2020-05-07",1,7,0,0
"8","2020-05-08",1,8,1.14285714285714,5.14285714285714
"9","2020-05-11",1,9,1.14285714285714,6.28571428571429
"10","2020-05-15",1,10,1.14285714285714,7.42857142857143
"11","2020-05-24",1,11,1.14285714285714,8.57142857142857
"12","2020-05-25",1,12,1.14285714285714,9.71428571428571
"13","2020-05-26",1,13,1.14285714285714,10.8571428571429
"14","2020-05-27",1,14,1.14285714285714,12
"15","2020-05-30",1,15,1.14285714285714,13.1428571428571
"16","2020-06-03",1,16,1.14285714285714,14.2857142857143
"17","2020-06-05",1,17,1.14285714285714,15.4285714285714
"18","2020-06-11",2,19,1.28571428571429,16.7142857142857
"19","2020-06-12",2,21,1.42857142857143,18.1428571428571
"20","2020-06-14",1,22,1.42857142857143,19.5714285714286
"21","2020-06-15",1,23,1.42857142857143,21
"22","2020-06-16",1,24,1.42857142857143,22.4285714285714
"23","2020-06-17",2,26,1.57142857142857,24
"24","2020-06-18",4,30,2,26
"25","2020-06-20",1,31,2,28
"26","2020-06-21",4,35,2.28571428571429,30.2857142857143
"27","2020-06-23",4,39,2.57142857142857,32.8571428571429
"28","2020-06-24",2,41,2.71428571428571,35.5714285714286
"29","2020-06-25",1,42,2.71428571428571,38.2857142857143
"30","2020-06-26",2,44,2.85714285714286,41.1428571428571
"31","2020-06-27",1,45,2.71428571428571,43.8571428571429
"32","2020-06-29",6,51,3,46.8571428571429
"33","2020-06-30",2,53,3.14285714285714,50
"34","2020-07-02",4,57,3.14285714285714,53.1428571428571
"35","2020-07-03",2,59,2.85714285714286,56
"36","2020-07-04",3,62,3,59
"37","2020-07-05",3,65,3.28571428571429,62.2857142857143
"38","2020-07-07",1,66,3.14285714285714,65.4285714285714
"39","2020-07-08",1,67,3.14285714285714,68.5714285714286
"40","2020-07-10",1,68,2.42857142857143,71
"41","9999-99-99",1480,1548,213.571428571429,284.571428571429
