"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-13",2,2,0,0
"2","2020-03-16",2,4,0,0
"3","2020-03-17",5,9,0,0
"4","2020-03-18",1,10,0,0
"5","2020-03-21",1,11,0,0
"6","2020-03-23",1,12,0,0
"7","2020-03-25",3,15,0,0
"8","2020-03-26",4,19,2.71428571428571,11.7142857142857
"9","2020-03-27",3,22,2.85714285714286,14.5714285714286
"10","2020-03-28",3,25,3,17.5714285714286
"11","2020-03-29",1,26,2.42857142857143,20
"12","2020-03-30",2,28,2.57142857142857,22.5714285714286
"13","2020-03-31",4,32,3,25.5714285714286
"14","2020-04-01",3,35,3.28571428571429,28.8571428571429
"15","2020-04-02",1,36,3,31.8571428571429
"16","2020-04-03",1,37,2.57142857142857,34.4285714285714
"17","2020-04-04",2,39,2.42857142857143,36.8571428571429
"18","2020-04-05",3,42,2.42857142857143,39.2857142857143
"19","2020-04-06",8,50,3.42857142857143,42.7142857142857
"20","2020-04-07",11,61,4.71428571428571,47.4285714285714
"21","2020-04-08",6,67,5,52.4285714285714
"22","2020-04-09",7,74,5.57142857142857,58
"23","2020-04-10",5,79,6.14285714285714,64.1428571428571
"24","2020-04-11",5,84,6.71428571428571,70.8571428571429
"25","2020-04-12",12,96,8.14285714285714,79
"26","2020-04-13",17,113,10.1428571428571,89.1428571428571
"27","2020-04-14",7,120,10,99.1428571428571
"28","2020-04-15",5,125,9.14285714285714,108.285714285714
"29","2020-04-16",11,136,9.85714285714286,118.142857142857
"30","2020-04-17",13,149,10.7142857142857,128.857142857143
"31","2020-04-18",8,157,11.1428571428571,140
"32","2020-04-19",6,163,11.2857142857143,151.285714285714
"33","2020-04-20",16,179,11.8571428571429,163.142857142857
"34","2020-04-21",7,186,10.4285714285714,173.571428571429
"35","2020-04-22",13,199,11.2857142857143,184.857142857143
"36","2020-04-23",19,218,13.2857142857143,198.142857142857
"37","2020-04-24",25,243,15.2857142857143,213.428571428571
"38","2020-04-25",13,256,15.2857142857143,228.714285714286
"39","2020-04-26",18,274,16.7142857142857,245.428571428571
"40","2020-04-27",27,301,19.7142857142857,265.142857142857
"41","2020-04-28",29,330,21.5714285714286,286.714285714286
"42","2020-04-29",31,361,25,311.714285714286
"43","2020-04-30",18,379,25.7142857142857,337.428571428571
"44","2020-05-01",13,392,24.8571428571429,362.285714285714
"45","2020-05-02",40,432,27,389.285714285714
"46","2020-05-03",28,460,29.1428571428571,418.428571428571
"47","2020-05-04",51,511,33.8571428571429,452.285714285714
"48","2020-05-05",29,540,34.1428571428571,486.428571428571
"49","2020-05-06",46,586,36.5714285714286,523
"50","2020-05-07",36,622,37.2857142857143,560.285714285714
"51","2020-05-08",40,662,40.4285714285714,600.714285714286
"52","2020-05-09",35,697,43.5714285714286,644.285714285714
"53","2020-05-10",33,730,42.5714285714286,686.857142857143
"54","2020-05-11",47,777,45.2857142857143,732.142857142857
"55","2020-05-12",58,835,46.2857142857143,778.428571428571
"56","2020-05-13",48,883,49,827.428571428571
"57","2020-05-14",69,952,52.2857142857143,879.714285714286
"58","2020-05-15",59,1011,55.5714285714286,935.285714285714
"59","2020-05-16",51,1062,57.1428571428571,992.428571428571
"60","2020-05-17",41,1103,58,1050.42857142857
"61","2020-05-18",127,1230,71.4285714285714,1121.85714285714
"62","2020-05-19",109,1339,80.2857142857143,1202.14285714286
"63","2020-05-20",142,1481,92.2857142857143,1294.42857142857
"64","2020-05-21",140,1621,105.428571428571,1399.85714285714
"65","2020-05-22",129,1750,114,1513.85714285714
"66","2020-05-23",67,1817,115.142857142857,1629
"67","2020-05-24",71,1888,118,1747
"68","2020-05-25",136,2024,131.571428571429,1878.57142857143
"69","2020-05-26",117,2141,130.142857142857,2008.71428571429
"70","2020-05-27",116,2257,131.142857142857,2139.85714285714
"71","2020-05-28",111,2368,126.714285714286,2266.57142857143
"72","2020-05-29",97,2465,120.571428571429,2387.14285714286
"73","2020-05-30",62,2527,111,2498.14285714286
"74","2020-05-31",77,2604,112.428571428571,2610.57142857143
"75","2020-06-01",152,2756,124,2734.57142857143
"76","2020-06-02",106,2862,119.714285714286,2854.28571428571
"77","2020-06-03",116,2978,119.571428571429,2973.85714285714
"78","2020-06-04",128,3106,121.285714285714,3095.14285714286
"79","2020-06-05",121,3227,122.714285714286,3217.85714285714
"80","2020-06-06",89,3316,121.571428571429,3339.42857142857
"81","2020-06-07",64,3380,121.857142857143,3461.28571428571
"82","2020-06-08",152,3532,132.571428571429,3593.85714285714
"83","2020-06-09",105,3637,125.857142857143,3719.71428571429
"84","2020-06-10",146,3783,131.571428571429,3851.28571428571
"85","2020-06-11",154,3937,137,3988.28571428571
"86","2020-06-12",140,4077,138.714285714286,4127
"87","2020-06-13",76,4153,132.285714285714,4259.28571428571
"88","2020-06-14",96,4249,133.285714285714,4392.57142857143
"89","2020-06-15",140,4389,144.142857142857,4536.71428571429
"90","2020-06-16",151,4540,144,4680.71428571429
"91","2020-06-17",108,4648,144.428571428571,4825.14285714286
"92","2020-06-18",103,4751,138.285714285714,4963.42857142857
"93","2020-06-19",131,4882,135,5098.42857142857
"94","2020-06-20",53,4935,122.571428571429,5221
