"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-04-12",1,1,0,0
"2","2020-04-19",1,2,0,0
"3","2020-04-21",1,3,0,0
"4","2020-04-25",1,4,0,0
"5","2020-04-27",1,5,0,0
"6","2020-05-02",2,7,0,0
"7","2020-05-03",2,9,0,0
"8","2020-05-06",2,11,1.57142857142857,6
"9","2020-05-07",1,12,1.57142857142857,7.57142857142857
"10","2020-05-09",2,14,1.71428571428571,9.28571428571429
"11","2020-05-11",2,16,1.85714285714286,11.1428571428571
"12","2020-05-12",1,17,1.85714285714286,13
"13","2020-05-13",2,19,2,15
"14","2020-05-14",1,20,1.85714285714286,16.8571428571429
"15","2020-05-15",3,23,2,18.8571428571429
"16","2020-05-16",1,24,1.85714285714286,20.7142857142857
"17","2020-05-17",6,30,2.57142857142857,23.2857142857143
"18","2020-05-18",5,35,3,26.2857142857143
"19","2020-05-19",1,36,2.85714285714286,29.1428571428571
"20","2020-05-20",3,39,3.14285714285714,32.2857142857143
"21","2020-05-21",2,41,3.14285714285714,35.4285714285714
"22","2020-05-22",5,46,3.71428571428571,39.1428571428571
"23","2020-05-23",3,49,3.71428571428571,42.8571428571429
"24","2020-05-24",4,53,4.14285714285714,47
"25","2020-05-25",3,56,3.71428571428571,50.7142857142857
"26","2020-05-26",3,59,3.42857142857143,54.1428571428571
"27","2020-05-27",7,66,4.28571428571429,58.4285714285714
"28","2020-05-28",1,67,4,62.4285714285714
"29","2020-05-29",3,70,4.14285714285714,66.5714285714286
"30","2020-05-31",2,72,3.71428571428571,70.2857142857143
"31","2020-06-01",3,75,3.71428571428571,74
"32","2020-06-02",4,79,3.71428571428571,77.7142857142857
"33","2020-06-03",7,86,4.28571428571429,82
"34","2020-06-04",2,88,4.14285714285714,86.1428571428571
"35","2020-06-05",6,94,4,90.1428571428571
"36","2020-06-06",1,95,4,94.1428571428571
"37","2020-06-07",5,100,4.28571428571429,98.4285714285714
"38","2020-06-08",5,105,4.71428571428571,103.142857142857
"39","2020-06-09",3,108,4.71428571428571,107.857142857143
"40","2020-06-10",1,109,4.28571428571429,112.142857142857
"41","2020-06-11",2,111,3.57142857142857,115.714285714286
"42","2020-06-13",5,116,4,119.714285714286
"43","2020-06-14",5,121,3.85714285714286,123.571428571429
"44","2020-06-16",2,123,4,127.571428571429
"45","2020-06-17",5,128,4,131.571428571429
"46","2020-06-18",3,131,3.71428571428571,135.285714285714
"47","2020-06-19",4,135,3.85714285714286,139.142857142857
"48","2020-06-20",3,138,4.14285714285714,143.285714285714
"49","2020-06-21",2,140,4.14285714285714,147.428571428571
"50","2020-06-22",5,145,4.14285714285714,151.571428571429
"51","2020-06-23",3,148,3.85714285714286,155.428571428571
"52","2020-06-24",1,149,3.71428571428571,159.142857142857
"53","2020-06-25",4,153,3.57142857142857,162.714285714286
"54","2020-06-26",3,156,3.57142857142857,166.285714285714
"55","2020-06-27",2,158,3.28571428571429,169.571428571429
"56","2020-06-28",3,161,3.28571428571429,172.857142857143
"57","2020-06-29",4,165,3.57142857142857,176.428571428571
"58","2020-06-30",5,170,3.57142857142857,180
"59","2020-07-01",1,171,3.28571428571429,183.285714285714
"60","2020-07-02",3,174,3.57142857142857,186.857142857143
"61","2020-07-04",5,179,3.71428571428571,190.571428571429
"62","2020-07-07",1,180,3.42857142857143,194
"63","2020-07-08",1,181,3.28571428571429,197.285714285714
"64","2020-07-10",1,182,3,200.285714285714
"65","9999-99-99",991,1173,144,344.285714285714
