"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-02-27",1,1,0,0
"2","2020-03-15",1,2,0,0
"3","2020-03-17",2,4,0,0
"4","2020-03-20",3,7,0,0
"5","2020-03-21",3,10,0,0
"6","2020-03-23",1,11,0,0
"7","2020-03-24",1,12,0,0
"8","2020-03-25",5,17,2.42857142857143,9.14285714285714
"9","2020-03-26",4,21,2.85714285714286,12
"10","2020-03-27",4,25,3.28571428571429,15.2857142857143
"11","2020-03-29",2,27,3.28571428571429,18.5714285714286
"12","2020-03-30",7,34,3.85714285714286,22.4285714285714
"13","2020-03-31",7,41,4.42857142857143,26.8571428571429
"14","2020-04-01",5,46,5,31.8571428571429
"15","2020-04-02",1,47,5,36.8571428571429
"16","2020-04-03",3,50,4.71428571428571,41.5714285714286
"17","2020-04-04",2,52,4.42857142857143,46
"18","2020-04-05",2,54,4.14285714285714,50.1428571428571
"19","2020-04-06",3,57,4.28571428571429,54.4285714285714
"20","2020-04-07",3,60,3.71428571428571,58.1428571428571
"21","2020-04-08",1,61,2.85714285714286,61
"22","2020-04-10",7,68,3.14285714285714,64.1428571428571
"23","2020-04-11",3,71,3.42857142857143,67.5714285714286
"24","2020-04-12",4,75,3.57142857142857,71.1428571428571
"25","2020-04-13",7,82,4.28571428571429,75.4285714285714
"26","2020-04-14",9,91,5.28571428571429,80.7142857142857
"27","2020-04-15",4,95,5.42857142857143,86.1428571428571
"28","2020-04-16",5,100,5.71428571428571,91.8571428571429
"29","2020-04-17",9,109,6.85714285714286,98.7142857142857
"30","2020-04-18",6,115,6.71428571428571,105.428571428571
"31","2020-04-19",14,129,8.28571428571429,113.714285714286
"32","2020-04-20",18,147,10.2857142857143,124
"33","2020-04-21",11,158,10.8571428571429,134.857142857143
"34","2020-04-22",15,173,11.7142857142857,146.571428571429
"35","2020-04-23",19,192,13.8571428571429,160.428571428571
"36","2020-04-24",19,211,15.8571428571429,176.285714285714
"37","2020-04-25",22,233,17.7142857142857,194
"38","2020-04-26",18,251,19.4285714285714,213.428571428571
"39","2020-04-27",25,276,21,234.428571428571
"40","2020-04-28",25,301,22,256.428571428571
"41","2020-04-29",28,329,24.4285714285714,280.857142857143
"42","2020-04-30",30,359,26.5714285714286,307.428571428571
"43","2020-05-01",25,384,27.4285714285714,334.857142857143
"44","2020-05-02",21,405,27.7142857142857,362.571428571429
"45","2020-05-03",27,432,28.4285714285714,391
"46","2020-05-04",34,466,30.7142857142857,421.714285714286
"47","2020-05-05",29,495,31.2857142857143,453
"48","2020-05-06",42,537,33.7142857142857,486.714285714286
"49","2020-05-07",37,574,35,521.714285714286
"50","2020-05-08",33,607,35.4285714285714,557.142857142857
"51","2020-05-09",24,631,35.2857142857143,592.428571428571
"52","2020-05-10",25,656,35.8571428571429,628.285714285714
"53","2020-05-11",52,708,39.4285714285714,667.714285714286
"54","2020-05-12",56,764,42.5714285714286,710.285714285714
"55","2020-05-13",45,809,44.8571428571429,755.142857142857
"56","2020-05-14",67,876,48.4285714285714,803.571428571429
"57","2020-05-15",80,956,54.5714285714286,858.142857142857
"58","2020-05-16",54,1010,57.5714285714286,915.714285714286
"59","2020-05-17",26,1036,57.8571428571429,973.571428571429
"60","2020-05-18",80,1116,65.7142857142857,1039.28571428571
"61","2020-05-19",70,1186,68.2857142857143,1107.57142857143
"62","2020-05-20",77,1263,71.2857142857143,1178.85714285714
"63","2020-05-21",92,1355,78,1256.85714285714
"64","2020-05-22",79,1434,79.7142857142857,1336.57142857143
"65","2020-05-23",52,1486,75.7142857142857,1412.28571428571
"66","2020-05-24",40,1526,73.7142857142857,1486
"67","2020-05-25",89,1615,82.7142857142857,1568.71428571429
"68","2020-05-26",71,1686,81.4285714285714,1650.14285714286
"69","2020-05-27",79,1765,82.7142857142857,1732.85714285714
"70","2020-05-28",93,1858,85,1817.85714285714
"71","2020-05-29",73,1931,82.2857142857143,1900.14285714286
"72","2020-05-30",47,1978,77.7142857142857,1977.85714285714
"73","2020-05-31",41,2019,76.1428571428571,2054
"74","2020-06-01",94,2113,83.8571428571429,2137.85714285714
"75","2020-06-02",79,2192,82.4285714285714,2220.28571428571
"76","2020-06-03",66,2258,81.7142857142857,2302
"77","2020-06-04",63,2321,79.4285714285714,2381.42857142857
"78","2020-06-05",65,2386,75.4285714285714,2456.85714285714
"79","2020-06-06",51,2437,72.2857142857143,2529.14285714286
"80","2020-06-07",29,2466,69.7142857142857,2598.85714285714
"81","2020-06-08",88,2554,76.4285714285714,2675.28571428571
"82","2020-06-09",110,2664,78.7142857142857,2754
"83","2020-06-10",76,2740,78.2857142857143,2832.28571428571
"84","2020-06-11",72,2812,79.1428571428571,2911.42857142857
"85","2020-06-12",96,2908,83.8571428571429,2995.28571428571
"86","2020-06-13",45,2953,81,3076.28571428571
"87","2020-06-14",42,2995,79.7142857142857,3156
"88","2020-06-15",79,3074,86.8571428571429,3242.85714285714
"89","2020-06-16",72,3146,84.5714285714286,3327.42857142857
"90","2020-06-17",73,3219,79.2857142857143,3406.71428571429
"91","2020-06-18",75,3294,79.1428571428571,3485.85714285714
"92","2020-06-19",83,3377,80.7142857142857,3566.57142857143
"93","2020-06-20",53,3430,74.5714285714286,3641.14285714286
"94","2020-06-21",28,3458,72.1428571428571,3713.28571428571
"95","2020-06-22",73,3531,76.5714285714286,3789.85714285714
"96","2020-06-23",79,3610,76.5714285714286,3866.42857142857
"97","2020-06-24",84,3694,78.2857142857143,3944.71428571429
"98","2020-06-25",84,3778,79.8571428571429,4024.57142857143
"99","2020-06-26",89,3867,81.8571428571429,4106.42857142857
