"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.97983635248287,0.480180847219087,1.15332763457435,1.26152148544423,1.6383774519867,1.94115427299607,2.27918638489207,2.83013922736754,3.02600489353684
"2",3,9,1.8508510709821,0.413862881094426,1.13054791791593,1.22661930531471,1.55750482269447,1.82009662842002,2.11071119151382,2.58001602724153,2.74581655549611
"3",4,10,1.6598255473946,0.353875995729871,1.0402038336583,1.12368216934649,1.40946089138782,1.63474554488301,1.88287952167363,2.28153910632812,2.42189149835882
"4",5,11,1.36051701282355,0.29688915216853,0.842181474245714,0.91167757499964,1.15028182588004,1.33898350795575,1.54730468078776,1.8828271933052,2.00115064929104
"5",6,12,1.51955150817757,0.303910301635514,0.983373616087764,1.05652142152659,1.30505416438299,1.49933955039919,1.71203628641011,2.05154061203181,2.17053330623023
"6",7,13,1.67239125343218,0.300370336179623,1.13630871763206,1.21083887716069,1.46120916559913,1.65444333325807,1.86402285976465,2.19517577415074,2.31042822897399
"7",8,14,1.58909037964975,0.268605299101828,1.10685967381196,1.17454841425186,1.40063175120543,1.57398207752358,1.76109023495893,2.05517570566388,2.1571489691523
"8",9,15,1.21314631215496,0.21788750979726,0.824274061130023,0.878337957954957,1.05995562156622,1.20012695850468,1.3521551571471,1.59237223315871,1.67597592951187
"9",10,16,1.14063579400911,0.208250651425536,0.769582180362063,0.82102885471332,0.994136650013354,1.12798740300826,1.273357534573,1.50339494237803,1.58353849204396
"10",11,17,1.05735749373757,0.199821783951438,0.702606375751011,0.751503199346331,0.91661575384997,1.04479689332466,1.18441824159611,1.4060650106415,1.48345679568749
"11",12,18,1.07077800228566,0.202358021671887,0.711524206217586,0.761041652679744,0.928249898056373,1.05805797646914,1.19945146851322,1.42391148887262,1.50228556904481
"12",13,19,0.919528965189329,0.187698064035274,0.589159558538521,0.634055018510246,0.78695255812851,0.906789744823123,1.03823182121587,1.24846686855193,1.32225556012215
"13",14,20,0.80589685778028,0.180204015685019,0.492262737344415,0.534094103703993,0.678168147759767,0.792505770289695,0.919045050999199,1.12338958113655,1.19558238304998
"14",15,21,0.704461169667916,0.176115292416979,0.402660426272046,0.441871363647153,0.579069429047755,0.689840498316515,0.813938444846067,1.01693944042496,1.08928272025295
"15",16,22,1.09066082850418,0.232529669938096,0.683511334556705,0.738364418910507,0.926147802676178,1.07418091809365,1.23722817877192,1.49918486064906,1.59140952631651
"16",17,23,1.05778279374958,0.225520049376049,0.662906845218308,0.716106380121494,0.898229022750755,1.04179967120662,1.19993186263226,1.45399184494353,1.54343639264597
"17",18,24,1.1310451387699,0.230873622170137,0.724681962038696,0.779904574567714,0.967972624038575,1.11537555813418,1.27705281590629,1.53564752829749,1.62640958589021
"18",19,25,1.31947418264856,0.245020204562813,0.883672568472983,0.943923495142664,1.14700546008529,1.30433919532281,1.47545740471393,1.74666084594649,1.84124868882181
"19",20,26,1.44974402658089,0.245051466466418,1.00979983323909,1.07155298987274,1.27781121876602,1.43596056212872,1.60666132090258,1.87495861847523,1.96798990952481
"20",21,27,1.30987326640018,0.218312211066697,0.917419132252606,0.972623343166764,1.15677304140293,1.29776497771082,1.4497826397496,1.68843155938434,1.77111338616552
"21",22,28,1.34387827669129,0.212485812618323,0.960086343527779,1.01448494879789,1.19511949475756,1.33269603389485,1.48045423643745,1.71142014878607,1.79119769811615
"22",23,29,1.29359932042336,0.19960670865001,0.932312606781247,0.983693909451119,1.15396518732229,1.28334727091225,1.42206373928784,1.63847967898259,1.71312989065272
"23",24,30,1.29011448854042,0.192318913008917,0.941018360656385,0.990894370969371,1.15572275897691,1.28057077177963,1.41410784485837,1.62189280356367,1.69343140676783
"24",25,31,1.46988007711294,0.198198589165401,1.10731483308798,1.15975713132241,1.33179115011187,1.46098137505908,1.59827247200682,1.81036013073283,1.88300420795696
"25",26,32,1.55230661274149,0.191075735419428,1.20055382183768,1.25194276848524,1.4195153721038,1.54447375856424,1.67656211322706,1.87939110289754,1.9485642937621
"26",27,33,1.37369151203307,0.166584564739022,1.0667252098774,1.11164003830333,1.25796668965731,1.36696362987701,1.48208464381886,1.65869412689122,1.71888466685441
"27",28,34,1.45285866732372,0.163459370836143,1.15024188879545,1.19484569298989,1.33952303557785,1.44673308162289,1.559518634082,1.73176791879238,1.79028104780965
"28",29,35,1.52120889161482,0.157742013819898,1.22781190509586,1.27137273490988,1.41205238693785,1.51576001787234,1.62442694323669,1.78963266698462,1.845567152705
"29",30,36,1.46450173242851,0.144301643488414,1.19537378014184,1.23550049931283,1.36476238865788,1.45976498107651,1.55907860149178,1.70966124988904,1.76054493673549
"30",31,37,1.49791273123212,0.137313434939991,1.24089649917505,1.2794314215948,1.40315237895263,1.49371899309471,1.58810228464103,1.73069986981525,1.77875909204787
"31",32,38,1.35794178710885,0.122441487508208,1.12858238863524,1.16301240685741,1.27347386193134,1.35426350631986,1.43840068976149,1.56541863205222,1.60820239750609
"32",33,39,1.31404369758921,0.115249256269048,1.09788005945177,1.13039356021438,1.23458267312735,1.31067589497383,1.38983405700773,1.50918216086676,1.54934441420202
"33",34,40,1.35114729817543,0.112595608181286,1.13948088984778,1.17142969621179,1.27359483995707,1.34802093275894,1.42529218029376,1.54152958853771,1.58057901996611
"34",35,41,1.34725080275555,0.107522319576768,1.14475253988738,1.17540350490677,1.27325382788371,1.34439147981894,1.41813122150971,1.52885182198293,1.56599705094514
"35",36,42,1.31786835703696,0.10167575114992,1.12611820738512,1.15520357838684,1.24793880239016,1.31525446320807,1.38494883605725,1.48944963009213,1.52447192984912
"36",37,43,1.25925567987964,0.0954639267282376,1.07909586231225,1.10645221792967,1.19361926939145,1.25684413598249,1.32226355807414,1.42028537295437,1.45311910504444
"37",38,44,1.17646440609329,0.0894449324827655,1.00768267499714,1.03330688991547,1.11496318106858,1.17419839343392,1.23549572676596,1.32735172022422,1.3581227575294
"38",39,45,1.19363045101424,0.088477775616019,1.02651006059481,1.05192025276158,1.13282168714818,1.19144502789232,1.25205713524041,1.34279553000463,1.37316955667386
"39",40,46,1.1981922721945,0.0866981500417565,1.03428448881452,1.05924096452313,1.13863165464687,1.19610183622124,1.25547433075393,1.34427443236919,1.37397904327906
"40",41,47,1.16511679794955,0.0834357469004872,1.0073163500656,1.03135703875137,1.10780760775464,1.16312575168773,1.22025575765216,1.30566836971303,1.33423146286944
"41",42,48,1.20161362066818,0.0831173521394661,1.04421856074603,1.06824348930904,1.14455642480125,1.19969771584648,1.25658247285543,1.34151923214236,1.36989595020189
"42",43,49,1.17962037061673,0.0802629999501048,1.02754249313838,1.05077636724585,1.12453752248395,1.17780046907906,1.23271951174099,1.31467236543277,1.34203999235097
"43",44,50,1.16946089341593,0.0781378926855885,1.02131668310221,1.043971308452,1.11585226426059,1.16772108536862,1.22117311067704,1.30088525231422,1.32749173069544
"44",45,51,1.1369999810264,0.0754653392695948,0.993890356121695,1.01578265669716,1.08523045075848,1.13533081408797,1.18695009652607,1.26391110900337,1.28959481508335
"45",46,52,1.09223930601531,0.0728159537343541,0.954174645686194,0.975290331571199,1.04228372511067,1.09062160057664,1.14043156752359,1.2147065415673,1.23949673577813
"46",47,53,1.15969524225824,0.0743944844773029,1.0184561959477,1.04009983717586,1.10868768160685,1.15810482798139,1.20896921771981,1.28471580451032,1.30997201104029
"47",48,54,1.23619698774299,0.0752325528563083,1.09312716375713,1.11510753503031,1.18465597271307,1.23467115403706,1.28607479557839,1.36249129186805,1.38793759249564
"48",49,55,1.16816884746391,0.0707007949291138,1.03369414225906,1.05435938550906,1.11973644145266,1.16674282189921,1.21504683882762,1.28684269901656,1.31074716276114
"49",50,56,1.24145174293718,0.0713195391656769,1.10558821756098,1.12651661591697,1.1926321049713,1.24008627687201,1.28878296532929,1.3610446731477,1.38507477538263
"50",51,57,1.34244426760449,0.0717566644316381,1.20547113511818,1.22663550900075,1.29337356838975,1.34116596594896,1.39012154952399,1.46261348890243,1.4866816204804
"51",52,58,1.32079390941881,0.0677552979314808,1.19131807647943,1.21135708734524,1.27448415483297,1.3196354991208,1.36584092797911,1.43418222365785,1.456852673479
"52",53,59,1.21133158052818,0.0620583968060215,1.09273811274053,1.11109380428323,1.16891628098447,1.21027196286051,1.25259183369236,1.31518385395893,1.33594656827548
"53",54,60,1.2356424416259,0.0610985864835398,1.11877805791696,1.13689084595211,1.19390160051271,1.23463554411015,1.27628569980378,1.33782869581356,1.35822876398419
"54",55,61,1.20440029829029,0.0585599464233916,1.09234506017749,1.10972343144354,1.16440197773664,1.20345133735663,1.24336418852408,1.30231419306741,1.32184824193918
"55",56,62,1.23112099919568,0.057715842658316,1.12058419332186,1.13774985278551,1.19171629720334,1.23021919661022,1.26954267273067,1.32756830768455,1.34678253240142
"56",57,63,1.2230155812914,0.0558227685044659,1.11603789162625,1.13266649672562,1.18491510720295,1.22216636984914,1.26019035247565,1.316261431209,1.33481914245684
"57",58,64,1.1514966946707,0.0526132268992768,1.0506721206432,1.06634371816156,1.11558638830582,1.15069547398232,1.18653361167105,1.23938273419119,1.2568744196335
"58",59,65,1.10808841385759,0.0507358831441621,1.01086613208474,1.02597670980125,1.07345863094869,1.10731416462834,1.14187420844686,1.19284117805732,1.20971057354515
