"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-11",1,1,0,0
"2","2020-03-12",3,4,0,0
"3","2020-03-13",3,7,0,0
"4","2020-03-14",5,12,0,0
"5","2020-03-15",2,14,0,0
"6","2020-03-16",12,26,0,0
"7","2020-03-17",6,32,0,0
"8","2020-03-18",17,49,7,20.7142857142857
"9","2020-03-19",10,59,8.28571428571429,29
"10","2020-03-20",5,64,8.57142857142857,37.5714285714286
"11","2020-03-21",1,65,8.28571428571429,45.8571428571429
"12","2020-03-22",3,68,8,53.8571428571429
"13","2020-03-23",8,76,8.85714285714286,62.7142857142857
"14","2020-03-24",7,83,8.14285714285714,70.8571428571429
"15","2020-03-25",7,90,8.28571428571429,79.1428571428571
"16","2020-03-26",6,96,6.71428571428571,85.8571428571429
"17","2020-03-27",7,103,6.28571428571429,92.1428571428571
"18","2020-03-28",2,105,5.85714285714286,98
"19","2020-03-29",2,107,6,104
"20","2020-03-30",7,114,6.57142857142857,110.571428571429
"21","2020-03-31",7,121,6.42857142857143,117
"22","2020-04-01",2,123,5.71428571428571,122.714285714286
"23","2020-04-02",8,131,5.85714285714286,128.571428571429
"24","2020-04-03",10,141,6.42857142857143,135
"25","2020-04-04",2,143,5.71428571428571,140.714285714286
"26","2020-04-05",2,145,5.71428571428571,146.428571428571
"27","2020-04-06",4,149,6,152.428571428571
"28","2020-04-07",6,155,5.85714285714286,158.285714285714
"29","2020-04-08",9,164,6.14285714285714,164.428571428571
"30","2020-04-09",5,169,6.57142857142857,171
"31","2020-04-10",8,177,6.57142857142857,177.571428571429
"32","2020-04-11",5,182,5.85714285714286,183.428571428571
"33","2020-04-12",5,187,6.28571428571429,189.714285714286
"34","2020-04-13",10,197,7.42857142857143,197.142857142857
"35","2020-04-14",4,201,7.42857142857143,204.571428571429
"36","2020-04-15",11,212,8.14285714285714,212.714285714286
"37","2020-04-16",9,221,8.14285714285714,220.857142857143
"38","2020-04-17",14,235,9.42857142857143,230.285714285714
"39","2020-04-18",7,242,9.28571428571429,239.571428571429
"40","2020-04-19",3,245,9,248.571428571429
"41","2020-04-20",9,254,9.57142857142857,258.142857142857
"42","2020-04-21",16,270,10.4285714285714,268.571428571429
"43","2020-04-22",25,295,13.4285714285714,282
"44","2020-04-23",19,314,14.5714285714286,296.571428571429
"45","2020-04-24",32,346,17.8571428571429,314.428571428571
"46","2020-04-25",9,355,17.1428571428571,331.571428571429
"47","2020-04-26",9,364,17.4285714285714,349
"48","2020-04-27",22,386,20.1428571428571,369.142857142857
"49","2020-04-28",14,400,20.8571428571429,390
"50","2020-04-29",22,422,21.7142857142857,411.714285714286
"51","2020-04-30",26,448,21.8571428571429,433.571428571429
"52","2020-05-01",15,463,21.2857142857143,454.857142857143
"53","2020-05-02",29,492,20.8571428571429,475.714285714286
"54","2020-05-03",16,508,21.8571428571429,497.571428571429
"55","2020-05-04",30,538,24.8571428571429,522.428571428571
"56","2020-05-05",20,558,24.5714285714286,547
"57","2020-05-06",25,583,26.1428571428571,573.142857142857
"58","2020-05-07",49,632,30,603.142857142857
"59","2020-05-08",26,658,30,633.142857142857
