"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-31",1,1,0,0
"2","2020-04-30",1,2,0,0
"3","2020-05-02",1,3,0,0
"4","2020-05-03",1,4,0,0
"5","2020-05-04",1,5,0,0
"6","2020-05-05",1,6,0,0
"7","2020-05-06",2,8,0,0
"8","2020-05-07",2,10,1.42857142857143,5.57142857142857
"9","2020-05-11",1,11,1.42857142857143,7
"10","2020-05-13",1,12,1.42857142857143,8.42857142857143
"11","2020-05-15",1,13,1.42857142857143,9.85714285714286
"12","2020-05-16",1,14,1.42857142857143,11.2857142857143
"13","2020-05-17",1,15,1.42857142857143,12.7142857142857
"14","2020-05-20",1,16,1.42857142857143,14.1428571428571
"15","2020-05-23",2,18,1.42857142857143,15.5714285714286
"16","2020-05-24",1,19,1.28571428571429,16.8571428571429
"17","2020-05-27",1,20,1.28571428571429,18.1428571428571
"18","2020-05-30",2,22,1.42857142857143,19.5714285714286
"19","2020-05-31",4,26,1.85714285714286,21.4285714285714
"20","2020-06-01",1,27,1.85714285714286,23.2857142857143
"21","2020-06-03",3,30,2.14285714285714,25.4285714285714
"22","2020-06-04",1,31,2.14285714285714,27.5714285714286
"23","2020-06-05",5,36,2.57142857142857,30.1428571428571
"24","2020-06-06",4,40,3,33.1428571428571
"25","2020-06-07",5,45,3.57142857142857,36.7142857142857
"26","2020-06-08",1,46,3.42857142857143,40.1428571428571
"27","2020-06-09",3,49,3.28571428571429,43.4285714285714
"28","2020-06-10",1,50,3.28571428571429,46.7142857142857
"29","2020-06-11",2,52,3.14285714285714,49.8571428571429
"30","2020-06-12",3,55,3.42857142857143,53.2857142857143
"31","2020-06-13",2,57,3,56.2857142857143
"32","2020-06-14",6,63,3.28571428571429,59.5714285714286
"33","2020-06-15",1,64,2.71428571428571,62.2857142857143
"34","2020-06-16",2,66,2.85714285714286,65.1428571428571
"35","2020-06-17",2,68,2.71428571428571,67.8571428571429
"36","2020-06-18",2,70,2.85714285714286,70.7142857142857
"37","2020-06-19",2,72,2.85714285714286,73.5714285714286
"38","2020-06-20",3,75,2.85714285714286,76.4285714285714
"39","2020-06-21",5,80,3.28571428571429,79.7142857142857
"40","2020-06-22",4,84,3,82.7142857142857
"41","2020-06-23",1,85,3,85.7142857142857
"42","2020-06-24",2,87,3,88.7142857142857
"43","2020-06-25",4,91,3.28571428571429,92
"44","2020-06-26",1,92,3.14285714285714,95.1428571428571
"45","2020-06-27",1,93,3,98.1428571428571
"46","2020-06-28",3,96,3,101.142857142857
"47","2020-06-29",6,102,3.14285714285714,104.285714285714
"48","2020-06-30",2,104,2.85714285714286,107.142857142857
"49","2020-07-01",3,107,3.14285714285714,110.285714285714
"50","2020-07-02",2,109,3.14285714285714,113.428571428571
"51","2020-07-03",3,112,3,116.428571428571
"52","2020-07-04",5,117,3.57142857142857,120
"53","2020-07-05",1,118,3.57142857142857,123.571428571429
"54","2020-07-06",5,123,3.85714285714286,127.428571428571
"55","2020-07-07",4,127,3.57142857142857,131
"56","2020-07-08",5,132,4,135
"57","2020-07-11",2,134,3.85714285714286,138.857142857143
"58","9999-99-99",1216,1350,177.285714285714,316.142857142857
