"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-26",1,1,0,0
"2","2020-04-10",1,2,0,0
"3","2020-04-13",1,3,0,0
"4","2020-04-14",1,4,0,0
"5","2020-04-15",1,5,0,0
"6","2020-04-16",2,7,0,0
"7","2020-04-19",1,8,0,0
"8","2020-04-20",1,9,1.28571428571429,5.57142857142857
"9","2020-04-28",1,10,1.28571428571429,6.85714285714286
"10","2020-04-29",1,11,1.28571428571429,8.14285714285714
"11","2020-04-30",1,12,1.28571428571429,9.42857142857143
"12","2020-05-04",2,14,1.42857142857143,10.8571428571429
"13","2020-05-07",1,15,1.42857142857143,12.2857142857143
"14","2020-05-08",1,16,1.28571428571429,13.5714285714286
"15","2020-05-10",1,17,1.28571428571429,14.8571428571429
"16","2020-05-12",1,18,1.28571428571429,16.1428571428571
"17","2020-05-13",1,19,1.28571428571429,17.4285714285714
"18","2020-05-16",1,20,1.28571428571429,18.7142857142857
"19","2020-05-17",2,22,1.42857142857143,20.1428571428571
"20","2020-05-20",3,25,1.57142857142857,21.7142857142857
"21","2020-05-21",2,27,1.71428571428571,23.4285714285714
"22","2020-05-24",2,29,1.85714285714286,25.2857142857143
"23","2020-05-25",1,30,1.85714285714286,27.1428571428571
"24","2020-05-26",1,31,1.85714285714286,29
"25","2020-05-28",3,34,2.14285714285714,31.1428571428571
"26","2020-05-31",1,35,2.14285714285714,33.2857142857143
"27","2020-06-01",3,38,2.28571428571429,35.5714285714286
"28","2020-06-03",1,39,2,37.5714285714286
"29","2020-06-05",1,40,1.85714285714286,39.4285714285714
"30","2020-06-07",1,41,1.71428571428571,41.1428571428571
"31","2020-06-08",1,42,1.71428571428571,42.8571428571429
"32","2020-06-10",2,44,1.85714285714286,44.7142857142857
"33","2020-06-11",1,45,1.57142857142857,46.2857142857143
"34","2020-06-13",3,48,1.85714285714286,48.1428571428571
"35","2020-06-16",1,49,1.57142857142857,49.7142857142857
"36","2020-06-17",6,55,2.28571428571429,52
"37","2020-06-18",2,57,2.42857142857143,54.4285714285714
"38","2020-06-19",2,59,2.57142857142857,57
"39","2020-06-21",3,62,2.85714285714286,59.8571428571429
"40","2020-06-24",1,63,2.71428571428571,62.5714285714286
"41","2020-06-25",1,64,2.71428571428571,65.2857142857143
"42","2020-06-26",2,66,2.57142857142857,67.8571428571429
"43","2020-06-27",2,68,2.71428571428571,70.5714285714286
"44","2020-07-01",2,70,2.14285714285714,72.7142857142857
"45","2020-07-02",1,71,2,74.7142857142857
"46","2020-07-04",2,73,2,76.7142857142857
"47","2020-07-05",2,75,1.85714285714286,78.5714285714286
"48","2020-07-07",1,76,1.85714285714286,80.4285714285714
"49","9999-99-99",1065,1141,153.857142857143,234.285714285714
