"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.73559041952993,0.38808981591663,1.06014371762134,1.15023231641487,1.46051213467209,1.70675119161712,1.97926790535457,2.41934706109986,2.57482245990597
"2",3,9,1.47272429963593,0.32931116461017,0.899578262520131,0.976022374604658,1.23930835664978,1.44825295475408,1.67949529272849,2.05292168361908,2.18484935229068
"3",4,10,1.27510041679713,0.292528097878172,0.767693746132993,0.834986232913976,1.06754646076698,1.25280135095369,1.45837620237399,1.79129933943301,1.90914478810893
"4",5,11,1.10136518099622,0.267120292566172,0.641585804507498,0.701773072003903,0.911414661461554,1.07984668760061,1.26789091541468,1.57438103330367,1.68333934422718
"5",6,12,1.18509237697759,0.279328952031112,0.702360849827767,0.765984754754525,0.986689446250082,1.16321994454385,1.35968333084043,1.67883017722163,1.79203393628756
"6",7,13,1.22451193440487,0.280922304064754,0.737236175068552,0.801858891894317,1.02519249819117,1.20309756429592,1.40051641512649,1.72023112088455,1.8334011555093
"7",8,14,1.11198830256542,0.262098156448042,0.659034742236938,0.718733917943835,0.925824133046122,1.09146510160027,1.27580937018915,1.57526919869774,1.68148982616376
"8",9,15,1.28978141989439,0.281453380314937,0.798395027348521,0.864277907652604,1.09047671780542,1.26936747856039,1.46685767938611,1.78493580595298,1.8971074242641
"9",10,16,1.2638035343479,0.269443818855725,0.792018946499005,0.855579973047739,1.07317402052109,1.24470743363699,1.43363849169428,1.73718086871026,1.84404622536236
"10",11,17,1.24298480711004,0.259180248736395,0.787945743230439,0.849525944941495,1.05977181915264,1.22501768750759,1.40663169768951,1.69774486104067,1.80007246019135
"11",12,18,1.3338835601085,0.261596088532841,0.871337027197212,0.934669993190322,1.14938446981363,1.3168220146831,1.49980046534264,1.79130712777278,1.89334160301011
"12",13,19,1.32313426432799,0.25004887246859,0.879213109660151,0.940400610669934,1.14701576176916,1.30741643863017,1.48213292858156,1.75949270182618,1.85633764138384
"13",14,20,1.22245376328934,0.231022046209901,0.812311647891045,0.868843243279567,1.05973654551154,1.20793194513903,1.3693538328552,1.62560862704283,1.71508439984198
