"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-14",1,1,0,0
"2","2020-03-17",1,2,0,0
"3","2020-03-18",1,3,0,0
"4","2020-03-20",1,4,0,0
"5","2020-03-21",1,5,0,0
"6","2020-03-23",2,7,0,0
"7","2020-03-24",3,10,0,0
"8","2020-03-28",3,13,1.85714285714286,6.42857142857143
"9","2020-03-29",1,14,1.85714285714286,8.28571428571429
"10","2020-03-30",1,15,1.85714285714286,10.1428571428571
"11","2020-03-31",1,16,1.85714285714286,12
"12","2020-04-01",3,19,2.14285714285714,14.1428571428571
"13","2020-04-02",8,27,3.14285714285714,17.2857142857143
"14","2020-04-03",1,28,3,20.2857142857143
"15","2020-04-04",3,31,3,23.2857142857143
"16","2020-04-05",3,34,3,26.2857142857143
"17","2020-04-06",8,42,4,30.2857142857143
"18","2020-04-07",6,48,4.71428571428571,35
"19","2020-04-08",6,54,5.42857142857143,40.4285714285714
"20","2020-04-09",6,60,5.85714285714286,46.2857142857143
"21","2020-04-10",3,63,5.14285714285714,51.4285714285714
"22","2020-04-11",2,65,5.28571428571429,56.7142857142857
"23","2020-04-12",4,69,5.42857142857143,62.1428571428571
"24","2020-04-13",9,78,6.28571428571429,68.4285714285714
"25","2020-04-14",10,88,6.57142857142857,75
"26","2020-04-15",10,98,7.14285714285714,82.1428571428571
"27","2020-04-16",8,106,7.42857142857143,89.5714285714286
"28","2020-04-17",11,117,8.14285714285714,97.7142857142857
"29","2020-04-18",9,126,9,106.714285714286
"30","2020-04-19",18,144,11.2857142857143,118
"31","2020-04-20",31,175,15.1428571428571,133.142857142857
"32","2020-04-21",19,194,16.5714285714286,149.714285714286
"33","2020-04-22",32,226,19.7142857142857,169.428571428571
"34","2020-04-23",29,255,22.4285714285714,191.857142857143
"35","2020-04-24",33,288,26,217.857142857143
"36","2020-04-25",14,302,26.4285714285714,244.285714285714
"37","2020-04-26",31,333,29.5714285714286,273.857142857143
"38","2020-04-27",47,380,33.7142857142857,307.571428571429
"39","2020-04-28",28,408,33.2857142857143,340.857142857143
"40","2020-04-29",43,451,36.7142857142857,377.571428571429
"41","2020-04-30",36,487,37.2857142857143,414.857142857143
"42","2020-05-01",32,519,37.7142857142857,452.571428571429
