"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-04-01",1,1,0,0
"2","2020-04-13",1,2,0,0
"3","2020-04-16",1,3,0,0
"4","2020-04-17",1,4,0,0
"5","2020-04-19",1,5,0,0
"6","2020-04-21",2,7,0,0
"7","2020-04-22",2,9,0,0
"8","2020-04-23",1,10,1.42857142857143,5.85714285714286
"9","2020-04-24",1,11,1.42857142857143,7.28571428571429
"10","2020-04-25",2,13,1.57142857142857,8.85714285714286
"11","2020-04-26",1,14,1.57142857142857,10.4285714285714
"12","2020-04-27",1,15,1.57142857142857,12
"13","2020-04-28",1,16,1.57142857142857,13.5714285714286
"14","2020-04-29",2,18,1.57142857142857,15.1428571428571
"15","2020-04-30",2,20,1.57142857142857,16.7142857142857
"16","2020-05-01",2,22,1.71428571428571,18.4285714285714
"17","2020-05-02",2,24,1.85714285714286,20.2857142857143
"18","2020-05-03",2,26,1.85714285714286,22.1428571428571
"19","2020-05-05",3,29,2.14285714285714,24.2857142857143
"20","2020-05-06",3,32,2.42857142857143,26.7142857142857
"21","2020-05-07",2,34,2.57142857142857,29.2857142857143
"22","2020-05-08",3,37,2.71428571428571,32
"23","2020-05-09",3,40,2.85714285714286,34.8571428571429
"24","2020-05-10",3,43,3,37.8571428571429
"25","2020-05-12",2,45,3,40.8571428571429
"26","2020-05-13",3,48,3.14285714285714,44
"27","2020-05-14",3,51,3.14285714285714,47.1428571428571
"28","2020-05-15",1,52,2.85714285714286,50
"29","2020-05-18",4,56,3.14285714285714,53.1428571428571
"30","2020-05-19",1,57,2.85714285714286,56
"31","2020-05-20",4,61,3,59
"32","2020-05-21",2,63,2.85714285714286,61.8571428571429
"33","2020-05-22",3,66,3,64.8571428571429
"34","2020-05-23",5,71,3.28571428571429,68.1428571428571
"35","2020-05-25",2,73,3.14285714285714,71.2857142857143
"36","2020-05-26",1,74,3.14285714285714,74.4285714285714
"37","2020-05-27",2,76,2.85714285714286,77.2857142857143
"38","2020-05-28",1,77,2.85714285714286,80.1428571428571
"39","2020-05-30",4,81,2.85714285714286,83
"40","2020-05-31",1,82,2.71428571428571,85.7142857142857
"41","2020-06-01",1,83,2.42857142857143,88.1428571428571
"42","2020-06-02",3,86,2.14285714285714,90.2857142857143
"43","2020-06-03",2,88,2.14285714285714,92.4285714285714
"44","2020-06-05",4,92,2.57142857142857,95
"45","2020-06-06",2,94,2.57142857142857,97.5714285714286
"46","2020-06-07",2,96,2.71428571428571,100.285714285714
"47","2020-06-08",4,100,2.71428571428571,103
"48","2020-06-09",4,104,3.14285714285714,106.142857142857
"49","2020-06-10",3,107,3.42857142857143,109.571428571429
"50","2020-06-11",1,108,3.14285714285714,112.714285714286
"51","2020-06-12",1,109,3,115.714285714286
"52","2020-06-13",2,111,2.71428571428571,118.428571428571
"53","2020-06-14",1,112,2.57142857142857,121
"54","2020-06-15",2,114,2.57142857142857,123.571428571429
"55","2020-06-16",2,116,2.28571428571429,125.857142857143
"56","2020-06-17",1,117,1.85714285714286,127.714285714286
"57","2020-06-19",1,118,1.57142857142857,129.285714285714
"58","2020-06-21",2,120,1.71428571428571,131
"59","2020-06-24",1,121,1.71428571428571,132.714285714286
"60","2020-06-26",1,122,1.57142857142857,134.285714285714
"61","2020-06-29",2,124,1.71428571428571,136
"62","2020-06-30",1,125,1.57142857142857,137.571428571429
"63","2020-07-01",1,126,1.42857142857143,139
"64","2020-07-02",1,127,1.42857142857143,140.428571428571
"65","2020-07-03",1,128,1.42857142857143,141.857142857143
"66","2020-07-05",1,129,1.28571428571429,143.142857142857
"67","9999-99-99",504,633,73.1428571428571,216.285714285714
