"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-18",2,2,0,0
"2","2020-03-20",1,3,0,0
"3","2020-03-22",1,4,0,0
"4","2020-03-23",1,5,0,0
"5","2020-03-24",2,7,0,0
"6","2020-03-25",2,9,0,0
"7","2020-03-26",8,17,0,0
"8","2020-03-27",7,24,3.42857142857143,10.1428571428571
"9","2020-03-28",14,38,5.14285714285714,15.2857142857143
"10","2020-03-29",8,46,6.14285714285714,21.4285714285714
"11","2020-03-30",12,58,7.71428571428571,29.1428571428571
"12","2020-03-31",22,80,10.7142857142857,39.8571428571429
"13","2020-04-01",19,99,13.1428571428571,53
"14","2020-04-02",26,125,16.5714285714286,69.5714285714286
"15","2020-04-03",32,157,20,89.5714285714286
"16","2020-04-04",33,190,23.7142857142857,113.285714285714
"17","2020-04-05",27,217,25.5714285714286,138.857142857143
"18","2020-04-06",53,270,32,170.857142857143
"19","2020-04-07",56,326,38.2857142857143,209.142857142857
"20","2020-04-08",46,372,41.7142857142857,250.857142857143
"21","2020-04-09",53,425,46.5714285714286,297.428571428571
"22","2020-04-10",66,491,52.2857142857143,349.714285714286
"23","2020-04-11",68,559,57.4285714285714,407.142857142857
"24","2020-04-12",72,631,63,470.142857142857
"25","2020-04-13",80,711,70.5714285714286,540.714285714286
"26","2020-04-14",89,800,75.7142857142857,616.428571428571
"27","2020-04-15",93,893,81,697.428571428571
"28","2020-04-16",78,971,85.5714285714286,783
"29","2020-04-17",107,1078,93.2857142857143,876.285714285714
"30","2020-04-18",108,1186,99.2857142857143,975.571428571429
"31","2020-04-19",132,1318,108.428571428571,1084
"32","2020-04-20",162,1480,121.285714285714,1205.28571428571
"33","2020-04-21",154,1634,131.857142857143,1337.14285714286
"34","2020-04-22",164,1798,142.571428571429,1479.71428571429
"35","2020-04-23",158,1956,151.857142857143,1631.57142857143
"36","2020-04-24",194,2150,168.428571428571,1800
"37","2020-04-25",217,2367,184.142857142857,1984.14285714286
"38","2020-04-26",230,2597,201.571428571429,2185.71428571429
"39","2020-04-27",211,2808,212.857142857143,2398.57142857143
"40","2020-04-28",202,3010,218.571428571429,2617.14285714286
"41","2020-04-29",262,3272,234,2851.14285714286
"42","2020-04-30",257,3529,247.285714285714,3098.42857142857
"43","2020-05-01",289,3818,266,3364.42857142857
"44","2020-05-02",259,4077,275.285714285714,3639.71428571429
"45","2020-05-03",256,4333,280.857142857143,3920.57142857143
"46","2020-05-04",329,4662,295,4215.57142857143
"47","2020-05-05",306,4968,308.571428571429,4524.14285714286
"48","2020-05-06",294,5262,321.714285714286,4845.85714285714
"49","2020-05-07",294,5556,326.285714285714,5172.14285714286
"50","2020-05-08",318,5874,335,5507.14285714286
"51","2020-05-09",302,6176,336.857142857143,5844
"52","2020-05-10",313,6489,344.571428571429,6188.57142857143
"53","2020-05-11",336,6825,356,6544.57142857143
"54","2020-05-12",333,7158,356.571428571429,6901.14285714286
"55","2020-05-13",371,7529,365.857142857143,7267
"56","2020-05-14",406,7935,381.857142857143,7648.85714285714
"57","2020-05-15",415,8350,399.142857142857,8048
"58","2020-05-16",385,8735,408.714285714286,8456.71428571429
"59","2020-05-17",437,9172,428,8884.71428571429
"60","2020-05-18",441,9613,446.285714285714,9331
"61","2020-05-19",444,10057,461.714285714286,9792.71428571429
"62","2020-05-20",450,10507,478.428571428571,10271.1428571429
"63","2020-05-21",437,10944,487.857142857143,10759
"64","2020-05-22",430,11374,491.285714285714,11250.2857142857
"65","2020-05-23",422,11796,492.285714285714,11742.5714285714
"66","2020-05-24",452,12248,501.857142857143,12244.4285714286
"67","2020-05-25",467,12715,506.142857142857,12750.5714285714
"68","2020-05-26",462,13177,509.142857142857,13259.7142857143
"69","2020-05-27",438,13615,508.285714285714,13768
"70","2020-05-28",457,14072,509.285714285714,14277.2857142857
"71","2020-05-29",423,14495,507.285714285714,14784.5714285714
"72","2020-05-30",460,14955,511.571428571429,15296.1428571429
"73","2020-05-31",496,15451,522.142857142857,15818.2857142857
"74","2020-06-01",532,15983,533.571428571429,16351.8571428571
"75","2020-06-02",477,16460,535,16886.8571428571
"76","2020-06-03",511,16971,542,17428.8571428571
"77","2020-06-04",505,17476,551.571428571429,17980.4285714286
"78","2020-06-05",491,17967,556.428571428571,18536.8571428571
"79","2020-06-06",519,18486,570.142857142857,19107
"80","2020-06-07",536,19022,581,19688
"81","2020-06-08",566,19588,591,20279
"82","2020-06-09",532,20120,591,20870
"83","2020-06-10",566,20686,603.714285714286,21473.7142857143
"84","2020-06-11",507,21193,603.142857142857,22076.8571428571
"85","2020-06-12",574,21767,613,22689.8571428571
"86","2020-06-13",539,22306,619.857142857143,23309.7142857143
"87","2020-06-14",550,22856,624.285714285714,23934
"88","2020-06-15",551,23407,626.428571428571,24560.4285714286
"89","2020-06-16",609,24016,632.571428571429,25193
"90","2020-06-17",569,24585,637.857142857143,25830.8571428571
"91","2020-06-18",520,25105,631.285714285714,26462.1428571429
"92","2020-06-19",499,25604,630.142857142857,27092.2857142857
"93","2020-06-20",447,26051,612,27704.2857142857
"94","2020-06-21",510,26561,607.857142857143,28312.1428571429
"95","2020-06-22",488,27049,599,28911.1428571429
"96","2020-06-23",487,27536,589.857142857143,29501
"97","2020-06-24",479,28015,571.285714285714,30072.2857142857
"98","2020-06-25",449,28464,554.142857142857,30626.4285714286
"99","2020-06-26",492,28956,550.142857142857,31176.5714285714
"100","2020-06-27",488,29444,548.571428571429,31725.1428571429
"101","2020-06-28",496,29940,555.571428571429,32280.7142857143
"102","2020-06-29",534,30474,559,32839.7142857143
"103","2020-06-30",498,30972,560.428571428571,33400.1428571429
"104","2020-07-01",480,31452,559.428571428571,33959.5714285714
"105","2020-07-02",441,31893,554,34513.5714285714
"106","2020-07-03",436,32329,552.142857142857,35065.7142857143
"107","2020-07-04",426,32755,542.714285714286,35608.4285714286
"108","2020-07-05",441,33196,536,36144.4285714286
"109","2020-07-06",443,33639,528.428571428571,36672.8571428571
"110","2020-07-07",402,34041,509.571428571429,37182.4285714286
"111","2020-07-08",306,34347,482.142857142857,37664.5714285714
"112","2020-07-09",272,34619,452.428571428571,38117
"113","2020-07-10",103,34722,404.142857142857,38521.1428571429
"114","2020-07-11",8,34730,343,38864.1428571429
