"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-18",1,1,0,0
"2","2020-03-19",1,2,0,0
"3","2020-03-23",2,4,0,0
"4","2020-03-24",3,7,0,0
"5","2020-03-28",1,8,0,0
"6","2020-03-31",2,10,0,0
"7","2020-04-03",1,11,0,0
"8","2020-04-04",4,15,2.14285714285714,8.28571428571429
"9","2020-04-05",2,17,2.28571428571429,10.5714285714286
"10","2020-04-06",2,19,2.42857142857143,13
"11","2020-04-07",2,21,2.42857142857143,15.4285714285714
"12","2020-04-08",2,23,2.28571428571429,17.7142857142857
"13","2020-04-09",2,25,2.42857142857143,20.1428571428571
"14","2020-04-11",2,27,2.42857142857143,22.5714285714286
"15","2020-04-12",4,31,2.85714285714286,25.4285714285714
"16","2020-04-13",4,35,2.85714285714286,28.2857142857143
"17","2020-04-14",2,37,2.85714285714286,31.1428571428571
"18","2020-04-15",2,39,2.85714285714286,34
"19","2020-04-16",3,42,3,37
"20","2020-04-17",4,46,3.28571428571429,40.2857142857143
"21","2020-04-18",3,49,3.42857142857143,43.7142857142857
"22","2020-04-19",2,51,3.42857142857143,47.1428571428571
"23","2020-04-20",1,52,3,50.1428571428571
"24","2020-04-21",4,56,3,53.1428571428571
"25","2020-04-22",4,60,3.28571428571429,56.4285714285714
"26","2020-04-23",6,66,3.85714285714286,60.2857142857143
"27","2020-04-24",4,70,4,64.2857142857143
"28","2020-04-25",3,73,3.85714285714286,68.1428571428571
"29","2020-04-26",6,79,4.28571428571429,72.4285714285714
"30","2020-04-27",11,90,5.57142857142857,78
"31","2020-04-28",13,103,7.28571428571429,85.2857142857143
"32","2020-04-29",5,108,7.42857142857143,92.7142857142857
"33","2020-04-30",13,121,8.71428571428571,101.428571428571
"34","2020-05-01",7,128,8.85714285714286,110.285714285714
"35","2020-05-02",15,143,10.4285714285714,120.714285714286
"36","2020-05-03",15,158,12.1428571428571,132.857142857143
"37","2020-05-04",15,173,13.4285714285714,146.285714285714
"38","2020-05-05",24,197,15.2857142857143,161.571428571429
"39","2020-05-06",17,214,15.8571428571429,177.428571428571
"40","2020-05-07",15,229,17.2857142857143,194.714285714286
"41","2020-05-08",6,235,16.2857142857143,211
"42","2020-05-09",7,242,16.2857142857143,227.285714285714
"43","2020-05-10",9,251,15.4285714285714,242.714285714286
"44","2020-05-11",20,271,16.1428571428571,258.857142857143
"45","2020-05-12",18,289,16.5714285714286,275.428571428571
"46","2020-05-13",15,304,15.2857142857143,290.714285714286
"47","2020-05-14",19,323,15.5714285714286,306.285714285714
"48","2020-05-15",17,340,15.8571428571429,322.142857142857
"49","2020-05-16",3,343,15.4285714285714,337.571428571429
"50","2020-05-17",6,349,15.2857142857143,352.857142857143
"51","2020-05-18",18,367,16.5714285714286,369.428571428571
"52","2020-05-19",24,391,17.1428571428571,386.571428571429
"53","2020-05-20",17,408,17,403.571428571429
"54","2020-05-21",19,427,17.5714285714286,421.142857142857
"55","2020-05-22",26,453,18.5714285714286,439.714285714286
"56","2020-05-23",13,466,18,457.714285714286
"57","2020-05-24",8,474,18.7142857142857,476.428571428571
"58","2020-05-25",19,493,20.5714285714286,497
"59","2020-05-26",29,522,22.1428571428571,519.142857142857
"60","2020-05-27",35,557,23.7142857142857,542.857142857143
"61","2020-05-28",33,590,26,568.857142857143
"62","2020-05-29",30,620,27.5714285714286,596.428571428571
"63","2020-05-30",21,641,26.8571428571429,623.285714285714
"64","2020-05-31",11,652,26.5714285714286,649.857142857143
"65","2020-06-01",23,675,28.7142857142857,678.571428571429
