"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-30",1,1,0,0
"2","2020-04-12",1,2,0,0
"3","2020-04-17",1,3,0,0
"4","2020-05-03",1,4,0,0
"5","2020-05-08",1,5,0,0
"6","2020-05-11",1,6,0,0
"7","2020-05-15",1,7,0,0
"8","2020-05-16",1,8,1.14285714285714,5.14285714285714
"9","2020-05-17",2,10,1.28571428571429,6.42857142857143
"10","2020-05-19",1,11,1.28571428571429,7.71428571428571
"11","2020-05-24",1,12,1.28571428571429,9
"12","2020-05-31",1,13,1.28571428571429,10.2857142857143
"13","2020-06-02",3,16,1.57142857142857,11.8571428571429
"14","2020-06-04",1,17,1.57142857142857,13.4285714285714
"15","2020-06-06",2,19,1.71428571428571,15.1428571428571
"16","2020-06-08",2,21,1.85714285714286,17
"17","2020-06-09",3,24,2,19
"18","2020-06-10",1,25,2,21
"19","2020-06-13",1,26,2,23
"20","2020-06-14",3,29,2.28571428571429,25.2857142857143
"21","2020-06-16",1,30,2,27.2857142857143
"22","2020-06-18",1,31,2,29.2857142857143
"23","2020-06-19",1,32,1.85714285714286,31.1428571428571
"24","2020-06-20",2,34,1.85714285714286,33
"25","2020-06-21",2,36,1.71428571428571,34.7142857142857
"26","2020-06-22",1,37,1.71428571428571,36.4285714285714
"27","2020-06-23",1,38,1.71428571428571,38.1428571428571
"28","2020-06-24",2,40,1.57142857142857,39.7142857142857
"29","2020-06-25",2,42,1.71428571428571,41.4285714285714
"30","2020-06-27",1,43,1.71428571428571,43.1428571428571
"31","2020-06-29",2,45,1.85714285714286,45
"32","2020-06-30",1,46,1.71428571428571,46.7142857142857
"33","2020-07-02",1,47,1.57142857142857,48.2857142857143
"34","2020-07-03",1,48,1.57142857142857,49.8571428571429
"35","2020-07-04",1,49,1.57142857142857,51.4285714285714
"36","2020-07-05",1,50,1.42857142857143,52.8571428571429
"37","2020-07-09",2,52,1.42857142857143,54.2857142857143
"38","9999-99-99",398,450,58.1428571428571,112.428571428571
