"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-01-13",1,1,0,0
"2","2020-03-10",2,3,0,0
"3","2020-03-11",4,7,0,0
"4","2020-03-13",5,12,0,0
"5","2020-03-14",6,18,0,0
"6","2020-03-16",6,24,0,0
"7","2020-03-17",6,30,0,0
"8","2020-03-18",9,39,5.57142857142857,19.1428571428571
"9","2020-03-19",4,43,6,25.1428571428571
"10","2020-03-20",12,55,7.42857142857143,32.5714285714286
"11","2020-03-21",4,59,7.42857142857143,40
"12","2020-03-22",4,63,7.28571428571429,47.2857142857143
"13","2020-03-23",5,68,7.14285714285714,54.4285714285714
"14","2020-03-24",5,73,7,61.4285714285714
"15","2020-03-26",1,74,6.28571428571429,67.7142857142857
"16","2020-03-27",8,82,6.14285714285714,73.8571428571429
"17","2020-03-28",2,84,5.85714285714286,79.7142857142857
"18","2020-03-29",3,87,4.57142857142857,84.2857142857143
"19","2020-03-30",4,91,4.57142857142857,88.8571428571429
"20","2020-04-02",5,96,4.71428571428571,93.5714285714286
"21","2020-04-03",2,98,4.28571428571429,97.8571428571429
"22","2020-04-04",3,101,4,101.857142857143
"23","2020-04-05",1,102,4,105.857142857143
"24","2020-04-06",10,112,4.28571428571429,110.142857142857
"25","2020-04-07",7,119,5,115.142857142857
"26","2020-04-08",9,128,5.85714285714286,121
"27","2020-04-09",1,129,5.42857142857143,126.428571428571
"28","2020-04-10",21,150,7.71428571428571,134.142857142857
"29","2020-04-11",8,158,8.57142857142857,142.714285714286
"30","2020-04-12",15,173,10.2857142857143,153
"31","2020-04-13",20,193,13,166
"32","2020-04-14",18,211,14.1428571428571,180.142857142857
"33","2020-04-15",6,217,14,194.142857142857
"34","2020-04-16",12,229,14.4285714285714,208.571428571429
"35","2020-04-17",9,238,15.5714285714286,224.142857142857
"36","2020-04-18",6,244,13.4285714285714,237.571428571429
"37","2020-04-19",2,246,12.5714285714286,250.142857142857
"38","2020-04-20",12,258,12.1428571428571,262.285714285714
"39","2020-04-21",17,275,11.7142857142857,274
"40","2020-04-22",16,291,11.4285714285714,285.428571428571
"41","2020-04-23",6,297,11.4285714285714,296.857142857143
"42","2020-04-24",6,303,10.5714285714286,307.428571428571
"43","2020-04-25",5,308,10,317.428571428571
"44","2020-04-26",8,316,10.2857142857143,327.714285714286
"45","2020-04-27",20,336,12.8571428571429,340.571428571429
"46","2020-04-28",27,363,15,355.571428571429
"47","2020-04-29",22,385,15.7142857142857,371.285714285714
"48","2020-04-30",27,412,17.2857142857143,388.571428571429
"49","2020-05-01",27,439,20.2857142857143,408.857142857143
"50","2020-05-02",22,461,22.5714285714286,431.428571428571
"51","2020-05-03",9,470,23.1428571428571,454.571428571429
"52","2020-05-04",39,509,27.5714285714286,482.142857142857
"53","2020-05-05",62,571,33.5714285714286,515.714285714286
"54","2020-05-06",26,597,33.4285714285714,549.142857142857
"55","2020-05-07",24,621,33.7142857142857,582.857142857143
"56","2020-05-08",29,650,34,616.857142857143
"57","2020-05-09",26,676,33.8571428571429,650.714285714286
"58","2020-05-10",21,697,33.7142857142857,684.428571428571
"59","2020-05-11",42,739,38.4285714285714,722.857142857143
"60","2020-05-12",36,775,38,760.857142857143
"61","2020-05-13",67,842,38.7142857142857,799.571428571429
"62","2020-05-14",38,880,40.4285714285714,840
"63","2020-05-15",74,954,47.5714285714286,887.571428571429
"64","2020-05-16",30,984,47.7142857142857,935.285714285714
"65","2020-05-17",11,995,45.5714285714286,980.857142857143
"66","2020-05-18",46,1041,49.1428571428571,1030
"67","2020-05-19",39,1080,48.7142857142857,1078.71428571429
"68","2020-05-20",61,1141,52.2857142857143,1131
"69","2020-05-21",34,1175,47.5714285714286,1178.57142857143
"70","2020-05-22",50,1225,49.2857142857143,1227.85714285714
"71","2020-05-23",35,1260,43.7142857142857,1271.57142857143
"72","2020-05-24",26,1286,43.1428571428571,1314.71428571429
"73","2020-05-25",80,1366,53,1367.71428571429
"74","2020-05-26",116,1482,63,1430.71428571429
"75","2020-05-27",69,1551,67.2857142857143,1498
"76","2020-05-28",64,1615,67.7142857142857,1565.71428571429
"77","2020-05-29",68,1683,72.5714285714286,1638.28571428571
"78","2020-05-30",42,1725,71.4285714285714,1709.71428571429
"79","2020-05-31",21,1746,69.4285714285714,1779.14285714286
"80","2020-06-01",83,1829,77.5714285714286,1856.71428571429
"81","2020-06-02",94,1923,79.5714285714286,1936.28571428571
"82","2020-06-03",75,1998,73.7142857142857,2010
"83","2020-06-04",132,2130,82.7142857142857,2092.71428571429
"84","2020-06-05",147,2277,94.5714285714286,2187.28571428571
"85","2020-06-06",78,2355,96,2283.28571428571
"86","2020-06-07",41,2396,95.8571428571429,2379.14285714286
"87","2020-06-08",202,2598,121.714285714286,2500.85714285714
"88","2020-06-09",152,2750,131.571428571429,2632.42857142857
"89","2020-06-10",215,2965,148.857142857143,2781.28571428571
"90","2020-06-11",198,3163,166.428571428571,2947.71428571429
"91","2020-06-12",242,3405,182.142857142857,3129.85714285714
"92","2020-06-13",160,3565,184,3313.85714285714
"93","2020-06-14",103,3668,187.571428571429,3501.42857142857
"94","2020-06-15",277,3945,221.285714285714,3722.71428571429
"95","2020-06-16",212,4157,222.714285714286,3945.42857142857
"96","2020-06-17",177,4334,226.285714285714,4171.71428571429
"97","2020-06-18",229,4563,228.285714285714,4400
"98","2020-06-19",207,4770,229.571428571429,4629.57142857143
"99","2020-06-20",171,4941,219.428571428571,4849
