"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-04-24",1,1,0,0
"2","2020-04-28",1,2,0,0
"3","2020-04-30",1,3,0,0
"4","2020-05-04",1,4,0,0
"5","2020-05-07",1,5,0,0
"6","2020-05-11",1,6,0,0
"7","2020-05-14",1,7,0,0
"8","2020-05-20",2,9,1.28571428571429,5.28571428571429
"9","2020-05-22",1,10,1.28571428571429,6.57142857142857
"10","2020-05-26",1,11,1.28571428571429,7.85714285714286
"11","2020-05-28",1,12,1.28571428571429,9.14285714285714
"12","2020-05-29",1,13,1.28571428571429,10.4285714285714
"13","2020-06-01",2,15,1.42857142857143,11.8571428571429
"14","2020-06-02",1,16,1.42857142857143,13.2857142857143
"15","2020-06-04",1,17,1.42857142857143,14.7142857142857
"16","2020-06-05",1,18,1.28571428571429,16
"17","2020-06-11",1,19,1.28571428571429,17.2857142857143
"18","2020-06-12",2,21,1.42857142857143,18.7142857142857
"19","2020-06-13",2,23,1.57142857142857,20.2857142857143
"20","2020-06-14",2,25,1.71428571428571,22
"21","2020-06-16",1,26,1.57142857142857,23.5714285714286
"22","2020-06-17",1,27,1.57142857142857,25.1428571428571
"23","2020-06-18",1,28,1.57142857142857,26.7142857142857
"24","2020-06-19",3,31,1.85714285714286,28.5714285714286
"25","2020-06-20",1,32,1.85714285714286,30.4285714285714
"26","2020-06-21",3,35,2,32.4285714285714
"27","2020-06-24",4,39,2.28571428571429,34.7142857142857
"28","2020-06-26",4,43,2.57142857142857,37.2857142857143
"29","2020-06-27",3,46,2.85714285714286,40.1428571428571
"30","2020-06-28",1,47,2.85714285714286,43
"31","2020-06-29",1,48,2.85714285714286,45.8571428571429
"32","2020-06-30",3,51,2.85714285714286,48.7142857142857
"33","2020-07-01",4,55,3.28571428571429,52
"34","2020-07-02",3,58,3.28571428571429,55.2857142857143
"35","2020-07-04",3,61,3.14285714285714,58.4285714285714
"36","2020-07-05",5,66,3.28571428571429,61.7142857142857
"37","2020-07-06",4,70,3.42857142857143,65.1428571428571
"38","2020-07-07",1,71,3.42857142857143,68.5714285714286
"39","2020-07-08",2,73,3.57142857142857,72.1428571428571
"40","2020-07-09",2,75,3.42857142857143,75.5714285714286
"41","9999-99-99",1313,1388,190.428571428571,266
