"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,2.0536537560475,0.328847784510768,1.46034857781262,1.54429350708843,1.8233376732973,2.03612808066822,2.2648762712671,2.62280355083879,2.74652330202169
"2",3,9,1.66508629802969,0.260042791032469,1.19489467532136,1.2616539730674,1.48310505062673,1.65156875173199,1.83234024333765,2.11463397708938,2.21207311541332
"3",4,10,1.70173359019864,0.243104798599805,1.25895187820535,1.32255596730304,1.53207169399539,1.69017127591711,1.85879720047193,2.12035544498562,2.210205897677
"4",5,11,1.40520508212108,0.202823883107308,1.03608729901237,1.08904177089718,1.26361140273411,1.39545885265991,1.53617938763225,1.75461721980181,1.82969518122144
"5",6,12,1.23378741867016,0.18191203048803,0.903287456328553,0.950573814480789,1.10671073262838,1.22485853924804,1.3511355161862,1.547461638968,1.61501540649422
"6",7,13,1.16619239525787,0.173845698042661,0.850628735467555,0.895713899962229,1.04470967849541,1.15756540129123,1.27827555569435,1.46610170666273,1.53076866123546
"7",8,14,1.1185362172561,0.168625679411906,0.812730127788374,0.856356850611224,1.0006603781215,1.11007396538331,1.22719210647437,1.4095844611198,1.47241865000874
"8",9,15,0.905860689446998,0.1509767815745,0.634453690270456,0.672630913855229,0.799982144607586,0.897487037566683,1.0026169212546,1.1676578304948,1.2248375734012
"9",10,16,1.06859930245676,0.168960385091526,0.763423008457275,0.806678646006075,0.950312152968726,1.05970762152149,1.17719914951763,1.36085418517658,1.42429016375027
"10",11,17,0.797895509444591,0.145675123018293,0.538336749630847,0.574324635208633,0.695416690398554,0.789047729606114,0.89073678389678,1.05165213975001,1.10771401219453
"11",12,18,0.840473948755874,0.156072094143224,0.562878594214641,0.60125701413387,0.730615438300849,0.830833318625082,0.939831584026759,1.1125817826789,1.17283200875467
"12",13,19,0.899424140820238,0.167018869994218,0.602358463027934,0.643428715607431,0.781860239495198,0.889107324355921,1.00575064370558,1.19061740754665,1.2550935378332
"13",14,20,0.932326885660969,0.173128756324371,0.624393947636551,0.666966632694606,0.810462260270139,0.921632659291483,1.04254302596593,1.23417258800658,1.30100738487417
"14",15,21,0.855295534797113,0.167737254685356,0.558707439654286,0.599316983575015,0.736993418463589,0.844355551686519,0.961682623174277,1.14859874853669,1.21402397280347
"15",16,22,0.970005819658223,0.183313869221502,0.644561822698546,0.689419123782785,0.840891203676056,0.958482890496534,1.08656967398648,1.28990549669152,1.3609036996011
"16",17,23,0.735048984324059,0.160400838579305,0.455006906511308,0.492553690411967,0.621464840079291,0.723415038748351,0.835965095131382,1.01723844909846,1.08116527641803
"17",18,24,1.11686854079612,0.207397281382445,0.747984390350781,0.798983769827919,0.970882440396975,1.10405753514571,1.24890049406036,1.47846056855934,1.55852442084114
"18",19,25,1.21953210377856,0.212293289988493,0.839469785974399,0.892575139043254,1.0704350417682,1.20723596380842,1.3552344797856,1.58843885489294,1.66944529034726
"19",20,26,1.30148691650797,0.211129057179017,0.921009602690318,0.974742063109064,1.15355558099734,1.29008833963066,1.43700012985551,1.66711860865351,1.74671963606634
"20",21,27,1.06304941348024,0.182311470348434,0.736192621824471,0.781970288575248,0.935073882228118,1.05264572074203,1.17969153594507,1.37962184600305,1.44900730190472
"21",22,28,1.64743033954897,0.226291960506626,1.23403837324121,1.29370313844302,1.48968411739275,1.63708080722253,1.79389930701577,2.03646414864598,2.11962371597316
"22",23,29,1.49475834480437,0.196271386243565,1.13503267973315,1.1872216463751,1.35811491506774,1.48617661201289,1.62205042042189,1.83157069684029,1.90324259110881
"23",24,30,1.61075206683573,0.189828951544965,1.26031428988654,1.3117369902439,1.47897795061999,1.60330105010142,1.73440630068552,1.93518503997934,2.00352588459774
"24",25,31,1.55284354574674,0.171482882512288,1.23502255479737,1.28194817670633,1.4339995289253,1.54653575572793,1.66481325556805,1.84525669584318,1.90650563616179
"25",26,32,1.51812206903137,0.157421925228974,1.22532044088093,1.2687928774743,1.40918706369326,1.51268425209155,1.62113067156671,1.78600116143467,1.84182214542977
