"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-13",2,2,0,0
"2","2020-03-19",1,3,0,0
"3","2020-03-20",1,4,0,0
"4","2020-03-21",1,5,0,0
"5","2020-03-22",1,6,0,0
"6","2020-03-23",2,8,0,0
"7","2020-03-24",1,9,0,0
"8","2020-03-25",3,12,1.71428571428571,7
"9","2020-03-26",3,15,1.85714285714286,8.85714285714286
"10","2020-03-27",1,16,1.85714285714286,10.7142857142857
"11","2020-03-28",1,17,1.85714285714286,12.5714285714286
"12","2020-03-29",2,19,2,14.5714285714286
"13","2020-03-30",2,21,2.14285714285714,16.7142857142857
"14","2020-03-31",6,27,2.71428571428571,19.4285714285714
"15","2020-04-01",1,28,2.71428571428571,22.1428571428571
"16","2020-04-03",3,31,2.71428571428571,24.8571428571429
"17","2020-04-04",2,33,2.57142857142857,27.4285714285714
"18","2020-04-05",2,35,2.71428571428571,30.1428571428571
"19","2020-04-06",5,40,3.28571428571429,33.4285714285714
"20","2020-04-08",5,45,3.71428571428571,37.1428571428571
"21","2020-04-09",1,46,3.57142857142857,40.7142857142857
"22","2020-04-10",2,48,3,43.7142857142857
"23","2020-04-11",2,50,3.14285714285714,46.8571428571429
"24","2020-04-12",2,52,3,49.8571428571429
"25","2020-04-13",5,57,3.42857142857143,53.2857142857143
"26","2020-04-14",4,61,3.71428571428571,57
"27","2020-04-15",7,68,4,61
"28","2020-04-16",5,73,4,65
"29","2020-04-17",8,81,5,70
"30","2020-04-18",6,87,5.57142857142857,75.5714285714286
"31","2020-04-19",3,90,5.71428571428571,81.2857142857143
"32","2020-04-20",6,96,6.28571428571429,87.5714285714286
"33","2020-04-21",4,100,6.14285714285714,93.7142857142857
"34","2020-04-22",10,110,7,100.714285714286
"35","2020-04-23",8,118,7.14285714285714,107.857142857143
"36","2020-04-24",15,133,8.57142857142857,116.428571428571
"37","2020-04-25",7,140,8.42857142857143,124.857142857143
"38","2020-04-26",13,153,9.42857142857143,134.285714285714
"39","2020-04-27",9,162,10.2857142857143,144.571428571429
"40","2020-04-28",18,180,12,156.571428571429
"41","2020-04-29",12,192,13.1428571428571,169.714285714286
"42","2020-04-30",12,204,13.4285714285714,183.142857142857
"43","2020-05-01",15,219,14.4285714285714,197.571428571429
"44","2020-05-02",6,225,13.1428571428571,210.714285714286
"45","2020-05-03",15,240,14.2857142857143,225
"46","2020-05-04",25,265,16,241
"47","2020-05-05",34,299,19.5714285714286,260.571428571429
"48","2020-05-06",24,323,20.4285714285714,281
"49","2020-05-07",24,347,22.1428571428571,303.142857142857
"50","2020-05-08",23,370,23.7142857142857,326.857142857143
