"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-04-20",1,1,0,0
"2","2020-04-26",1,2,0,0
"3","2020-04-27",1,3,0,0
"4","2020-05-01",1,4,0,0
"5","2020-05-04",2,6,0,0
"6","2020-05-05",1,7,0,0
"7","2020-05-06",1,8,0,0
"8","2020-05-07",1,9,1.28571428571429,5.71428571428571
"9","2020-05-09",1,10,1.28571428571429,7
"10","2020-05-10",1,11,1.28571428571429,8.28571428571429
"11","2020-05-11",1,12,1.28571428571429,9.57142857142857
"12","2020-05-13",1,13,1.28571428571429,10.8571428571429
"13","2020-05-16",1,14,1.14285714285714,12
"14","2020-05-18",2,16,1.28571428571429,13.2857142857143
"15","2020-05-19",2,18,1.42857142857143,14.7142857142857
"16","2020-05-20",1,19,1.42857142857143,16.1428571428571
"17","2020-05-21",2,21,1.57142857142857,17.7142857142857
"18","2020-05-22",1,22,1.57142857142857,19.2857142857143
"19","2020-05-23",1,23,1.57142857142857,20.8571428571429
"20","2020-05-24",1,24,1.57142857142857,22.4285714285714
"21","2020-05-25",1,25,1.57142857142857,24
"22","2020-05-26",2,27,1.57142857142857,25.5714285714286
"23","2020-05-27",4,31,1.85714285714286,27.4285714285714
"24","2020-05-28",2,33,2,29.4285714285714
"25","2020-05-29",3,36,2.14285714285714,31.5714285714286
"26","2020-05-30",2,38,2.28571428571429,33.8571428571429
"27","2020-05-31",1,39,2.28571428571429,36.1428571428571
"28","2020-06-01",1,40,2.28571428571429,38.4285714285714
"29","2020-06-02",2,42,2.42857142857143,40.8571428571429
"30","2020-06-03",1,43,2.28571428571429,43.1428571428571
"31","2020-06-04",3,46,2.14285714285714,45.2857142857143
"32","2020-06-06",1,47,2,47.2857142857143
"33","2020-06-07",3,50,2,49.2857142857143
"34","2020-06-08",4,54,2.28571428571429,51.5714285714286
"35","2020-06-09",5,59,2.85714285714286,54.4285714285714
"36","2020-06-10",1,60,2.85714285714286,57.2857142857143
"37","2020-06-11",1,61,2.71428571428571,60
"38","2020-06-12",4,65,3.14285714285714,63.1428571428571
"39","2020-06-13",1,66,2.85714285714286,66
"40","2020-06-14",2,68,3,69
"41","2020-06-15",1,69,2.71428571428571,71.7142857142857
"42","2020-06-16",3,72,2.57142857142857,74.2857142857143
"43","2020-06-17",2,74,2.14285714285714,76.4285714285714
"44","2020-06-18",2,76,2.28571428571429,78.7142857142857
"45","2020-06-19",2,78,2.42857142857143,81.1428571428571
"46","2020-06-20",1,79,2,83.1428571428571
"47","2020-06-21",3,82,2.28571428571429,85.4285714285714
"48","2020-06-22",1,83,2.14285714285714,87.5714285714286
"49","2020-06-23",2,85,2.28571428571429,89.8571428571429
"50","2020-06-24",2,87,2.14285714285714,92
"51","2020-06-25",2,89,2.14285714285714,94.1428571428571
"52","2020-06-26",2,91,2.14285714285714,96.2857142857143
"53","2020-06-27",2,93,2.14285714285714,98.4285714285714
"54","2020-06-28",1,94,2.14285714285714,100.571428571429
"55","2020-06-29",2,96,2,102.571428571429
"56","2020-06-30",2,98,2.14285714285714,104.714285714286
"57","2020-07-01",1,99,2,106.714285714286
"58","2020-07-03",1,100,1.85714285714286,108.571428571429
"59","2020-07-04",2,102,1.85714285714286,110.428571428571
"60","2020-07-05",1,103,1.71428571428571,112.142857142857
"61","2020-07-06",2,105,1.71428571428571,113.857142857143
"62","2020-07-07",2,107,1.85714285714286,115.714285714286
"63","2020-07-09",2,109,1.85714285714286,117.571428571429
"64","2020-07-11",1,110,1.71428571428571,119.285714285714
"65","9999-99-99",1099,1209,158.571428571429,277.857142857143
