"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-10",2,2,0,0
"2","2020-03-11",1,3,0,0
"3","2020-03-12",1,4,0,0
"4","2020-03-13",2,6,0,0
"5","2020-03-14",1,7,0,0
"6","2020-03-17",2,9,0,0
"7","2020-03-18",2,11,0,0
"8","2020-03-19",3,14,2,8
"9","2020-03-21",1,15,1.85714285714286,9.85714285714286
"10","2020-03-23",3,18,2.14285714285714,12
"11","2020-03-24",4,22,2.57142857142857,14.5714285714286
"12","2020-03-25",2,24,2.57142857142857,17.1428571428571
"13","2020-03-26",1,25,2.57142857142857,19.7142857142857
"14","2020-03-27",4,29,2.85714285714286,22.5714285714286
"15","2020-03-28",2,31,2.85714285714286,25.4285714285714
"16","2020-03-29",1,32,2.57142857142857,28
"17","2020-03-30",1,33,2.57142857142857,30.5714285714286
"18","2020-03-31",4,37,2.71428571428571,33.2857142857143
"19","2020-04-01",3,40,2.57142857142857,35.8571428571429
"20","2020-04-02",1,41,2.42857142857143,38.2857142857143
"21","2020-04-03",4,45,2.85714285714286,41.1428571428571
"22","2020-04-04",1,46,2.42857142857143,43.5714285714286
"23","2020-04-06",4,50,2.71428571428571,46.2857142857143
"24","2020-04-07",5,55,3.28571428571429,49.5714285714286
"25","2020-04-08",3,58,3.57142857142857,53.1428571428571
"26","2020-04-09",3,61,3.42857142857143,56.5714285714286
"27","2020-04-10",2,63,3.28571428571429,59.8571428571429
"28","2020-04-11",3,66,3.57142857142857,63.4285714285714
"29","2020-04-12",1,67,3.14285714285714,66.5714285714286
"30","2020-04-13",8,75,4.14285714285714,70.7142857142857
"31","2020-04-14",8,83,4.71428571428571,75.4285714285714
"32","2020-04-15",2,85,4.28571428571429,79.7142857142857
"33","2020-04-16",6,91,4.71428571428571,84.4285714285714
"34","2020-04-17",5,96,5,89.4285714285714
"35","2020-04-18",2,98,5,94.4285714285714
"36","2020-04-19",2,100,4.85714285714286,99.2857142857143
"37","2020-04-20",5,105,5.42857142857143,104.714285714286
"38","2020-04-21",2,107,4.57142857142857,109.285714285714
"39","2020-04-22",7,114,4.42857142857143,113.714285714286
"40","2020-04-23",9,123,5.42857142857143,119.142857142857
"41","2020-04-24",10,133,6,125.142857142857
"42","2020-04-25",1,134,5.42857142857143,130.571428571429
"43","2020-04-26",2,136,5.42857142857143,136
"44","2020-04-27",3,139,5.57142857142857,141.571428571429
"45","2020-04-28",9,148,6.14285714285714,147.714285714286
"46","2020-04-29",12,160,7.57142857142857,155.285714285714
"47","2020-04-30",6,166,7.42857142857143,162.714285714286
"48","2020-05-01",8,174,7.28571428571429,170
"49","2020-05-02",12,186,7.57142857142857,177.571428571429
"50","2020-05-03",4,190,8,185.571428571429
"51","2020-05-04",10,200,9.14285714285714,194.714285714286
"52","2020-05-05",10,210,10.1428571428571,204.857142857143
"53","2020-05-06",9,219,10.1428571428571,215
"54","2020-05-07",14,233,10.4285714285714,225.428571428571
"55","2020-05-08",26,259,13.2857142857143,238.714285714286
"56","2020-05-09",26,285,15.8571428571429,254.571428571429
"57","2020-05-10",19,304,16.8571428571429,271.428571428571
"58","2020-05-11",47,351,23,294.428571428571
"59","2020-05-12",34,385,26.4285714285714,320.857142857143
"60","2020-05-13",29,414,29.1428571428571,350
"61","2020-05-14",41,455,33.7142857142857,383.714285714286
"62","2020-05-15",49,504,38.7142857142857,422.428571428571
"63","2020-05-16",28,532,39,461.428571428571
"64","2020-05-17",17,549,37.7142857142857,499.142857142857
"65","2020-05-18",47,596,41.7142857142857,540.857142857143
"66","2020-05-19",61,657,43.7142857142857,584.571428571429
"67","2020-05-20",42,699,44.8571428571429,629.428571428571
