"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-28",1,1,0,0
"2","2020-03-31",1,2,0,0
"3","2020-04-02",1,3,0,0
"4","2020-04-05",1,4,0,0
"5","2020-04-07",1,5,0,0
"6","2020-04-08",1,6,0,0
"7","2020-04-09",1,7,0,0
"8","2020-04-12",1,8,1.14285714285714,5.14285714285714
"9","2020-04-13",1,9,1.14285714285714,6.28571428571429
"10","2020-04-17",3,12,1.42857142857143,7.71428571428571
"11","2020-04-18",1,13,1.42857142857143,9.14285714285714
"12","2020-04-20",1,14,1.42857142857143,10.5714285714286
"13","2020-04-21",2,16,1.57142857142857,12.1428571428571
"14","2020-04-22",3,19,1.85714285714286,14
"15","2020-04-23",1,20,1.85714285714286,15.8571428571429
"16","2020-04-24",6,26,2.57142857142857,18.4285714285714
"17","2020-04-25",3,29,2.85714285714286,21.2857142857143
"18","2020-04-26",1,30,2.57142857142857,23.8571428571429
"19","2020-04-27",2,32,2.71428571428571,26.5714285714286
"20","2020-04-28",2,34,2.85714285714286,29.4285714285714
"21","2020-04-29",2,36,2.85714285714286,32.2857142857143
"22","2020-04-30",2,38,2.71428571428571,35
"23","2020-05-01",1,39,2.71428571428571,37.7142857142857
"24","2020-05-03",2,41,2.14285714285714,39.8571428571429
"25","2020-05-05",2,43,2,41.8571428571429
"26","2020-05-06",2,45,2.14285714285714,44
"27","2020-05-07",1,46,2,46
"28","2020-05-09",1,47,1.85714285714286,47.8571428571429
"29","2020-05-10",2,49,1.85714285714286,49.7142857142857
"30","2020-05-11",1,50,1.71428571428571,51.4285714285714
"31","2020-05-12",4,54,2.14285714285714,53.5714285714286
"32","2020-05-14",3,57,2.28571428571429,55.8571428571429
"33","2020-05-16",1,58,2.14285714285714,58
"34","2020-05-17",1,59,2,60
"35","2020-05-18",4,63,2.42857142857143,62.4285714285714
"36","2020-05-19",1,64,2.42857142857143,64.8571428571429
"37","2020-05-23",2,66,2.42857142857143,67.2857142857143
"38","2020-05-24",4,70,2.85714285714286,70.1428571428571
"39","2020-05-26",1,71,2.42857142857143,72.5714285714286
"40","2020-05-27",2,73,2.28571428571429,74.8571428571429
"41","2020-05-28",2,75,2.42857142857143,77.2857142857143
"42","2020-05-29",2,77,2.57142857142857,79.8571428571429
"43","2020-05-30",2,79,2.28571428571429,82.1428571428571
"44","2020-06-01",3,82,2.57142857142857,84.7142857142857
"45","2020-06-02",1,83,2.42857142857143,87.1428571428571
"46","2020-06-04",3,86,2.28571428571429,89.4285714285714
"47","2020-06-06",1,87,2.28571428571429,91.7142857142857
"48","2020-06-07",1,88,2.14285714285714,93.8571428571429
"49","2020-06-08",1,89,2,95.8571428571429
"50","2020-06-09",2,91,2,97.8571428571429
"51","2020-06-10",2,93,2,99.8571428571429
"52","2020-06-11",2,95,1.85714285714286,101.714285714286
"53","2020-06-13",1,96,1.85714285714286,103.571428571429
"54","2020-06-14",1,97,1.57142857142857,105.142857142857
"55","2020-06-15",1,98,1.57142857142857,106.714285714286
"56","2020-06-16",1,99,1.57142857142857,108.285714285714
"57","2020-06-18",1,100,1.57142857142857,109.857142857143
"58","2020-06-19",1,101,1.42857142857143,111.285714285714
"59","2020-06-20",1,102,1.28571428571429,112.571428571429
"60","2020-06-21",1,103,1.14285714285714,113.714285714286
"61","2020-06-23",1,104,1.14285714285714,114.857142857143
"62","2020-06-24",1,105,1.14285714285714,116
"63","2020-06-25",1,106,1.14285714285714,117.142857142857
"64","2020-06-26",1,107,1.14285714285714,118.285714285714
"65","2020-06-28",2,109,1.28571428571429,119.571428571429
"66","2020-06-29",4,113,1.71428571428571,121.285714285714
"67","2020-06-30",1,114,1.71428571428571,123
"68","2020-07-01",1,115,1.71428571428571,124.714285714286
"69","2020-07-02",1,116,1.71428571428571,126.428571428571
"70","2020-07-03",2,118,1.85714285714286,128.285714285714
"71","2020-07-04",1,119,1.85714285714286,130.142857142857
"72","2020-07-07",1,120,1.85714285714286,132
"73","2020-07-08",1,121,1.71428571428571,133.714285714286
"74","2020-07-09",2,123,1.42857142857143,135.142857142857
"75","2020-07-10",1,124,1.42857142857143,136.571428571429
"76","9999-99-99",788,912,113.857142857143,250.428571428571
