"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-13",2,2,0,0
"2","2020-03-16",1,3,0,0
"3","2020-03-17",5,8,0,0
"4","2020-03-18",1,9,0,0
"5","2020-03-19",3,12,0,0
"6","2020-03-20",3,15,0,0
"7","2020-03-21",4,19,0,0
"8","2020-03-22",1,20,2.85714285714286,12.5714285714286
"9","2020-03-23",2,22,2.85714285714286,15.4285714285714
"10","2020-03-26",1,23,2.85714285714286,18.2857142857143
"11","2020-03-27",6,29,3,21.2857142857143
"12","2020-03-29",6,35,3.71428571428571,25
"13","2020-03-30",3,38,3.71428571428571,28.7142857142857
"14","2020-03-31",2,40,3.57142857142857,32.2857142857143
"15","2020-04-04",3,43,3.42857142857143,35.7142857142857
"16","2020-04-05",2,45,3.57142857142857,39.2857142857143
"17","2020-04-06",3,48,3.71428571428571,43
"18","2020-04-07",5,53,4.28571428571429,47.2857142857143
"19","2020-04-08",2,55,3.71428571428571,51
"20","2020-04-09",4,59,3.42857142857143,54.4285714285714
"21","2020-04-10",1,60,3.14285714285714,57.5714285714286
"22","2020-04-11",3,63,3.28571428571429,60.8571428571429
"23","2020-04-13",1,64,3,63.8571428571429
"24","2020-04-14",1,65,2.85714285714286,66.7142857142857
"25","2020-04-15",2,67,2.71428571428571,69.4285714285714
"26","2020-04-16",2,69,2.28571428571429,71.7142857142857
"27","2020-04-17",7,76,3,74.7142857142857
"28","2020-04-18",1,77,2.57142857142857,77.2857142857143
"29","2020-04-20",1,78,2.57142857142857,79.8571428571429
"30","2020-04-21",3,81,2.57142857142857,82.4285714285714
"31","2020-04-22",3,84,2.85714285714286,85.2857142857143
"32","2020-04-23",5,89,3.42857142857143,88.7142857142857
"33","2020-04-24",4,93,3.71428571428571,92.4285714285714
"34","2020-04-25",8,101,4.57142857142857,97
"35","2020-04-26",3,104,4,101
"36","2020-04-27",15,119,6,107
"37","2020-04-28",18,137,8.42857142857143,115.428571428571
"38","2020-04-29",9,146,9.28571428571429,124.714285714286
"39","2020-04-30",10,156,10.2857142857143,135
"40","2020-05-01",14,170,11.5714285714286,146.571428571429
"41","2020-05-02",14,184,13,159.571428571429
"42","2020-05-03",11,195,13.4285714285714,173
"43","2020-05-04",28,223,17,190
"44","2020-05-05",17,240,17.2857142857143,207.285714285714
"45","2020-05-06",34,274,19.5714285714286,226.857142857143
"46","2020-05-07",13,287,20.1428571428571,247
"47","2020-05-08",26,313,22.4285714285714,269.428571428571
"48","2020-05-09",12,325,22.1428571428571,291.571428571429
"49","2020-05-10",19,344,22.8571428571429,314.428571428571
"50","2020-05-11",32,376,25.8571428571429,340.285714285714
"51","2020-05-12",23,399,25.1428571428571,365.428571428571
"52","2020-05-13",24,423,26.1428571428571,391.571428571429
"53","2020-05-14",34,457,26.1428571428571,417.714285714286
"54","2020-05-15",29,486,28.4285714285714,446.142857142857
"55","2020-05-16",25,511,28.2857142857143,474.428571428571
"56","2020-05-17",15,526,28.7142857142857,503.142857142857
"57","2020-05-18",34,560,30.8571428571429,534
"58","2020-05-19",26,586,30,564
"59","2020-05-20",39,625,32.2857142857143,596.285714285714
"60","2020-05-21",37,662,34.1428571428571,630.428571428571
"61","2020-05-22",56,718,37.2857142857143,667.714285714286
"62","2020-05-23",20,738,36,703.714285714286
"63","2020-05-24",20,758,35.2857142857143,739
"64","2020-05-25",49,807,40.1428571428571,779.142857142857
"65","2020-05-26",39,846,40.8571428571429,820
"66","2020-05-27",59,905,45.5714285714286,865.571428571429
"67","2020-05-28",38,943,45.4285714285714,911
"68","2020-05-29",51,994,47.4285714285714,958.428571428571
"69","2020-05-30",24,1018,42.8571428571429,1001.28571428571
"70","2020-05-31",19,1037,42.7142857142857,1044
"71","2020-06-01",52,1089,47.2857142857143,1091.28571428571
"72","2020-06-02",55,1144,48.1428571428571,1139.42857142857
"73","2020-06-03",77,1221,53.5714285714286,1193
"74","2020-06-04",78,1299,56.2857142857143,1249.28571428571
"75","2020-06-05",79,1378,62.1428571428571,1311.42857142857
"76","2020-06-06",59,1437,63.2857142857143,1374.71428571429
"77","2020-06-07",49,1486,66.8571428571429,1441.57142857143
"78","2020-06-08",114,1600,80.4285714285714,1522
"79","2020-06-09",93,1693,86.2857142857143,1608.28571428571
"80","2020-06-10",86,1779,90.7142857142857,1699
"81","2020-06-11",77,1856,90.7142857142857,1789.71428571429
"82","2020-06-12",62,1918,88.4285714285714,1878.14285714286
"83","2020-06-13",29,1947,81.2857142857143,1959.42857142857
"84","2020-06-14",23,1970,76.1428571428571,2035.57142857143
"85","2020-06-15",91,2061,82.1428571428571,2117.71428571429
"86","2020-06-16",102,2163,80.4285714285714,2198.14285714286
"87","2020-06-17",114,2277,83.4285714285714,2281.57142857143
"88","2020-06-18",92,2369,84.2857142857143,2365.85714285714
"89","2020-06-19",89,2458,86,2451.85714285714
"90","2020-06-20",45,2503,83.5714285714286,2535.42857142857
"91","2020-06-21",40,2543,85.1428571428571,2620.57142857143
"92","2020-06-22",123,2666,99.4285714285714,2720
"93","2020-06-23",119,2785,103.428571428571,2823.42857142857
"94","2020-06-24",116,2901,105.428571428571,2928.85714285714
"95","2020-06-25",120,3021,106.285714285714,3035.14285714286
"96","2020-06-26",97,3118,107,3142.14285714286
"97","2020-06-27",90,3208,107.142857142857,3249.28571428571
"98","2020-06-28",36,3244,105.857142857143,3355.14285714286
"99","2020-06-29",128,3372,118.428571428571,3473.57142857143
"100","2020-06-30",136,3508,120.285714285714,3593.85714285714
"101","2020-07-01",137,3645,122.857142857143,3716.71428571429
"102","2020-07-02",121,3766,123.571428571429,3840.28571428571
"103","2020-07-03",144,3910,127,3967.28571428571
"104","2020-07-04",74,3984,123.714285714286,4091
"105","2020-07-05",51,4035,118.142857142857,4209.14285714286
"106","2020-07-06",186,4221,139.571428571429,4348.71428571429
"107","2020-07-07",165,4386,144.857142857143,4493.57142857143
"108","2020-07-08",176,4562,150.571428571429,4644.14285714286
"109","2020-07-09",146,4708,151.857142857143,4796
"110","2020-07-10",56,4764,142.571428571429,4938.57142857143
"111","2020-07-11",12,4776,123.714285714286,5062.28571428571
"112","2020-07-12",1,4777,113.285714285714,5175.57142857143
