"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-25",1,1,0,0
"2","2020-04-23",1,2,0,0
"3","2020-05-03",1,3,0,0
"4","2020-05-12",1,4,0,0
"5","2020-05-17",1,5,0,0
"6","2020-05-18",1,6,0,0
"7","2020-05-25",1,7,0,0
"8","2020-05-26",1,8,1.14285714285714,5.14285714285714
"9","2020-06-04",2,10,1.28571428571429,6.42857142857143
"10","2020-06-05",1,11,1.28571428571429,7.71428571428571
"11","2020-06-06",1,12,1.28571428571429,9
"12","2020-06-07",1,13,1.28571428571429,10.2857142857143
"13","2020-06-11",1,14,1.28571428571429,11.5714285714286
"14","2020-06-19",1,15,1.28571428571429,12.8571428571429
"15","2020-06-21",1,16,1.28571428571429,14.1428571428571
"16","2020-06-22",1,17,1.28571428571429,15.4285714285714
"17","2020-06-23",2,19,1.28571428571429,16.7142857142857
"18","2020-06-25",2,21,1.42857142857143,18.1428571428571
"19","2020-06-26",2,23,1.57142857142857,19.7142857142857
"20","2020-06-27",1,24,1.57142857142857,21.2857142857143
"21","2020-06-28",1,25,1.57142857142857,22.8571428571429
"22","2020-06-29",1,26,1.57142857142857,24.4285714285714
"23","2020-06-30",3,29,1.85714285714286,26.2857142857143
"24","2020-07-01",1,30,1.85714285714286,28.1428571428571
"25","2020-07-03",1,31,1.71428571428571,29.8571428571429
"26","2020-07-05",1,32,1.57142857142857,31.4285714285714
"27","2020-07-06",4,36,1.85714285714286,33.2857142857143
"28","2020-07-07",3,39,2.14285714285714,35.4285714285714
"29","2020-07-09",1,40,2.14285714285714,37.5714285714286
"30","9999-99-99",768,808,111.714285714286,149.285714285714
