"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-01-29",1,1,0,0
"2","2020-03-13",1,2,0,0
"3","2020-03-16",1,3,0,0
"4","2020-03-17",1,4,0,0
"5","2020-03-19",2,6,0,0
"6","2020-03-20",1,7,0,0
"7","2020-03-22",1,8,0,0
"8","2020-03-23",2,10,1.42857142857143,5.85714285714286
"9","2020-03-24",6,16,2.14285714285714,8
"10","2020-03-25",8,24,3.14285714285714,11.1428571428571
"11","2020-03-26",9,33,4.28571428571429,15.4285714285714
"12","2020-03-27",9,42,5.42857142857143,20.8571428571429
"13","2020-03-28",5,47,5.85714285714286,26.7142857142857
"14","2020-03-29",6,53,6.57142857142857,33.2857142857143
"15","2020-03-30",11,64,8,41.2857142857143
"16","2020-03-31",15,79,9.85714285714286,51.1428571428571
"17","2020-04-01",14,93,11,62.1428571428571
"18","2020-04-02",28,121,13.8571428571429,76
"19","2020-04-03",10,131,14,90
"20","2020-04-04",12,143,14.4285714285714,104.428571428571
"21","2020-04-05",15,158,15.8571428571429,120.285714285714
"22","2020-04-06",27,185,18.8571428571429,139.142857142857
"23","2020-04-07",20,205,20.1428571428571,159.285714285714
"24","2020-04-08",29,234,22.1428571428571,181.428571428571
"25","2020-04-09",12,246,21.8571428571429,203.285714285714
"26","2020-04-10",33,279,22.5714285714286,225.857142857143
"27","2020-04-11",23,302,24.4285714285714,250.285714285714
"28","2020-04-12",22,324,25.8571428571429,276.142857142857
"29","2020-04-13",46,370,30.2857142857143,306.428571428571
"30","2020-04-14",46,416,33,339.428571428571
"31","2020-04-15",47,463,36.8571428571429,376.285714285714
"32","2020-04-16",40,503,38.4285714285714,414.714285714286
"33","2020-04-17",38,541,42.1428571428571,456.857142857143
"34","2020-04-18",31,572,41.8571428571429,498.714285714286
"35","2020-04-19",31,603,43,541.714285714286
"36","2020-04-20",61,664,48.5714285714286,590.285714285714
"37","2020-04-21",46,710,48.5714285714286,638.857142857143
"38","2020-04-22",48,758,48.8571428571429,687.714285714286
"39","2020-04-23",67,825,51.7142857142857,739.428571428571
"40","2020-04-24",70,895,56,795.428571428571
"41","2020-04-25",44,939,56.8571428571429,852.285714285714
"42","2020-04-26",36,975,57.5714285714286,909.857142857143
"43","2020-04-27",78,1053,64.2857142857143,974.142857142857
"44","2020-04-28",46,1099,62.1428571428571,1036.28571428571
"45","2020-04-29",54,1153,63.2857142857143,1099.57142857143
"46","2020-04-30",55,1208,64.2857142857143,1163.85714285714
"47","2020-05-01",58,1266,63,1226.85714285714
"48","2020-05-02",48,1314,59.8571428571429,1286.71428571429
"49","2020-05-03",30,1344,57.8571428571429,1344.57142857143
"50","2020-05-04",76,1420,63.5714285714286,1408.14285714286
"51","2020-05-05",50,1470,59.5714285714286,1467.71428571429
"52","2020-05-06",83,1553,64.8571428571429,1532.57142857143
"53","2020-05-07",64,1617,66.2857142857143,1598.85714285714
"54","2020-05-08",59,1676,66.8571428571429,1665.71428571429
"55","2020-05-09",52,1728,66,1731.71428571429
"56","2020-05-10",40,1768,64.8571428571429,1796.57142857143
"57","2020-05-11",69,1837,70.4285714285714,1867
"58","2020-05-12",85,1922,71.7142857142857,1938.71428571429
"59","2020-05-13",77,1999,75.5714285714286,2014.28571428571
"60","2020-05-14",98,2097,77.7142857142857,2092
"61","2020-05-15",96,2193,82.2857142857143,2174.28571428571
"62","2020-05-16",68,2261,83.5714285714286,2257.85714285714
"63","2020-05-17",64,2325,85.2857142857143,2343.14285714286
"64","2020-05-18",139,2464,99.4285714285714,2442.57142857143
"65","2020-05-19",101,2565,104,2546.57142857143
"66","2020-05-20",121,2686,109.142857142857,2655.71428571429
"67","2020-05-21",117,2803,114.857142857143,2770.57142857143
"68","2020-05-22",142,2945,121.142857142857,2891.71428571429
"69","2020-05-23",59,3004,115.857142857143,3007.57142857143
"70","2020-05-24",80,3084,117.571428571429,3125.14285714286
"71","2020-05-25",170,3254,132.714285714286,3257.85714285714
"72","2020-05-26",181,3435,138.714285714286,3396.57142857143
"73","2020-05-27",192,3627,151.714285714286,3548.28571428571
"74","2020-05-28",159,3786,157.142857142857,3705.42857142857
"75","2020-05-29",180,3966,166.142857142857,3871.57142857143
"76","2020-05-30",131,4097,164.571428571429,4036.14285714286
"77","2020-05-31",69,4166,166,4202.14285714286
"78","2020-06-01",207,4373,184.142857142857,4386.28571428571
"79","2020-06-02",171,4544,184.285714285714,4570.57142857143
"80","2020-06-03",212,4756,188.714285714286,4759.28571428571
"81","2020-06-04",191,4947,188.571428571429,4947.85714285714
"82","2020-06-05",215,5162,196.571428571429,5144.42857142857
"83","2020-06-06",152,5314,192.571428571429,5337
"84","2020-06-07",102,5416,188.428571428571,5525.42857142857
"85","2020-06-08",211,5627,208.714285714286,5734.14285714286
"86","2020-06-09",239,5866,213.285714285714,5947.42857142857
"87","2020-06-10",222,6088,220.571428571429,6168
"88","2020-06-11",231,6319,223.285714285714,6391.28571428571
"89","2020-06-12",292,6611,237.714285714286,6629
"90","2020-06-13",89,6700,219.714285714286,6848.71428571429
"91","2020-06-14",85,6785,210.142857142857,7058.85714285714
"92","2020-06-15",185,6970,222,7280.85714285714
"93","2020-06-16",205,7175,221.142857142857,7502
"94","2020-06-17",189,7364,214,7716
"95","2020-06-18",162,7526,205.428571428571,7921.42857142857
"96","2020-06-19",169,7695,196.571428571429,8118
"97","2020-06-20",136,7831,174.285714285714,8292.28571428571
"98","2020-06-21",85,7916,173.714285714286,8466
"99","2020-06-22",203,8119,190.571428571429,8656.57142857143
"100","2020-06-23",193,8312,191.714285714286,8848.28571428571
"101","2020-06-24",190,8502,189.571428571429,9037.85714285714
"102","2020-06-25",128,8630,180.857142857143,9218.71428571429
"103","2020-06-26",181,8811,183.571428571429,9402.28571428571
"104","2020-06-27",91,8902,172.428571428571,9574.71428571429
"105","2020-06-28",76,8978,163.857142857143,9738.57142857143
"106","2020-06-29",167,9145,175.571428571429,9914.14285714286
"107","2020-06-30",161,9306,169.571428571429,10083.7142857143
"108","2020-07-01",175,9481,167,10250.7142857143
"109","2020-07-02",147,9628,160.857142857143,10411.5714285714
"110","2020-07-03",151,9779,164.142857142857,10575.7142857143
"111","2020-07-04",88,9867,150.857142857143,10726.5714285714
"112","2020-07-05",75,9942,148.571428571429,10875.1428571429
"113","2020-07-06",140,10082,157.714285714286,11032.8571428571
"114","2020-07-07",168,10250,157.857142857143,11190.7142857143
"115","2020-07-08",148,10398,156,11346.7142857143
"116","2020-07-09",100,10498,145.285714285714,11492
"117","2020-07-10",60,10558,132.857142857143,11624.8571428571
"118","2020-07-11",2,10560,111.571428571429,11736.4285714286
"119","2020-07-13",2,10562,99.2857142857143,11835.7142857143
"120","2020-07-14",1,10563,88.7142857142857,11924.4285714286
