"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-04-04",2,2,0,0
"2","2020-04-07",1,3,0,0
"3","2020-04-10",2,5,0,0
"4","2020-04-13",1,6,0,0
"5","2020-04-14",1,7,0,0
"6","2020-04-16",2,9,0,0
"7","2020-04-20",2,11,0,0
"8","2020-04-22",1,12,1.71428571428571,7.85714285714286
"9","2020-04-23",1,13,1.57142857142857,9.42857142857143
"10","2020-04-24",1,14,1.57142857142857,11
"11","2020-04-25",3,17,1.71428571428571,12.7142857142857
"12","2020-04-26",1,18,1.71428571428571,14.4285714285714
"13","2020-04-27",3,21,2,16.4285714285714
"14","2020-04-28",1,22,1.85714285714286,18.2857142857143
"15","2020-04-30",2,24,1.85714285714286,20.1428571428571
"16","2020-05-01",2,26,2,22.1428571428571
"17","2020-05-03",2,28,2.14285714285714,24.2857142857143
"18","2020-05-04",1,29,2.14285714285714,26.4285714285714
"19","2020-05-05",6,35,2.57142857142857,29
"20","2020-05-06",1,36,2.57142857142857,31.5714285714286
"21","2020-05-07",1,37,2.28571428571429,33.8571428571429
"22","2020-05-08",2,39,2.42857142857143,36.2857142857143
"23","2020-05-09",1,40,2.28571428571429,38.5714285714286
"24","2020-05-10",2,42,2.28571428571429,40.8571428571429
"25","2020-05-12",4,46,2.57142857142857,43.4285714285714
"26","2020-05-13",1,47,2.57142857142857,46
"27","2020-05-15",2,49,2,48
"28","2020-05-16",1,50,2,50
"29","2020-05-17",2,52,2.14285714285714,52.1428571428571
"30","2020-05-18",4,56,2.42857142857143,54.5714285714286
"31","2020-05-19",4,60,2.85714285714286,57.4285714285714
"32","2020-05-20",1,61,2.71428571428571,60.1428571428571
"33","2020-05-21",4,65,2.71428571428571,62.8571428571429
"34","2020-05-22",4,69,3.14285714285714,66
"35","2020-05-23",4,73,3.42857142857143,69.4285714285714
"36","2020-05-25",3,76,3.71428571428571,73.1428571428571
"37","2020-05-26",4,80,4,77.1428571428571
"38","2020-05-27",5,85,4.14285714285714,81.2857142857143
"39","2020-05-28",3,88,4,85.2857142857143
"40","2020-05-29",6,94,4.71428571428571,90
"41","2020-05-30",2,96,4.42857142857143,94.4285714285714
"42","2020-05-31",5,101,4.57142857142857,99
"43","2020-06-01",4,105,4.57142857142857,103.571428571429
"44","2020-06-02",4,109,4.71428571428571,108.285714285714
"45","2020-06-03",4,113,4.71428571428571,113
"46","2020-06-04",2,115,4.28571428571429,117.285714285714
"47","2020-06-05",3,118,4.28571428571429,121.571428571429
"48","2020-06-06",3,121,3.85714285714286,125.428571428571
"49","2020-06-07",4,125,4.14285714285714,129.571428571429
"50","2020-06-08",6,131,4.28571428571429,133.857142857143
"51","2020-06-09",1,132,3.85714285714286,137.714285714286
"52","2020-06-11",3,135,3.71428571428571,141.428571428571
"53","2020-06-12",12,147,4.85714285714286,146.285714285714
"54","2020-06-13",5,152,5.28571428571429,151.571428571429
"55","2020-06-14",1,153,5,156.571428571429
"56","2020-06-15",5,158,5.28571428571429,161.857142857143
"57","2020-06-16",2,160,5,166.857142857143
"58","2020-06-17",4,164,4.71428571428571,171.571428571429
"59","2020-06-18",3,167,5,176.571428571429
"60","2020-06-19",5,172,5.28571428571429,181.857142857143
"61","2020-06-20",5,177,4.28571428571429,186.142857142857
"62","2020-06-21",8,185,4.71428571428571,190.857142857143
"63","2020-06-22",6,191,5.42857142857143,196.285714285714
"64","2020-06-23",2,193,5,201.285714285714
"65","2020-06-24",3,196,5.14285714285714,206.428571428571
"66","2020-06-25",4,200,5.14285714285714,211.571428571429
"67","2020-06-27",4,204,5.28571428571429,216.857142857143
"68","2020-06-28",4,208,5.14285714285714,222
"69","2020-06-29",4,212,5,227
"70","2020-06-30",2,214,4.14285714285714,231.142857142857
"71","2020-07-01",2,216,3.57142857142857,234.714285714286
"72","2020-07-02",2,218,3.57142857142857,238.285714285714
"73","2020-07-03",1,219,3.28571428571429,241.571428571429
"74","2020-07-04",4,223,3.28571428571429,244.857142857143
"75","2020-07-05",4,227,3.28571428571429,248.142857142857
"76","2020-07-06",2,229,3,251.142857142857
"77","2020-07-07",2,231,2.71428571428571,253.857142857143
"78","2020-07-08",1,232,2.57142857142857,256.428571428571
"79","2020-07-09",5,237,3,259.428571428571
"80","2020-07-10",2,239,3,262.428571428571
"81","9999-99-99",1175,1414,170.714285714286,433.142857142857
