"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-15",1,1,0,0
"2","2020-03-17",1,2,0,0
"3","2020-03-20",1,3,0,0
"4","2020-03-21",1,4,0,0
"5","2020-03-23",3,7,0,0
"6","2020-03-24",4,11,0,0
"7","2020-03-25",3,14,0,0
"8","2020-03-26",1,15,2.14285714285714,8.14285714285714
"9","2020-03-27",5,20,2.71428571428571,10.8571428571429
"10","2020-03-28",4,24,3.14285714285714,14
"11","2020-03-30",2,26,3.28571428571429,17.2857142857143
"12","2020-03-31",5,31,3.85714285714286,21.1428571428571
"13","2020-04-01",1,32,3.57142857142857,24.7142857142857
"14","2020-04-02",3,35,3.42857142857143,28.1428571428571
"15","2020-04-03",1,36,3.14285714285714,31.2857142857143
"16","2020-04-04",7,43,4,35.2857142857143
"17","2020-04-05",2,45,3.57142857142857,38.8571428571429
"18","2020-04-06",11,56,4.57142857142857,43.4285714285714
"19","2020-04-07",14,70,6.28571428571429,49.7142857142857
"20","2020-04-08",16,86,7.85714285714286,57.5714285714286
"21","2020-04-09",6,92,8.57142857142857,66.1428571428571
"22","2020-04-10",7,99,9.14285714285714,75.2857142857143
"23","2020-04-11",5,104,9.71428571428571,85
"24","2020-04-12",3,107,9.14285714285714,94.1428571428571
"25","2020-04-13",18,125,11.4285714285714,105.571428571429
"26","2020-04-14",9,134,11.1428571428571,116.714285714286
"27","2020-04-15",13,147,11,127.714285714286
"28","2020-04-16",13,160,10.5714285714286,138.285714285714
"29","2020-04-17",14,174,11.7142857142857,150
"30","2020-04-18",14,188,12.7142857142857,162.714285714286
"31","2020-04-19",7,195,13,175.714285714286
"32","2020-04-20",9,204,13.8571428571429,189.571428571429
"33","2020-04-21",14,218,13.2857142857143,202.857142857143
"34","2020-04-22",21,239,15,217.857142857143
"35","2020-04-23",9,248,14.4285714285714,232.285714285714
"36","2020-04-24",20,268,15.4285714285714,247.714285714286
"37","2020-04-25",9,277,14.7142857142857,262.428571428571
"38","2020-04-26",15,292,14.8571428571429,277.285714285714
"39","2020-04-27",35,327,18.8571428571429,296.142857142857
"40","2020-04-28",15,342,19.7142857142857,315.857142857143
"41","2020-04-29",17,359,20.1428571428571,336
"42","2020-04-30",33,392,21.8571428571429,357.857142857143
"43","2020-05-01",23,415,23.8571428571429,381.714285714286
"44","2020-05-02",32,447,25.5714285714286,407.285714285714
"45","2020-05-03",26,473,28,435.285714285714
"46","2020-05-04",64,537,35,470.285714285714
"47","2020-05-05",56,593,38,508.285714285714
"48","2020-05-06",44,637,42.1428571428571,550.428571428571
"49","2020-05-07",40,677,45.4285714285714,595.857142857143
"50","2020-05-08",58,735,49,644.857142857143
"51","2020-05-09",46,781,52.2857142857143,697.142857142857
"52","2020-05-10",29,810,51.8571428571429,749
"53","2020-05-11",76,886,59,808
"54","2020-05-12",65,951,59.1428571428571,867.142857142857
"55","2020-05-13",108,1059,66.5714285714286,933.714285714286
"56","2020-05-14",85,1144,72.4285714285714,1006.14285714286
"57","2020-05-15",107,1251,82,1088.14285714286
"58","2020-05-16",66,1317,83.1428571428571,1171.28571428571
"59","2020-05-17",61,1378,85.2857142857143,1256.57142857143
"60","2020-05-18",158,1536,103.714285714286,1360.28571428571
"61","2020-05-19",126,1662,110.857142857143,1471.14285714286
"62","2020-05-20",112,1774,117.571428571429,1588.71428571429
"63","2020-05-21",135,1909,121.428571428571,1710.14285714286
"64","2020-05-22",144,2053,129.857142857143,1840
"65","2020-05-23",121,2174,131.857142857143,1971.85714285714
"66","2020-05-24",89,2263,135.142857142857,2107
"67","2020-05-25",216,2479,157.285714285714,2264.28571428571
"68","2020-05-26",226,2705,167,2431.28571428571
"69","2020-05-27",210,2915,179,2610.28571428571
"70","2020-05-28",215,3130,193.714285714286,2804
"71","2020-05-29",170,3300,198.714285714286,3002.71428571429
"72","2020-05-30",147,3447,199.142857142857,3201.85714285714
"73","2020-05-31",125,3572,199.714285714286,3401.57142857143
"74","2020-06-01",248,3820,222.428571428571,3624
"75","2020-06-02",242,4062,226.142857142857,3850.14285714286
"76","2020-06-03",236,4298,227.571428571429,4077.71428571429
"77","2020-06-04",229,4527,230.285714285714,4308
"78","2020-06-05",249,4776,235.142857142857,4543.14285714286
"79","2020-06-06",160,4936,233.714285714286,4776.85714285714
"80","2020-06-07",108,5044,228.142857142857,5005
"81","2020-06-08",259,5303,247.285714285714,5252.28571428571
"82","2020-06-09",256,5559,248.428571428571,5500.71428571429
"83","2020-06-10",249,5808,249.428571428571,5750.14285714286
"84","2020-06-11",261,6069,253,6003.14285714286
"85","2020-06-12",248,6317,255.714285714286,6258.85714285714
"86","2020-06-13",153,6470,242,6500.85714285714
"87","2020-06-14",119,6589,236.142857142857,6737
"88","2020-06-15",292,6881,262.428571428571,6999.42857142857
"89","2020-06-16",291,7172,267,7266.42857142857
"90","2020-06-17",304,7476,273.857142857143,7540.28571428571
"91","2020-06-18",264,7740,276,7816.28571428571
"92","2020-06-19",299,8039,281.428571428571,8097.71428571429
"93","2020-06-20",189,8228,273,8370.71428571429
"94","2020-06-21",157,8385,273.571428571429,8644.28571428571
"95","2020-06-22",343,8728,305.571428571429,8949.85714285714
"96","2020-06-23",348,9076,313.571428571429,9263.42857142857
"97","2020-06-24",312,9388,316.571428571429,9580
"98","2020-06-25",279,9667,313,9893
"99","2020-06-26",266,9933,313.285714285714,10206.2857142857
"100","2020-06-27",135,10068,289.857142857143,10496.1428571429
"101","2020-06-28",106,10174,278,10774.1428571429
"102","2020-06-29",268,10442,293.857142857143,11068
"103","2020-06-30",286,10728,285.714285714286,11353.7142857143
"104","2020-07-01",230,10958,268.857142857143,11622.5714285714
"105","2020-07-02",267,11225,262.428571428571,11885
"106","2020-07-03",189,11414,249.571428571429,12134.5714285714
"107","2020-07-04",90,11504,224.428571428571,12359
"108","2020-07-05",100,11604,219.428571428571,12578.4285714286
"109","2020-07-06",259,11863,241.285714285714,12819.7142857143
"110","2020-07-07",207,12070,232.571428571429,13052.2857142857
"111","2020-07-08",167,12237,215.571428571429,13267.8571428571
"112","2020-07-09",88,12325,195.285714285714,13463.1428571429
"113","2020-07-10",16,12341,159.428571428571,13622.5714285714
"114","2020-07-11",1,12342,132.571428571429,13755.1428571429
"115","2020-07-13",5,12347,120.428571428571,13875.5714285714
