"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-04-22",1,1,0,0
"2","2020-04-29",2,3,0,0
"3","2020-05-04",1,4,0,0
"4","2020-05-10",1,5,0,0
"5","2020-05-13",2,7,0,0
"6","2020-05-14",2,9,0,0
"7","2020-05-17",1,10,0,0
"8","2020-05-18",2,12,1.71428571428571,7.28571428571429
"9","2020-05-20",3,15,2,9.28571428571429
"10","2020-05-23",2,17,2,11.2857142857143
"11","2020-05-24",3,20,2.28571428571429,13.5714285714286
"12","2020-05-25",3,23,2.57142857142857,16.1428571428571
"13","2020-05-26",3,26,2.71428571428571,18.8571428571429
"14","2020-05-27",4,30,3,21.8571428571429
"15","2020-05-28",2,32,3.14285714285714,25
"16","2020-05-29",5,37,3.57142857142857,28.5714285714286
"17","2020-05-30",5,42,3.85714285714286,32.4285714285714
"18","2020-05-31",4,46,4.14285714285714,36.5714285714286
"19","2020-06-01",1,47,3.85714285714286,40.4285714285714
"20","2020-06-03",2,49,3.71428571428571,44.1428571428571
"21","2020-06-04",4,53,3.85714285714286,48
"22","2020-06-05",6,59,4.14285714285714,52.1428571428571
"23","2020-06-06",1,60,4,56.1428571428571
"24","2020-06-07",3,63,3.71428571428571,59.8571428571429
"25","2020-06-08",3,66,3.42857142857143,63.2857142857143
"26","2020-06-09",3,69,3.28571428571429,66.5714285714286
"27","2020-06-10",6,75,4,70.5714285714286
"28","2020-06-11",3,78,4.14285714285714,74.7142857142857
"29","2020-06-12",5,83,4.28571428571429,79
"30","2020-06-13",5,88,4.14285714285714,83.1428571428571
"31","2020-06-14",4,92,4.57142857142857,87.7142857142857
"32","2020-06-15",4,96,4.71428571428571,92.4285714285714
"33","2020-06-16",3,99,4.71428571428571,97.1428571428571
"34","2020-06-17",3,102,4.71428571428571,101.857142857143
"35","2020-06-18",4,106,4.42857142857143,106.285714285714
"36","2020-06-19",4,110,4.57142857142857,110.857142857143
"37","2020-06-20",4,114,4.42857142857143,115.285714285714
"38","2020-06-21",3,117,4.14285714285714,119.428571428571
"39","2020-06-22",4,121,4.14285714285714,123.571428571429
"40","2020-06-23",3,124,4,127.571428571429
"41","2020-06-24",2,126,3.85714285714286,131.428571428571
"42","2020-06-25",3,129,3.85714285714286,135.285714285714
"43","2020-06-26",2,131,3.57142857142857,138.857142857143
"44","2020-06-27",1,132,3.14285714285714,142
"45","2020-06-28",7,139,3.57142857142857,145.571428571429
"46","2020-06-29",2,141,3.42857142857143,149
"47","2020-06-30",4,145,3.42857142857143,152.428571428571
"48","2020-07-01",3,148,3.42857142857143,155.857142857143
"49","2020-07-02",5,153,3.85714285714286,159.714285714286
"50","2020-07-03",3,156,3.85714285714286,163.571428571429
"51","2020-07-04",2,158,3.85714285714286,167.428571428571
"52","2020-07-05",1,159,3.85714285714286,171.285714285714
"53","2020-07-06",1,160,3,174.285714285714
"54","2020-07-07",1,161,2.85714285714286,177.142857142857
"55","2020-07-09",2,163,2.57142857142857,179.714285714286
"56","2020-07-11",1,164,2.28571428571429,182
"57","9999-99-99",1344,1508,193.571428571429,375.571428571429
