"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-17",1,1,0,0
"2","2020-03-18",3,4,0,0
"3","2020-03-19",2,6,0,0
"4","2020-03-20",2,8,0,0
"5","2020-03-23",3,11,0,0
"6","2020-03-24",12,23,0,0
"7","2020-03-25",3,26,0,0
"8","2020-03-26",5,31,4.42857142857143,15.7142857142857
"9","2020-03-27",11,42,5.85714285714286,21.5714285714286
"10","2020-03-28",1,43,5.57142857142857,27.1428571428571
"11","2020-03-29",9,52,6.57142857142857,33.7142857142857
"12","2020-03-30",10,62,7.71428571428571,41.4285714285714
"13","2020-03-31",11,73,8.85714285714286,50.2857142857143
"14","2020-04-01",9,82,8.42857142857143,58.7142857142857
"15","2020-04-02",15,97,10.1428571428571,68.8571428571429
"16","2020-04-03",20,117,12.2857142857143,81.1428571428571
"17","2020-04-04",3,120,11.1428571428571,92.2857142857143
"18","2020-04-05",9,129,12.2857142857143,104.571428571429
"19","2020-04-06",7,136,12,116.571428571429
"20","2020-04-07",13,149,12.4285714285714,129
"21","2020-04-08",18,167,13.4285714285714,142.428571428571
"22","2020-04-09",11,178,13.7142857142857,156.142857142857
"23","2020-04-10",15,193,13.7142857142857,169.857142857143
"24","2020-04-11",19,212,13.5714285714286,183.428571428571
"25","2020-04-12",27,239,17,200.428571428571
"26","2020-04-13",30,269,20,220.428571428571
"27","2020-04-14",47,316,25.7142857142857,246.142857142857
"28","2020-04-15",39,355,29.4285714285714,275.571428571429
"29","2020-04-16",44,399,33.1428571428571,308.714285714286
"30","2020-04-17",56,455,39.5714285714286,348.285714285714
"31","2020-04-18",48,503,44.2857142857143,392.571428571429
"32","2020-04-19",40,543,47.2857142857143,439.857142857143
"33","2020-04-20",72,615,53.7142857142857,493.571428571429
"34","2020-04-21",84,699,61.4285714285714,555
"35","2020-04-22",65,764,64,619
"36","2020-04-23",63,827,67.4285714285714,686.428571428571
"37","2020-04-24",65,892,70.4285714285714,756.857142857143
"38","2020-04-25",43,935,68.5714285714286,825.428571428571
"39","2020-04-26",41,976,67.5714285714286,893
"40","2020-04-27",59,1035,70.2857142857143,963.285714285714
"41","2020-04-28",58,1093,68.2857142857143,1031.57142857143
"42","2020-04-29",50,1143,63.4285714285714,1095
"43","2020-04-30",84,1227,66.1428571428571,1161.14285714286
"44","2020-05-01",54,1281,64.8571428571429,1226
"45","2020-05-02",48,1329,62.4285714285714,1288.42857142857
"46","2020-05-03",46,1375,62.8571428571429,1351.28571428571
"47","2020-05-04",85,1460,69.1428571428571,1420.42857142857
"48","2020-05-05",72,1532,71,1491.42857142857
"49","2020-05-06",96,1628,76.4285714285714,1567.85714285714
"50","2020-05-07",104,1732,84.1428571428571,1652
"51","2020-05-08",81,1813,83.7142857142857,1735.71428571429
"52","2020-05-09",53,1866,83.5714285714286,1819.28571428571
"53","2020-05-10",65,1931,86,1905.28571428571
"54","2020-05-11",115,2046,95.8571428571429,2001.14285714286
"55","2020-05-12",87,2133,96.1428571428571,2097.28571428571
"56","2020-05-13",116,2249,102.428571428571,2199.71428571429
"57","2020-05-14",127,2376,106.857142857143,2306.57142857143
"58","2020-05-15",145,2521,112.714285714286,2419.28571428571
"59","2020-05-16",86,2607,113.428571428571,2532.71428571429
"60","2020-05-17",80,2687,117.285714285714,2650
"61","2020-05-18",122,2809,125.428571428571,2775.42857142857
"62","2020-05-19",106,2915,124.142857142857,2899.57142857143
"63","2020-05-20",162,3077,134.857142857143,3034.42857142857
"64","2020-05-21",142,3219,138.571428571429,3173
"65","2020-05-22",138,3357,140.142857142857,3313.14285714286
"66","2020-05-23",97,3454,133.285714285714,3446.42857142857
"67","2020-05-24",83,3537,132.857142857143,3579.28571428571
"68","2020-05-25",175,3712,146.428571428571,3725.71428571429
"69","2020-05-26",196,3908,157,3882.71428571429
"70","2020-05-27",224,4132,173.857142857143,4056.57142857143
"71","2020-05-28",222,4354,182.428571428571,4239
"72","2020-05-29",171,4525,186.571428571429,4425.57142857143
"73","2020-05-30",103,4628,181.571428571429,4607.14285714286
"74","2020-05-31",73,4701,178.142857142857,4785.28571428571
"75","2020-06-01",205,4906,195.571428571429,4980.85714285714
"76","2020-06-02",160,5066,193.428571428571,5174.28571428571
"77","2020-06-03",180,5246,191.142857142857,5365.42857142857
"78","2020-06-04",189,5435,186.142857142857,5551.57142857143
"79","2020-06-05",177,5612,179.714285714286,5731.28571428571
"80","2020-06-06",132,5744,174.142857142857,5905.42857142857
"81","2020-06-07",109,5853,175,6080.42857142857
"82","2020-06-08",284,6137,205.142857142857,6285.57142857143
"83","2020-06-09",293,6430,217.714285714286,6503.28571428571
"84","2020-06-10",317,6747,240.142857142857,6743.42857142857
"85","2020-06-11",274,7021,253.571428571429,6997
"86","2020-06-12",366,7387,278.857142857143,7275.85714285714
"87","2020-06-13",181,7568,279.428571428571,7555.28571428571
"88","2020-06-14",105,7673,275.571428571429,7830.85714285714
"89","2020-06-15",312,7985,304.571428571429,8135.42857142857
"90","2020-06-16",312,8297,308.571428571429,8444
"91","2020-06-17",311,8608,311.142857142857,8755.14285714286
