"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.89788307202134,0.340869862361896,1.28951946822151,1.37409867648641,1.6582268858329,1.87751519829172,2.11535274664219,2.49115566307941,2.62194783421103
"2",3,9,1.93364443401561,0.309630913334402,1.37501021819993,1.4540496593813,1.71678732742559,1.9171429061657,2.13252374348559,2.46953483402999,2.58602477667399
"3",4,10,1.49741108724597,0.242912154590002,1.05965720671925,1.12147848279625,1.32721035826818,1.48429658322874,1.65332428588142,1.91808450525945,2.00966856921913
"4",5,11,1.58990517990184,0.237009070669303,1.15968774808737,1.22115370932866,1.42428413706655,1.57814373946514,1.74271152479171,1.99878056756713,2.08694297238278
"5",6,12,1.59702250515661,0.22146717424662,1.19273279368002,1.25101785531352,1.44259683249305,1.58679692991615,1.740306088117,1.97791095876814,2.05940908759224
"6",7,13,1.34788188334834,0.188741215687485,1.00358659521842,1.0531645942177,1.21623809385068,1.33908250761886,1.46993769869772,1.67261765928984,1.7421708109711
"7",8,14,1.39788041160817,0.185153783648243,1.05874097266319,1.10789516419428,1.26894548463376,1.38971422563047,1.51791686226103,1.71572376324305,1.78341725172035
"8",9,15,1.49735077325636,0.182930511975213,1.16042628249483,1.20968715789947,1.37024564054941,1.4899078917103,1.61634508919593,1.81040466969634,1.87656452103311
"9",10,16,1.49269745918351,0.171224141522654,1.17607582071484,1.22265852717514,1.37392038506573,1.48615566986309,1.60434537421956,1.78505252605361,1.84648933305411
"10",11,17,1.34707889711952,0.152526649838926,1.0648099679395,1.10638976940701,1.2413067191213,1.34132654378703,1.44658218306281,1.60739110683408,1.66203265275731
"11",12,18,1.24032328056249,0.140438956549579,0.980424083128653,1.01870869724561,1.14293351735892,1.23502679958312,1.33194095960997,1.48000582225625,1.53031704132399
"12",13,19,1.13582669325886,0.131153969421153,0.893399746572185,0.929043956853385,1.04483076000174,1.13078258269752,1.22132564170411,1.35981651909781,1.40691404884224
"13",14,20,1.14575073522367,0.130570414265143,0.904208562697566,0.939767390864737,1.05518981824484,1.14079461063902,1.23091050849686,1.36864099010092,1.41545350884588
"14",15,21,1.24730334139244,0.134500178328261,0.997681672999544,1.0346171111493,1.15414366580533,1.24247217774584,1.33519788453864,1.47647008472058,1.52437606148441
"15",16,22,1.11590855831185,0.123231485054359,0.887515192616399,0.921237007821632,1.03050455490246,1.11137563747426,1.196372528944,1.32604327384665,1.37005815021734
"16",17,23,1.02626802156194,0.11695409533929,0.809914673576746,0.841765308370413,0.94515109949376,1.02182873820323,1.10254704923079,1.22591453617112,1.26784528909998
"17",18,24,1.25248090570982,0.12987621977933,1.01091373802273,1.04677936297383,1.16260735935104,1.24799459856443,1.33746505186724,1.47348648564193,1.519539907839
"18",19,25,1.39363444624388,0.132277927780849,1.14646305514455,1.1834246569473,1.30228110076382,1.38945159945261,1.48042892895296,1.61811295635218,1.66457389487281
"19",20,26,1.49801663274529,0.129408927002437,1.25512836035305,1.2917002637113,1.40882023183369,1.49429187564617,1.58315329154145,1.71703896391241,1.76207039052027
"20",21,27,1.62824671633587,0.1256219614477,1.3913364438793,1.42727186912423,1.54184767115014,1.62501721012532,1.7111256845665,1.8402380301458,1.88350862259411
"21",22,28,1.53480080192341,0.111640330976078,1.32377979789924,1.35590003512522,1.45809822102697,1.53209477256031,1.60855383568315,1.72293232347837,1.7611989173921
"22",23,29,1.55881023518779,0.104620492827588,1.36048723911376,1.39080822366079,1.48702731149503,1.55647030507997,1.62804260908206,1.73479413824084,1.77043010291151
"23",24,30,1.59013426106107,0.098051879032224,1.4037452211841,1.43236301498727,1.52294683604482,1.58811933650608,1.65512535944721,1.75477872551969,1.78797340010465
"24",25,31,1.50601045857266,0.0881325958803571,1.33820941467652,1.36403605638932,1.44566614179816,1.50429161788481,1.56448117204686,1.65384807992213,1.68357910914427
"25",26,32,1.37716405037795,0.0788561841323352,1.2269288628564,1.25007444187366,1.32318792107552,1.37565924583462,1.42949987845193,1.50938676529507,1.53595056333476
"26",27,33,1.42818542233811,0.0766690105418175,1.28185238684815,1.30445899841394,1.37575244465997,1.42681372083386,1.47912317275484,1.55659090928124,1.58231344023646
"27",28,34,1.41535176683149,0.0722268674017455,1.27731240887252,1.29868118365063,1.36598903015151,1.4141233526469,1.46337545822414,1.53621263418392,1.56037187141068
"28",29,35,1.35530837668142,0.0669339098117677,1.22727877155995,1.24712297025793,1.30958169065905,1.35420665935377,1.39983411991676,1.46725188422549,1.48959875743825
"29",30,36,1.29593246898386,0.0625682091980674,1.17618680085691,1.1947626999928,1.2531999992887,1.2949256676591,1.33756745764122,1.40053656633746,1.42139953739025
"30",31,37,1.23124656222715,0.0588312364029822,1.11862461595514,1.13610207447542,1.191071329253,1.23030966737044,1.27040051575084,1.32958691762453,1.3491926510229
"31",32,38,1.15462361249199,0.0554876697395658,1.04841703168518,1.06489545061905,1.11672907380679,1.15373487849627,1.19154937096168,1.24738335959643,1.26588064783528
"32",33,39,1.12340333199904,0.0539250855663025,1.02018474956624,1.03620024430339,1.08657644586889,1.12254062093059,1.15928980454768,1.21354923731454,1.23152448746711
"33",34,40,1.06569844515547,0.051938964179276,0.966318316878565,0.981729578944033,1.03022145133883,1.06485478061936,1.10025578894931,1.15254515989528,1.16987290542864
"34",35,41,0.993782260933393,0.0500026121379923,0.898183211580762,0.912990249396713,0.959614523225161,0.992943752045232,1.02703597199328,1.07743453673896,1.09414633460512
"35",36,42,0.971360056948641,0.0498297195254754,0.876138802852454,0.890876222973035,0.937302172875287,0.970508119727385,1.00448927885227,1.0547499625131,1.07142263890288
"36",37,43,1.04549772782176,0.0522096650476729,0.94566004153953,0.961128059228682,1.00982520815987,1.04462878095158,1.0802230407006,1.13283148806719,1.15027341179644
"37",38,44,1.00638276371805,0.0509601721585862,0.908968767292564,0.924053204170572,0.971557934970928,1.00552273833011,1.04027011221802,1.09164598364344,1.10868405503306
"38",39,45,1.02102901079788,0.0513735449057145,0.922808900990265,0.93802190666403,0.985924488605388,1.02016751232454,1.05519444626957,1.10697479970392,1.12414478865895
"39",40,46,1.03097764729622,0.0515488823648112,0.932406638988429,0.947677679473239,0.995756066283055,1.0301186266542,1.06526284187781,1.11720784720125,1.13443024475374
"40",41,47,1.08990260774076,0.0528059538887759,0.988848986474247,1.004523196313,1.0538359851987,1.08904990753299,1.12503973016909,1.17819068911732,1.19580191014903
"41",42,48,1.09532130142988,0.0522173942058595,0.995354913140634,1.01086968038492,1.05966355616953,1.09449162441399,1.13007464179505,1.18260305626167,1.20000254030261
"42",43,49,1.17616732295579,0.0533520332106843,1.07390999215847,1.08980828181871,1.13975575909086,1.17536072226853,1.21169963223769,1.26527777851748,1.28300837971652
"43",44,50,1.16103618398932,0.0516143540360074,1.06206441225791,1.07746247718314,1.12581851950365,1.16027142765648,1.19542020574014,1.24721856786545,1.26435389432843
"44",45,51,1.16746047391267,0.0505683264880858,1.07043900734076,1.08554671560591,1.13296639179176,1.16673043602272,1.20115875716709,1.25186447915506,1.26863058723079
"45",46,52,1.12537090553693,0.0485181848985839,1.03227347148377,1.04677236651841,1.092276956679,1.12467372656245,1.15770487402416,1.20634760556816,1.22243025713192
"46",47,53,1.12925165136624,0.0478479280933327,1.0374061948629,1.05171815058535,1.09662095334804,1.12857592938451,1.16114575773393,1.20909012002835,1.22493709303751
"47",48,54,1.15216968975818,0.0475551324264573,1.06083612322538,1.07508013523605,1.11974760717474,1.15151548572484,1.18387863545042,1.23149081082307,1.24722096382497
