"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-15",1,1,0,0
"2","2020-03-16",1,2,0,0
"3","2020-03-19",1,3,0,0
"4","2020-03-20",1,4,0,0
"5","2020-03-22",2,6,0,0
"6","2020-03-23",1,7,0,0
"7","2020-03-24",1,8,0,0
"8","2020-03-27",1,9,1.28571428571429,5.71428571428571
"9","2020-03-28",3,12,1.57142857142857,7.28571428571429
"10","2020-03-29",3,15,1.85714285714286,9.14285714285714
"11","2020-03-30",4,19,2.28571428571429,11.4285714285714
"12","2020-03-31",5,24,2.85714285714286,14.2857142857143
"13","2020-04-01",8,32,3.71428571428571,18
"14","2020-04-02",1,33,3.71428571428571,21.7142857142857
"15","2020-04-03",9,42,4.85714285714286,26.5714285714286
"16","2020-04-04",3,45,5.14285714285714,31.7142857142857
"17","2020-04-05",4,49,5.28571428571429,37
"18","2020-04-06",10,59,6.28571428571429,43.2857142857143
"19","2020-04-07",7,66,6.71428571428571,50
"20","2020-04-08",3,69,6.42857142857143,56.4285714285714
"21","2020-04-09",5,74,6,62.4285714285714
"22","2020-04-10",9,83,7.14285714285714,69.5714285714286
"23","2020-04-11",5,88,6.57142857142857,76.1428571428571
"24","2020-04-12",9,97,7.42857142857143,83.5714285714286
"25","2020-04-13",14,111,8.85714285714286,92.4285714285714
"26","2020-04-14",19,130,10.1428571428571,102.571428571429
"27","2020-04-15",16,146,11.4285714285714,114
"28","2020-04-16",28,174,15,129
"29","2020-04-17",31,205,18.7142857142857,147.714285714286
"30","2020-04-18",14,219,19.4285714285714,167.142857142857
"31","2020-04-19",11,230,20.2857142857143,187.428571428571
"32","2020-04-20",25,255,22.5714285714286,210
"33","2020-04-21",19,274,23.2857142857143,233.285714285714
"34","2020-04-22",28,302,24.5714285714286,257.857142857143
"35","2020-04-23",33,335,27,284.857142857143
"36","2020-04-24",26,361,26.7142857142857,311.571428571429
"37","2020-04-25",39,400,27.8571428571429,339.428571428571
"38","2020-04-26",34,434,30.7142857142857,370.142857142857
"39","2020-04-27",27,461,33,403.142857142857
"40","2020-04-28",42,503,35.4285714285714,438.571428571429
"41","2020-04-29",35,538,37.7142857142857,476.285714285714
"42","2020-04-30",18,556,36.2857142857143,512.571428571429
"43","2020-05-01",31,587,36,548.571428571429
"44","2020-05-02",31,618,36.7142857142857,585.285714285714
"45","2020-05-03",25,643,34.7142857142857,620
"46","2020-05-04",43,686,36,656
"47","2020-05-05",35,721,37.1428571428571,693.142857142857
"48","2020-05-06",47,768,37.8571428571429,731
"49","2020-05-07",44,812,39.1428571428571,770.142857142857
"50","2020-05-08",31,843,41,811.142857142857
"51","2020-05-09",27,870,40.4285714285714,851.571428571429
"52","2020-05-10",22,892,39.1428571428571,890.714285714286
"53","2020-05-11",43,935,41.7142857142857,932.428571428571
"54","2020-05-12",48,983,42.4285714285714,974.857142857143
"55","2020-05-13",40,1023,43.1428571428571,1018
"56","2020-05-14",35,1058,41.4285714285714,1059.42857142857
"57","2020-05-15",62,1120,44,1103.42857142857
"58","2020-05-16",48,1168,46.4285714285714,1149.85714285714
"59","2020-05-17",17,1185,45,1194.85714285714
"60","2020-05-18",63,1248,50.8571428571429,1245.71428571429
"61","2020-05-19",51,1299,52,1297.71428571429
"62","2020-05-20",69,1368,55,1352.71428571429
"63","2020-05-21",70,1438,59.2857142857143,1412
"64","2020-05-22",88,1526,66.8571428571429,1478.85714285714
"65","2020-05-23",68,1594,67.7142857142857,1546.57142857143
"66","2020-05-24",34,1628,65.7142857142857,1612.28571428571
"67","2020-05-25",113,1741,79.4285714285714,1691.71428571429
"68","2020-05-26",115,1856,86.8571428571429,1778.57142857143
"69","2020-05-27",106,1962,94.7142857142857,1873.28571428571
"70","2020-05-28",63,2025,93.8571428571429,1967.14285714286
"71","2020-05-29",95,2120,97.4285714285714,2064.57142857143
"72","2020-05-30",68,2188,94.5714285714286,2159.14285714286
"73","2020-05-31",48,2236,91.7142857142857,2250.85714285714
"74","2020-06-01",130,2366,105.428571428571,2356.28571428571
"75","2020-06-02",97,2463,103.142857142857,2459.42857142857
"76","2020-06-03",79,2542,98,2557.42857142857
"77","2020-06-04",94,2636,96.2857142857143,2653.71428571429
"78","2020-06-05",101,2737,101.714285714286,2755.42857142857
"79","2020-06-06",79,2816,99.4285714285714,2854.85714285714
"80","2020-06-07",65,2881,99,2953.85714285714
"81","2020-06-08",135,3016,111.428571428571,3065.28571428571
"82","2020-06-09",125,3141,110.714285714286,3176
"83","2020-06-10",170,3311,121.142857142857,3297.14285714286
