"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-04-20",1,1,0,0
"2","2020-04-23",1,2,0,0
"3","2020-04-30",1,3,0,0
"4","2020-05-01",1,4,0,0
"5","2020-05-02",1,5,0,0
"6","2020-05-06",2,7,0,0
"7","2020-05-08",1,8,0,0
"8","2020-05-09",1,9,1.28571428571429,5.57142857142857
"9","2020-05-11",1,10,1.28571428571429,6.85714285714286
"10","2020-05-12",1,11,1.28571428571429,8.14285714285714
"11","2020-05-14",3,14,1.57142857142857,9.71428571428571
"12","2020-05-18",3,17,1.85714285714286,11.5714285714286
"13","2020-05-22",1,18,1.85714285714286,13.4285714285714
"14","2020-05-24",1,19,1.71428571428571,15.1428571428571
"15","2020-05-25",2,21,1.85714285714286,17
"16","2020-05-26",2,23,2,19
"17","2020-05-30",1,24,2,21
"18","2020-05-31",3,27,2.28571428571429,23.2857142857143
"19","2020-06-01",2,29,2.14285714285714,25.4285714285714
"20","2020-06-02",1,30,1.85714285714286,27.2857142857143
"21","2020-06-03",1,31,1.85714285714286,29.1428571428571
"22","2020-06-04",1,32,1.85714285714286,31
"23","2020-06-06",1,33,1.71428571428571,32.7142857142857
"24","2020-06-08",1,34,1.57142857142857,34.2857142857143
"25","2020-06-09",5,39,2.14285714285714,36.4285714285714
"26","2020-06-12",1,40,1.85714285714286,38.2857142857143
"27","2020-06-13",3,43,2,40.2857142857143
"28","2020-06-14",5,48,2.57142857142857,42.8571428571429
"29","2020-06-16",1,49,2.57142857142857,45.4285714285714
"30","2020-06-17",3,52,2.85714285714286,48.2857142857143
"31","2020-06-18",2,54,3,51.2857142857143
"32","2020-06-19",3,57,3.28571428571429,54.5714285714286
"33","2020-06-20",2,59,2.85714285714286,57.4285714285714
"34","2020-06-21",2,61,3,60.4285714285714
"35","2020-06-22",2,63,2.85714285714286,63.2857142857143
"36","2020-06-23",2,65,2.42857142857143,65.7142857142857
"37","2020-06-24",1,66,2.42857142857143,68.1428571428571
"38","2020-06-25",1,67,2.14285714285714,70.2857142857143
"39","2020-06-26",3,70,2.28571428571429,72.5714285714286
"40","2020-06-27",1,71,2,74.5714285714286
"41","2020-06-28",2,73,2,76.5714285714286
"42","2020-06-29",3,76,2.14285714285714,78.7142857142857
"43","2020-06-30",1,77,2,80.7142857142857
"44","2020-07-01",1,78,1.85714285714286,82.5714285714286
"45","2020-07-02",3,81,2.14285714285714,84.7142857142857
"46","2020-07-03",1,82,2.14285714285714,86.8571428571429
"47","2020-07-05",4,86,2.28571428571429,89.1428571428571
"48","2020-07-06",2,88,2.42857142857143,91.5714285714286
"49","2020-07-07",3,91,2.57142857142857,94.1428571428571
"50","2020-07-08",3,94,2.57142857142857,96.7142857142857
"51","9999-99-99",1233,1327,178.571428571429,275.285714285714
