"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-23",1,1,0,0
"2","2020-03-24",1,2,0,0
"3","2020-03-27",1,3,0,0
"4","2020-03-28",2,5,0,0
"5","2020-03-30",1,6,0,0
"6","2020-04-01",4,10,0,0
"7","2020-04-02",1,11,0,0
"8","2020-04-04",2,13,1.85714285714286,7.28571428571429
"9","2020-04-05",6,19,2.57142857142857,9.85714285714286
"10","2020-04-06",8,27,3.57142857142857,13.4285714285714
"11","2020-04-07",7,34,4.42857142857143,17.8571428571429
"12","2020-04-08",6,40,5,22.8571428571429
"13","2020-04-09",1,41,5,27.8571428571429
"14","2020-04-10",6,47,5.28571428571429,33.1428571428571
"15","2020-04-11",6,53,6,39.1428571428571
"16","2020-04-12",2,55,6,45.1428571428571
"17","2020-04-13",5,60,5.85714285714286,51
"18","2020-04-14",7,67,5.71428571428571,56.7142857142857
"19","2020-04-15",4,71,5.28571428571429,62
"20","2020-04-16",7,78,5.42857142857143,67.4285714285714
"21","2020-04-17",6,84,6.14285714285714,73.5714285714286
"22","2020-04-18",3,87,5.71428571428571,79.2857142857143
"23","2020-04-19",10,97,6.28571428571429,85.5714285714286
"24","2020-04-20",9,106,7.28571428571429,92.8571428571429
"25","2020-04-21",11,117,8.14285714285714,101
"26","2020-04-22",7,124,8.14285714285714,109.142857142857
"27","2020-04-23",12,136,9.28571428571429,118.428571428571
"28","2020-04-24",15,151,10.4285714285714,128.857142857143
"29","2020-04-25",21,172,12.5714285714286,141.428571428571
"30","2020-04-26",13,185,14,155.428571428571
"31","2020-04-27",14,199,14.5714285714286,170
"32","2020-04-28",24,223,16.7142857142857,186.714285714286
"33","2020-04-29",8,231,16.2857142857143,203
"34","2020-04-30",16,247,17.5714285714286,220.571428571429
"35","2020-05-01",9,256,17.1428571428571,237.714285714286
"36","2020-05-02",16,272,17.2857142857143,255
"37","2020-05-03",7,279,15.2857142857143,270.285714285714
"38","2020-05-04",25,304,17,287.285714285714
"39","2020-05-05",16,320,17.2857142857143,304.571428571429
"40","2020-05-06",23,343,17.1428571428571,321.714285714286
"41","2020-05-07",17,360,18.4285714285714,340.142857142857
"42","2020-05-08",20,380,19,359.142857142857
"43","2020-05-09",20,400,20.5714285714286,379.714285714286
"44","2020-05-10",16,416,20.5714285714286,400.285714285714
"45","2020-05-11",36,452,24.7142857142857,425
"46","2020-05-12",37,489,26.4285714285714,451.428571428571
"47","2020-05-13",39,528,29.7142857142857,481.142857142857
"48","2020-05-14",21,549,29.4285714285714,510.571428571429
"49","2020-05-15",37,586,32.2857142857143,542.857142857143
"50","2020-05-16",29,615,33.5714285714286,576.428571428571
"51","2020-05-17",25,640,34.2857142857143,610.714285714286
"52","2020-05-18",42,682,38,648.714285714286
"53","2020-05-19",50,732,40,688.714285714286
"54","2020-05-20",41,773,40.5714285714286,729.285714285714
"55","2020-05-21",50,823,42.1428571428571,771.428571428571
"56","2020-05-22",43,866,45.2857142857143,816.714285714286
"57","2020-05-23",28,894,44,860.714285714286
"58","2020-05-24",16,910,42.1428571428571,902.857142857143
"59","2020-05-25",59,969,47,949.857142857143
"60","2020-05-26",37,1006,46.2857142857143,996.142857142857
"61","2020-05-27",39,1045,44.7142857142857,1040.85714285714
"62","2020-05-28",44,1089,45.1428571428571,1086
"63","2020-05-29",45,1134,44.4285714285714,1130.42857142857
"64","2020-05-30",39,1173,43.8571428571429,1174.28571428571
"65","2020-05-31",25,1198,43.4285714285714,1217.71428571429
"66","2020-06-01",64,1262,50.2857142857143,1268
"67","2020-06-02",45,1307,48.2857142857143,1316.28571428571
"68","2020-06-03",59,1366,51.4285714285714,1367.71428571429
"69","2020-06-04",55,1421,53.7142857142857,1421.42857142857
"70","2020-06-05",48,1469,54.2857142857143,1475.71428571429
"71","2020-06-06",34,1503,52.7142857142857,1528.42857142857
"72","2020-06-07",26,1529,50.8571428571429,1579.28571428571
"73","2020-06-08",67,1596,56.8571428571429,1636.14285714286
"74","2020-06-09",52,1648,55.1428571428571,1691.28571428571
"75","2020-06-10",61,1709,57.4285714285714,1748.71428571429
"76","2020-06-11",53,1762,56.5714285714286,1805.28571428571
"77","2020-06-12",55,1817,56.5714285714286,1861.85714285714
"78","2020-06-13",26,1843,53.4285714285714,1915.28571428571
"79","2020-06-14",30,1873,52.8571428571429,1968.14285714286
"80","2020-06-15",62,1935,58,2026.14285714286
"81","2020-06-16",55,1990,56.2857142857143,2082.42857142857
"82","2020-06-17",74,2064,59.4285714285714,2141.85714285714
"83","2020-06-18",55,2119,58.5714285714286,2200.42857142857
"84","2020-06-19",48,2167,57.8571428571429,2258.28571428571
"85","2020-06-20",33,2200,54.7142857142857,2313
"86","2020-06-21",28,2228,55,2368
"87","2020-06-22",65,2293,60,2428
"88","2020-06-23",77,2370,62.1428571428571,2490.14285714286
"89","2020-06-24",73,2443,64.7142857142857,2554.85714285714
"90","2020-06-25",62,2505,63,2617.85714285714
"91","2020-06-26",86,2591,67.4285714285714,2685.28571428571
"92","2020-06-27",25,2616,64.1428571428571,2749.42857142857
"93","2020-06-28",48,2664,66.2857142857143,2815.71428571429
"94","2020-06-29",85,2749,74.4285714285714,2890.14285714286
"95","2020-06-30",89,2838,77.8571428571429,2968
"96","2020-07-01",68,2906,76.5714285714286,3044.57142857143
"97","2020-07-02",92,2998,79.2857142857143,3123.85714285714
"98","2020-07-03",69,3067,80.2857142857143,3204.14285714286
"99","2020-07-04",20,3087,70.8571428571429,3275
"100","2020-07-05",44,3131,73.5714285714286,3348.57142857143
"101","2020-07-06",57,3188,74.8571428571429,3423.42857142857
"102","2020-07-07",50,3238,69.8571428571429,3493.28571428571
"103","2020-07-08",38,3276,62.5714285714286,3555.85714285714
"104","2020-07-09",47,3323,59.5714285714286,3615.42857142857
"105","2020-07-10",12,3335,48.1428571428571,3663.57142857143
"106","2020-07-11",1,3336,38.4285714285714,3702
