"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-15",2,2,0,0
"2","2020-03-18",7,9,0,0
"3","2020-03-19",5,14,0,0
"4","2020-03-20",1,15,0,0
"5","2020-03-21",1,16,0,0
"6","2020-03-23",4,20,0,0
"7","2020-03-24",2,22,0,0
"8","2020-03-25",2,24,3.42857142857143,17.4285714285714
"9","2020-03-26",5,29,3.85714285714286,21.2857142857143
"10","2020-03-27",1,30,3,24.2857142857143
"11","2020-03-28",1,31,2.42857142857143,26.7142857142857
"12","2020-03-29",1,32,2.42857142857143,29.1428571428571
"13","2020-03-30",4,36,2.85714285714286,32
"14","2020-03-31",2,38,2.57142857142857,34.5714285714286
"15","2020-04-01",10,48,3.71428571428571,38.2857142857143
"16","2020-04-02",6,54,4.28571428571429,42.5714285714286
"17","2020-04-03",8,62,4.71428571428571,47.2857142857143
"18","2020-04-04",2,64,4.85714285714286,52.1428571428571
"19","2020-04-05",2,66,5,57.1428571428571
"20","2020-04-06",6,72,5.71428571428571,62.8571428571429
"21","2020-04-07",11,83,6.71428571428571,69.5714285714286
"22","2020-04-08",5,88,7.14285714285714,76.7142857142857
"23","2020-04-09",12,100,7.42857142857143,84.1428571428571
"24","2020-04-10",9,109,7.85714285714286,92
"25","2020-04-11",14,123,8.71428571428571,100.714285714286
"26","2020-04-12",9,132,9.71428571428571,110.428571428571
"27","2020-04-13",14,146,11.4285714285714,121.857142857143
"28","2020-04-14",13,159,12.4285714285714,134.285714285714
"29","2020-04-15",30,189,15.1428571428571,149.428571428571
"30","2020-04-16",39,228,20,169.428571428571
"31","2020-04-17",35,263,23.2857142857143,192.714285714286
"32","2020-04-18",18,281,24.5714285714286,217.285714285714
"33","2020-04-19",18,299,25.1428571428571,242.428571428571
"34","2020-04-20",37,336,29.1428571428571,271.571428571429
"35","2020-04-21",46,382,33.7142857142857,305.285714285714
"36","2020-04-22",30,412,36.1428571428571,341.428571428571
"37","2020-04-23",51,463,39.1428571428571,380.571428571429
"38","2020-04-24",48,511,40.4285714285714,421
"39","2020-04-25",44,555,41.7142857142857,462.714285714286
"40","2020-04-26",30,585,43.4285714285714,506.142857142857
"41","2020-04-27",68,653,50.5714285714286,556.714285714286
"42","2020-04-28",74,727,55.8571428571429,612.571428571429
"43","2020-04-29",74,801,59.8571428571429,672.428571428571
"44","2020-04-30",63,864,64.5714285714286,737
"45","2020-05-01",66,930,66.7142857142857,803.714285714286
"46","2020-05-02",65,995,69.1428571428571,872.857142857143
"47","2020-05-03",58,1053,71.1428571428571,944
"48","2020-05-04",94,1147,80.2857142857143,1024.28571428571
"49","2020-05-05",104,1251,85.4285714285714,1109.71428571429
"50","2020-05-06",109,1360,90.4285714285714,1200.14285714286
"51","2020-05-07",120,1480,97,1297.14285714286
"52","2020-05-08",104,1584,102.857142857143,1400
"53","2020-05-09",79,1663,104.714285714286,1504.71428571429
"54","2020-05-10",70,1733,105.428571428571,1610.14285714286
"55","2020-05-11",139,1872,117,1727.14285714286
"56","2020-05-12",123,1995,121.142857142857,1848.28571428571
"57","2020-05-13",132,2127,125.142857142857,1973.42857142857
"58","2020-05-14",168,2295,133.571428571429,2107
"59","2020-05-15",192,2487,143.857142857143,2250.85714285714
"60","2020-05-16",132,2619,147.857142857143,2398.71428571429
"61","2020-05-17",87,2706,149,2547.71428571429
"62","2020-05-18",164,2870,162.428571428571,2710.14285714286
"63","2020-05-19",150,3020,164,2874.14285714286
"64","2020-05-20",180,3200,172.142857142857,3046.28571428571
"65","2020-05-21",174,3374,178.142857142857,3224.42857142857
"66","2020-05-22",174,3548,179,3403.42857142857
"67","2020-05-23",115,3663,168,3571.42857142857
"68","2020-05-24",105,3768,164.142857142857,3735.57142857143
"69","2020-05-25",211,3979,181.857142857143,3917.42857142857
"70","2020-05-26",196,4175,186.428571428571,4103.85714285714
"71","2020-05-27",183,4358,191.142857142857,4295
"72","2020-05-28",179,4537,191,4486
"73","2020-05-29",185,4722,192.571428571429,4678.57142857143
"74","2020-05-30",135,4857,187,4865.57142857143
"75","2020-05-31",112,4969,186.571428571429,5052.14285714286
"76","2020-06-01",227,5196,204,5256.14285714286
"77","2020-06-02",182,5378,199.857142857143,5456
"78","2020-06-03",196,5574,199.857142857143,5655.85714285714
"79","2020-06-04",233,5807,207,5862.85714285714
"80","2020-06-05",204,6011,210.571428571429,6073.42857142857
"81","2020-06-06",109,6120,199.714285714286,6273.14285714286
"82","2020-06-07",103,6223,195.142857142857,6468.28571428571
"83","2020-06-08",212,6435,209.428571428571,6677.71428571429
"84","2020-06-09",219,6654,208.285714285714,6886
"85","2020-06-10",233,6887,215.571428571429,7101.57142857143
"86","2020-06-11",202,7089,216.428571428571,7318
"87","2020-06-12",186,7275,209.714285714286,7527.71428571429
"88","2020-06-13",139,7414,200.428571428571,7728.14285714286
"89","2020-06-14",136,7550,204.285714285714,7932.42857142857
"90","2020-06-15",333,7883,237.142857142857,8169.57142857143
"91","2020-06-16",308,8191,250.857142857143,8420.42857142857
"92","2020-06-17",244,8435,254.428571428571,8674.85714285714
"93","2020-06-18",255,8690,257.571428571429,8932.42857142857
"94","2020-06-19",276,8966,268.142857142857,9200.57142857143
"95","2020-06-20",166,9132,265.285714285714,9465.85714285714
"96","2020-06-21",138,9270,265.142857142857,9731
"97","2020-06-22",365,9635,297.857142857143,10028.8571428571
"98","2020-06-23",299,9934,293,10321.8571428571
"99","2020-06-24",296,10230,291.285714285714,10613.1428571429
"100","2020-06-25",314,10544,301.285714285714,10914.4285714286
"101","2020-06-26",321,10865,310.714285714286,11225.1428571429
"102","2020-06-27",158,11023,293.857142857143,11519
"103","2020-06-28",160,11183,293,11812
"104","2020-06-29",345,11528,322.571428571429,12134.5714285714
"105","2020-06-30",366,11894,322.714285714286,12457.2857142857
"106","2020-07-01",368,12262,332.571428571429,12789.8571428571
"107","2020-07-02",353,12615,340.714285714286,13130.5714285714
"108","2020-07-03",360,12975,347.285714285714,13477.8571428571
"109","2020-07-04",155,13130,323.571428571429,13801.4285714286
"110","2020-07-05",180,13310,326.714285714286,14128.1428571429
"111","2020-07-06",265,13575,341.714285714286,14469.8571428571
"112","2020-07-07",155,13730,314.571428571429,14784.4285714286
"113","2020-07-08",34,13764,267.142857142857,15051.5714285714
"114","2020-07-09",15,13779,216.714285714286,15268.2857142857
"115","2020-07-10",2,13781,166.571428571429,15434.8571428571
"116","2020-07-12",1,13782,115.285714285714,15550.1428571429
