"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-04-10",1,1,0,0
"2","2020-04-20",1,2,0,0
"3","2020-04-21",2,4,0,0
"4","2020-04-23",1,5,0,0
"5","2020-04-29",1,6,0,0
"6","2020-05-02",2,8,0,0
"7","2020-05-04",2,10,0,0
"8","2020-05-05",2,12,1.71428571428571,6.85714285714286
"9","2020-05-06",1,13,1.71428571428571,8.57142857142857
"10","2020-05-07",1,14,1.71428571428571,10.2857142857143
"11","2020-05-09",1,15,1.57142857142857,11.8571428571429
"12","2020-05-10",1,16,1.57142857142857,13.4285714285714
"13","2020-05-11",1,17,1.57142857142857,15
"14","2020-05-12",2,19,1.57142857142857,16.5714285714286
"15","2020-05-13",1,20,1.42857142857143,18
"16","2020-05-14",1,21,1.28571428571429,19.2857142857143
"17","2020-05-15",1,22,1.28571428571429,20.5714285714286
"18","2020-05-17",2,24,1.42857142857143,22
"19","2020-05-18",2,26,1.57142857142857,23.5714285714286
"20","2020-05-19",1,27,1.57142857142857,25.1428571428571
"21","2020-05-22",1,28,1.57142857142857,26.7142857142857
"22","2020-05-23",1,29,1.42857142857143,28.1428571428571
"23","2020-05-24",1,30,1.42857142857143,29.5714285714286
"24","2020-05-26",3,33,1.71428571428571,31.2857142857143
"25","2020-05-28",1,34,1.71428571428571,33
"26","2020-05-29",1,35,1.57142857142857,34.5714285714286
"27","2020-05-30",4,39,1.85714285714286,36.4285714285714
"28","2020-05-31",1,40,1.85714285714286,38.2857142857143
"29","2020-06-01",1,41,1.85714285714286,40.1428571428571
"30","2020-06-02",1,42,1.85714285714286,42
"31","2020-06-04",2,44,2,44
"32","2020-06-05",1,45,1.71428571428571,45.7142857142857
"33","2020-06-08",1,46,1.71428571428571,47.4285714285714
"34","2020-06-11",1,47,1.71428571428571,49.1428571428571
"35","2020-06-13",2,49,1.42857142857143,50.5714285714286
"36","2020-06-14",3,52,1.71428571428571,52.2857142857143
"37","2020-06-15",3,55,2,54.2857142857143
"38","2020-06-17",1,56,2,56.2857142857143
"39","2020-06-18",4,60,2.28571428571429,58.5714285714286
"40","2020-06-20",2,62,2.42857142857143,61
"41","2020-06-22",1,63,2.42857142857143,63.4285714285714
"42","2020-06-24",3,66,2.71428571428571,66.1428571428571
"43","2020-06-25",6,72,3.28571428571429,69.4285714285714
"44","2020-06-26",1,73,3,72.4285714285714
"45","2020-06-29",1,74,2.71428571428571,75.1428571428571
"46","2020-06-30",4,78,3.14285714285714,78.2857142857143
"47","2020-07-01",3,81,3,81.2857142857143
"48","2020-07-02",2,83,3,84.2857142857143
"49","2020-07-03",3,86,3.28571428571429,87.5714285714286
"50","2020-07-04",1,87,3,90.5714285714286
"51","2020-07-06",3,90,2.57142857142857,93.1428571428571
"52","2020-07-07",4,94,3,96.1428571428571
"53","2020-07-08",1,95,3,99.1428571428571
"54","2020-07-10",1,96,2.57142857142857,101.714285714286
"55","9999-99-99",940,1036,136.428571428571,238.142857142857
