"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-31",1,1,0,0
"2","2020-05-03",1,2,0,0
"3","2020-05-10",1,3,0,0
"4","2020-05-14",1,4,0,0
"5","2020-05-29",1,5,0,0
"6","2020-06-02",1,6,0,0
"7","2020-06-03",2,8,0,0
"8","2020-06-07",2,10,1.42857142857143,5.57142857142857
"9","2020-06-08",1,11,1.42857142857143,7
"10","2020-06-09",1,12,1.42857142857143,8.42857142857143
"11","2020-06-15",1,13,1.42857142857143,9.85714285714286
"12","2020-06-16",1,14,1.42857142857143,11.2857142857143
"13","2020-06-17",2,16,1.57142857142857,12.8571428571429
"14","2020-06-21",2,18,1.71428571428571,14.5714285714286
"15","2020-06-26",1,19,1.57142857142857,16.1428571428571
"16","2020-07-02",2,21,1.57142857142857,17.7142857142857
"17","2020-07-08",2,23,1.71428571428571,19.4285714285714
"18","2020-07-09",1,24,1.71428571428571,21.1428571428571
"19","9999-99-99",228,252,34.1428571428571,55.2857142857143
