"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-13",1,1,0,0
"2","2020-03-16",2,3,0,0
"3","2020-03-17",3,6,0,0
"4","2020-03-21",1,7,0,0
"5","2020-03-23",1,8,0,0
"6","2020-03-25",3,11,0,0
"7","2020-03-26",4,15,0,0
"8","2020-03-28",1,16,2.28571428571429,9.57142857142857
"9","2020-03-29",1,17,2.28571428571429,11.8571428571429
"10","2020-03-30",1,18,2.14285714285714,14
"11","2020-03-31",3,21,2.14285714285714,16.1428571428571
"12","2020-04-01",2,23,2.28571428571429,18.4285714285714
"13","2020-04-02",1,24,2.28571428571429,20.7142857142857
"14","2020-04-03",1,25,2,22.7142857142857
"15","2020-04-05",1,26,1.57142857142857,24.2857142857143
"16","2020-04-06",6,32,2.28571428571429,26.5714285714286
"17","2020-04-07",6,38,3,29.5714285714286
"18","2020-04-08",4,42,3.42857142857143,33
"19","2020-04-09",1,43,3.14285714285714,36.1428571428571
"20","2020-04-10",1,44,3,39.1428571428571
"21","2020-04-11",3,47,3.28571428571429,42.4285714285714
"22","2020-04-12",6,53,4,46.4285714285714
"23","2020-04-13",8,61,5,51.4285714285714
"24","2020-04-14",3,64,4.57142857142857,56
"25","2020-04-15",3,67,4.14285714285714,60.1428571428571
"26","2020-04-16",3,70,4,64.1428571428571
"27","2020-04-17",8,78,5,69.1428571428571
"28","2020-04-18",1,79,5,74.1428571428571
"29","2020-04-19",2,81,4.85714285714286,79
"30","2020-04-20",5,86,4.71428571428571,83.7142857142857
"31","2020-04-21",3,89,4,87.7142857142857
"32","2020-04-22",3,92,4,91.7142857142857
"33","2020-04-23",14,106,5.57142857142857,97.2857142857143
"34","2020-04-24",15,121,7.28571428571429,104.571428571429
"35","2020-04-25",5,126,6.85714285714286,111.428571428571
"36","2020-04-26",11,137,8.28571428571429,119.714285714286
"37","2020-04-27",15,152,10.1428571428571,129.857142857143
"38","2020-04-28",20,172,12.2857142857143,142.142857142857
"39","2020-04-29",13,185,13.7142857142857,155.857142857143
"40","2020-04-30",8,193,14.4285714285714,170.285714285714
"41","2020-05-01",10,203,13.8571428571429,184.142857142857
"42","2020-05-02",31,234,16.1428571428571,200.285714285714
"43","2020-05-03",13,247,17.2857142857143,217.571428571429
"44","2020-05-04",27,274,19.5714285714286,237.142857142857
"45","2020-05-05",11,285,19,256.142857142857
"46","2020-05-06",25,310,19.7142857142857,275.857142857143
"47","2020-05-07",16,326,20.1428571428571,296
"48","2020-05-08",29,355,23.1428571428571,319.142857142857
"49","2020-05-09",15,370,23.8571428571429,343
"50","2020-05-10",20,390,22.2857142857143,365.285714285714
"51","2020-05-11",29,419,24.5714285714286,389.857142857143
"52","2020-05-12",36,455,25.8571428571429,415.714285714286
"53","2020-05-13",26,481,28,443.714285714286
"54","2020-05-14",53,534,32,475.714285714286
"55","2020-05-15",42,576,35.7142857142857,511.428571428571
"56","2020-05-16",32,608,36.1428571428571,547.571428571429
"57","2020-05-17",24,632,37.4285714285714,585
"58","2020-05-18",91,723,47.5714285714286,632.571428571429
"59","2020-05-19",69,792,53.2857142857143,685.857142857143
"60","2020-05-20",112,904,64.1428571428571,750
"61","2020-05-21",98,1002,74.4285714285714,824.428571428571
"62","2020-05-22",79,1081,78.1428571428571,902.571428571429
"63","2020-05-23",53,1134,79.7142857142857,982.285714285714
"64","2020-05-24",37,1171,80.4285714285714,1062.71428571429
"65","2020-05-25",91,1262,90,1152.71428571429
"66","2020-05-26",81,1343,88.5714285714286,1241.28571428571
"67","2020-05-27",79,1422,90,1331.28571428571
"68","2020-05-28",73,1495,84.4285714285714,1415.71428571429
"69","2020-05-29",63,1558,79.4285714285714,1495.14285714286
"70","2020-05-30",39,1597,73.7142857142857,1568.85714285714
"71","2020-05-31",60,1657,74.7142857142857,1643.57142857143
"72","2020-06-01",97,1754,83.2857142857143,1726.85714285714
"73","2020-06-02",64,1818,79.4285714285714,1806.28571428571
"74","2020-06-03",74,1892,78.4285714285714,1884.71428571429
"75","2020-06-04",75,1967,77.8571428571429,1962.57142857143
"76","2020-06-05",72,2039,77.7142857142857,2040.28571428571
"77","2020-06-06",60,2099,77.2857142857143,2117.57142857143
"78","2020-06-07",38,2137,77.1428571428571,2194.71428571429
"79","2020-06-08",76,2213,79.4285714285714,2274.14285714286
"80","2020-06-09",70,2283,75.5714285714286,2349.71428571429
"81","2020-06-10",79,2362,77.7142857142857,2427.42857142857
"82","2020-06-11",74,2436,77.7142857142857,2505.14285714286
"83","2020-06-12",87,2523,79.4285714285714,2584.57142857143
"84","2020-06-13",42,2565,75.1428571428571,2659.71428571429
"85","2020-06-14",44,2609,72.8571428571429,2732.57142857143
"86","2020-06-15",65,2674,76.7142857142857,2809.28571428571
"87","2020-06-16",78,2752,77,2886.28571428571
"88","2020-06-17",52,2804,74.4285714285714,2960.71428571429
"89","2020-06-18",39,2843,68.7142857142857,3029.42857142857
"90","2020-06-19",87,2930,70.5714285714286,3100
"91","2020-06-20",23,2953,61.4285714285714,3161.42857142857
"92","2020-06-21",17,2970,57.8571428571429,3219.28571428571
"93","2020-06-22",77,3047,62.5714285714286,3281.85714285714
"94","2020-06-23",57,3104,61.4285714285714,3343.28571428571
"95","2020-06-24",37,3141,55.5714285714286,3398.85714285714
"96","2020-06-25",48,3189,55,3453.85714285714
"97","2020-06-26",60,3249,58,3511.85714285714
"98","2020-06-27",89,3338,58.2857142857143,3570.14285714286
"99","2020-06-28",124,3462,72.7142857142857,3642.85714285714
"100","2020-06-29",104,3566,85.1428571428571,3728
"101","2020-06-30",103,3669,88.8571428571429,3816.85714285714
"102","2020-07-01",126,3795,98.7142857142857,3915.57142857143
"103","2020-07-02",133,3928,112.428571428571,4028
"104","2020-07-03",152,4080,127.285714285714,4155.28571428571
"105","2020-07-04",121,4201,136,4291.28571428571
"106","2020-07-05",82,4283,135,4426.28571428571
"107","2020-07-06",36,4319,122.428571428571,4548.71428571429
"108","2020-07-07",30,4349,111.857142857143,4660.57142857143
"109","2020-07-08",8,4357,98.2857142857143,4758.85714285714
