"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-03-28",1,1,0,0
"2","2020-04-09",1,2,0,0
"3","2020-04-14",1,3,0,0
"4","2020-04-18",1,4,0,0
"5","2020-04-19",1,5,0,0
"6","2020-04-21",2,7,0,0
"7","2020-04-22",1,8,0,0
"8","2020-04-25",1,9,1.28571428571429,5.57142857142857
"9","2020-04-26",1,10,1.28571428571429,6.85714285714286
"10","2020-04-27",3,13,1.57142857142857,8.42857142857143
"11","2020-04-28",1,14,1.57142857142857,10
"12","2020-04-29",1,15,1.57142857142857,11.5714285714286
"13","2020-04-30",2,17,1.71428571428571,13.2857142857143
"14","2020-05-02",3,20,1.85714285714286,15.1428571428571
"15","2020-05-03",2,22,2,17.1428571428571
"16","2020-05-04",1,23,2,19.1428571428571
"17","2020-05-05",1,24,2,21.1428571428571
"18","2020-05-06",3,27,2,23.1428571428571
"19","2020-05-07",2,29,2.14285714285714,25.2857142857143
"20","2020-05-08",2,31,2.28571428571429,27.5714285714286
"21","2020-05-09",1,32,2.14285714285714,29.7142857142857
"22","2020-05-10",2,34,2,31.7142857142857
"23","2020-05-11",2,36,2,33.7142857142857
"24","2020-05-12",2,38,2.14285714285714,35.8571428571429
"25","2020-05-13",5,43,2.71428571428571,38.5714285714286
"26","2020-05-14",6,49,3.14285714285714,41.7142857142857
"27","2020-05-15",9,58,4.14285714285714,45.8571428571429
"28","2020-05-16",5,63,4.57142857142857,50.4285714285714
"29","2020-05-17",7,70,5.42857142857143,55.8571428571429
"30","2020-05-18",10,80,6.57142857142857,62.4285714285714
"31","2020-05-19",5,85,7,69.4285714285714
"32","2020-05-20",16,101,9,78.4285714285714
"33","2020-05-21",9,110,9.57142857142857,88
"34","2020-05-22",7,117,9.71428571428571,97.7142857142857
"35","2020-05-23",17,134,10.8571428571429,108.571428571429
"36","2020-05-24",14,148,12.1428571428571,120.714285714286
"37","2020-05-25",22,170,14.2857142857143,135
"38","2020-05-26",15,185,15,150
"39","2020-05-27",17,202,16.7142857142857,166.714285714286
"40","2020-05-28",15,217,16.5714285714286,183.285714285714
"41","2020-05-29",15,232,17.4285714285714,200.714285714286
"42","2020-05-30",11,243,18,218.714285714286
"43","2020-05-31",19,262,18.2857142857143,237
"44","2020-06-01",14,276,18.2857142857143,255.285714285714
"45","2020-06-02",18,294,17.7142857142857,273
"46","2020-06-03",4,298,16.1428571428571,289.142857142857
"47","2020-06-04",8,306,14.8571428571429,304
"48","2020-06-05",15,321,14.8571428571429,318.857142857143
"49","2020-06-06",4,325,13.2857142857143,332.142857142857
"50","2020-06-07",14,339,13.7142857142857,345.857142857143
"51","2020-06-08",13,352,12.8571428571429,358.714285714286
"52","2020-06-09",8,360,12,370.714285714286
"53","2020-06-10",17,377,11.8571428571429,382.571428571429
"54","2020-06-11",13,390,13.1428571428571,395.714285714286
"55","2020-06-12",9,399,13.2857142857143,409
"56","2020-06-13",18,417,13.7142857142857,422.714285714286
"57","2020-06-14",14,431,15.1428571428571,437.857142857143
"58","2020-06-15",6,437,14,451.857142857143
"59","2020-06-16",11,448,13.7142857142857,465.571428571429
"60","2020-06-17",9,457,13.8571428571429,479.428571428571
"61","2020-06-18",9,466,12.7142857142857,492.142857142857
"62","2020-06-19",11,477,12.4285714285714,504.571428571429
"63","2020-06-20",6,483,12,516.571428571429
"64","2020-06-21",6,489,10.2857142857143,526.857142857143
"65","2020-06-22",12,501,10,536.857142857143
"66","2020-06-23",4,505,9.71428571428571,546.571428571429
"67","2020-06-24",4,509,8.71428571428571,555.285714285714
"68","2020-06-25",3,512,7.85714285714286,563.142857142857
"69","2020-06-26",6,518,7.42857142857143,570.571428571429
"70","2020-06-27",4,522,6.42857142857143,577
"71","2020-06-28",10,532,7,584
"72","2020-06-29",3,535,6.57142857142857,590.571428571429
"73","2020-06-30",9,544,6.14285714285714,596.714285714286
"74","2020-07-01",5,549,6.28571428571429,603
"75","2020-07-02",5,554,6.42857142857143,609.428571428571
"76","2020-07-03",6,560,6.85714285714286,616.285714285714
"77","2020-07-04",8,568,7.14285714285714,623.428571428571
"78","2020-07-05",1,569,6.71428571428571,630.142857142857
"79","2020-07-06",4,573,5.85714285714286,636
"80","2020-07-07",6,579,6.28571428571429,642.285714285714
"81","2020-07-08",5,584,5.71428571428571,648
"82","2020-07-09",3,587,5.42857142857143,653.428571428571
"83","9999-99-99",3770,4357,543.285714285714,1196.71428571429
