"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-04-10",1,1,0,0
"2","2020-04-13",1,2,0,0
"3","2020-04-17",1,3,0,0
"4","2020-04-19",1,4,0,0
"5","2020-04-22",1,5,0,0
"6","2020-04-27",1,6,0,0
"7","2020-04-28",1,7,0,0
"8","2020-04-30",1,8,1.14285714285714,5.14285714285714
"9","2020-05-04",1,9,1.14285714285714,6.28571428571429
"10","2020-05-06",3,12,1.42857142857143,7.71428571428571
"11","2020-05-07",3,15,1.71428571428571,9.42857142857143
"12","2020-05-08",1,16,1.71428571428571,11.1428571428571
"13","2020-05-10",1,17,1.71428571428571,12.8571428571429
"14","2020-05-13",1,18,1.71428571428571,14.5714285714286
"15","2020-05-14",1,19,1.71428571428571,16.2857142857143
"16","2020-05-15",1,20,1.71428571428571,18
"17","2020-05-16",1,21,1.71428571428571,19.7142857142857
"18","2020-05-17",3,24,1.71428571428571,21.4285714285714
"19","2020-05-21",2,26,1.57142857142857,23
"20","2020-05-22",1,27,1.57142857142857,24.5714285714286
"21","2020-05-24",4,31,2,26.5714285714286
"22","2020-05-26",1,32,2,28.5714285714286
"23","2020-05-27",4,36,2.42857142857143,31
"24","2020-05-28",2,38,2.57142857142857,33.5714285714286
"25","2020-05-29",3,41,2.85714285714286,36.4285714285714
"26","2020-05-30",2,43,2.71428571428571,39.1428571428571
"27","2020-05-31",1,44,2.57142857142857,41.7142857142857
"28","2020-06-01",2,46,2.71428571428571,44.4285714285714
"29","2020-06-02",3,49,2.57142857142857,47
"30","2020-06-03",4,53,3,50
"31","2020-06-04",3,56,2.85714285714286,52.8571428571429
"32","2020-06-05",1,57,2.71428571428571,55.5714285714286
"33","2020-06-06",4,61,2.85714285714286,58.4285714285714
"34","2020-06-07",3,64,3,61.4285714285714
"35","2020-06-08",2,66,3.14285714285714,64.5714285714286
"36","2020-06-09",4,70,3.42857142857143,68
"37","2020-06-10",5,75,3.71428571428571,71.7142857142857
"38","2020-06-11",2,77,3.42857142857143,75.1428571428571
"39","2020-06-12",7,84,4,79.1428571428571
"40","2020-06-13",2,86,4.14285714285714,83.2857142857143
"41","2020-06-14",2,88,3.85714285714286,87.1428571428571
"42","2020-06-15",3,91,3.85714285714286,91
"43","2020-06-16",4,95,4.14285714285714,95.1428571428571
"44","2020-06-17",3,98,4,99.1428571428571
"45","2020-06-18",5,103,4,103.142857142857
"46","2020-06-19",3,106,4.14285714285714,107.285714285714
"47","2020-06-20",2,108,3.42857142857143,110.714285714286
"48","2020-06-21",4,112,3.71428571428571,114.428571428571
"49","2020-06-22",1,113,3.57142857142857,118
"50","2020-06-23",2,115,3.42857142857143,121.428571428571
"51","2020-06-24",5,120,3.57142857142857,125
"52","2020-06-25",1,121,3.28571428571429,128.285714285714
"53","2020-06-26",8,129,3.71428571428571,132
"54","2020-06-27",2,131,3.57142857142857,135.571428571429
"55","2020-06-28",1,132,3.42857142857143,139
"56","2020-06-29",1,133,3,142
"57","2020-06-30",1,134,3,145
"58","2020-07-01",2,136,3,148
"59","2020-07-02",3,139,2.71428571428571,150.714285714286
"60","2020-07-03",4,143,3.14285714285714,153.857142857143
"61","2020-07-04",6,149,2.85714285714286,156.714285714286
"62","2020-07-05",2,151,2.85714285714286,159.571428571429
"63","2020-07-06",2,153,3,162.571428571429
"64","2020-07-07",5,158,3.57142857142857,166.142857142857
"65","2020-07-08",4,162,4,170.142857142857
"66","2020-07-09",1,163,3.85714285714286,174
"67","9999-99-99",2209,2372,319,493
