"","FECHA_INGRESO","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-02-27",1,1,0,0
"2","2020-02-28",1,2,0,0
"3","2020-03-02",1,3,0,0
"4","2020-03-04",1,4,0,0
"5","2020-03-05",1,5,0,0
"6","2020-03-07",1,6,0,0
"7","2020-03-08",3,9,0,0
"8","2020-03-10",1,10,1.42857142857143,5.71428571428571
"9","2020-03-11",8,18,2.42857142857143,8.14285714285714
"10","2020-03-12",12,30,4,12.1428571428571
"11","2020-03-13",22,52,7,19.1428571428571
"12","2020-03-14",12,64,8.57142857142857,27.7142857142857
"13","2020-03-15",11,75,10,37.7142857142857
"14","2020-03-16",25,100,13.4285714285714,51.1428571428571
"15","2020-03-17",19,119,15.7142857142857,66.8571428571429
"16","2020-03-18",23,142,18.8571428571429,85.7142857142857
"17","2020-03-19",29,171,21.8571428571429,107.571428571429
"18","2020-03-20",15,186,22.2857142857143,129.857142857143
"19","2020-03-21",12,198,20.8571428571429,150.714285714286
"20","2020-03-22",8,206,20.2857142857143,171
"21","2020-03-23",27,233,22.5714285714286,193.571428571429
"22","2020-03-24",29,262,23.1428571428571,216.714285714286
"23","2020-03-25",27,289,24.2857142857143,241
"24","2020-03-26",37,326,26.2857142857143,267.285714285714
"25","2020-03-27",41,367,28,295.285714285714
"26","2020-03-28",39,406,31.4285714285714,326.714285714286
"27","2020-03-29",25,431,33.2857142857143,360
"28","2020-03-30",80,511,43.5714285714286,403.571428571429
"29","2020-03-31",40,551,45.4285714285714,449
"30","2020-04-01",62,613,50.1428571428571,499.142857142857
"31","2020-04-02",72,685,56.5714285714286,555.714285714286
"32","2020-04-03",65,750,60.5714285714286,616.285714285714
"33","2020-04-04",45,795,61.1428571428571,677.428571428571
"34","2020-04-05",51,846,62.8571428571429,740.285714285714
"35","2020-04-06",114,960,75.5714285714286,815.857142857143
"36","2020-04-07",106,1066,79.2857142857143,895.142857142857
"37","2020-04-08",116,1182,90.1428571428571,985.285714285714
"38","2020-04-09",98,1280,95.2857142857143,1080.57142857143
"39","2020-04-10",120,1400,102.142857142857,1182.71428571429
