"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.75914027520468,0.556288999338221,0.843576139062782,0.954404967107821,1.35909185779404,1.70086252882037,2.09581263690348,2.76276787389492,3.00545658453474
"2",3,9,2.55847431832009,0.620521167933168,1.49040557315095,1.63022075964534,2.11721874354206,2.50848679949204,2.94531405340564,3.65729143290531,3.91040188625484
"3",4,10,2.90486585557866,0.548968046133143,1.93026226505143,2.06459593568748,2.51820772237808,2.870358265212,3.25393835965094,3.86286593165252,4.07548347606288
"4",5,11,3.19622379286534,0.456603398980763,2.36458395742353,2.48404619526643,2.87756205138548,3.17450726554281,3.49122322817074,3.98248619033461,4.15124477648815
"5",6,12,2.30865492259165,0.298046068911241,1.76174692080992,1.84124151184276,2.10125429337248,2.29584180661735,2.50209314707271,2.81977876308408,2.92836336813334
"6",7,13,1.93633932749464,0.231436816160091,1.50947150004307,1.57202174206658,1.77562338780799,1.92712651064504,2.0870155255981,2.33208496033099,2.41555332808111
"7",8,14,2.01959051075293,0.210556865992438,1.62807499417478,1.68617671390761,1.87386803045023,2.01227788582478,2.15734335157964,2.37794971327074,2.4526573389612
"8",9,15,1.86391274673402,0.177717107362889,1.53190959370165,1.58153945452566,1.74116626374579,1.8582675792087,1.98050660321356,2.16554310418587,2.22799322253527
"9",10,16,1.6970573030137,0.151789419650044,1.41261555233218,1.45533912194543,1.59236081796566,1.69253396855843,1.79682371156564,1.95420561145246,2.00720218347565
"10",11,17,1.61758003151444,0.135744300799989,1.36247417387778,1.40096171180331,1.52407068341748,1.61378448398286,1.70695243931512,1.84714576679253,1.89425374794495
"11",12,18,1.3171284120514,0.113360364548704,1.10432633222156,1.13637636953501,1.2389994646111,1.31387767455972,1.39171426316477,1.50896942883723,1.54840243069186
"12",13,19,1.23412244259255,0.10621634816315,1.034731236583,1.06476146747966,1.16091721326943,1.23107656790276,1.30400786296361,1.41387356029596,1.45082147829873
"13",14,20,1.15789279594791,0.1007816318833,0.968799327107265,0.997256404683935,1.08841752768905,1.15497014054362,1.22418256912346,1.32849901066188,1.36359387963659
"14",15,21,1.14815790082404,0.0991857358103666,0.961995689491593,0.990026299346703,1.07979313758103,1.14530305315511,1.21341106644973,1.31602801287051,1.35054244155909
"15",16,22,1.20263256837809,0.100219380698174,1.01423200196301,1.04266907548271,1.13360448229367,1.19984984522451,1.2686276306,1.37208851381147,1.40684572945766
"16",17,23,1.17765585513974,0.0968027149895986,0.995571295810163,1.02307992492675,1.11099874374493,1.17500454172216,1.24142315961234,1.34127596290479,1.37480632008853
"17",18,24,1.19018919669453,0.0952913993727271,1.01074927968358,1.03790452256793,1.12460561694743,1.18764702570228,1.25300190687934,1.35114572543715,1.38407488861731
"18",19,25,1.32549597949849,0.0982522989040292,1.13991307533837,1.16813044154808,1.25796940797525,1.32306912321383,1.39037731272135,1.49113997116721,1.52486954818749
"19",20,26,1.38938188206476,0.0961055543657661,1.20739173080405,1.23517087701978,1.32340873327934,1.38716659139125,1.45294035543193,1.55114962373977,1.58396058498906
"20",21,27,1.34542663762311,0.0894964486670175,1.17572166685418,1.20167943477769,1.28402954069375,1.34344275372283,1.40466127499344,1.49594119624963,1.52640522557332
"21",22,28,1.51300494679125,0.090581236812149,1.3406598187535,1.36715818999555,1.4509636575244,1.51119767897077,1.57307625117408,1.66501656585234,1.69562016306323
"22",23,29,1.36296331622638,0.0800359617744942,1.2105935339243,1.23404146106488,1.30816006325222,1.36139701225571,1.41605923781715,1.4972280659628,1.52423388651208
"23",24,30,1.38782300318559,0.0769825692192936,1.24102430750499,1.26367169250959,1.33515244994746,1.38639985480764,1.43894225650177,1.51682887417633,1.54270901897075
"24",25,31,1.38943119625734,0.0732294538710935,1.24959389963881,1.27121323824203,1.33936255912286,1.3881448978765,1.43809769660659,1.51203689308936,1.53657816370284
"25",26,32,1.33666848705984,0.0682115780948871,1.20630311494405,1.22648394102725,1.29004996006081,1.33550836378301,1.3820224099652,1.45081036789443,1.47362652697883
"26",27,33,1.2451712131988,0.0630516953182877,1.1246434095791,1.1433069909171,1.20208335853376,1.24410712615928,1.28709914794195,1.35066517714897,1.37174593964573
"27",28,34,1.25432726596058,0.0614984538996585,1.13667329135237,1.15491428058847,1.21231760160949,1.25332233933396,1.29524149470677,1.35716818615534,1.37769198213942
"28",29,35,1.27527367885393,0.0601169777457554,1.16015327715151,1.1780272019606,1.23422697945267,1.27432915618333,1.31529078248456,1.37574204181943,1.39576157420406
"29",30,36,1.36170283012207,0.0599456245463572,1.24673068389337,1.26462397319101,1.32080497831433,1.36082327822497,1.40164190240612,1.46178194518927,1.48167327481039
"30",31,37,1.36183657500486,0.0570410571895361,1.25231799963873,1.26939017691236,1.32294121597238,1.36104026219617,1.39986388778546,1.45699929002511,1.47588043005981
"31",32,38,1.2899271499674,0.0528374748198723,1.18843252475396,1.20426495933958,1.25390651325387,1.28920578597627,1.32516143936341,1.37804999728765,1.39552114033465
"32",33,39,1.30819197764857,0.0512720860264677,1.20961717937983,1.22501469447778,1.2732540824576,1.30752220149461,1.34239975815081,1.39365394370288,1.41057298469116
"33",34,40,1.29663103013598,0.049043089697568,1.20227717129264,1.21703059299064,1.2632235857303,1.29601275591187,1.32936449978923,1.37834047005123,1.39449842690365
"34",35,41,1.27036294337802,0.0466994705668822,1.18047033781638,1.19453743256594,1.23856049846756,1.26979075366522,1.30154164864825,1.34814025671678,1.36350720038138
"35",36,42,1.32016931690894,0.0459902773772635,1.23155697105162,1.2454437769899,1.28886512940779,1.31963530625652,1.35089138157808,1.39671642504603,1.41181635474971
"36",37,43,1.38537005567962,0.0451377955278074,1.29830268220947,1.31197043887033,1.35466377228908,1.38487986358084,1.41554198074595,1.46044176955176,1.47522311308094
"37",38,44,1.39606600977677,0.0429609616622475,1.31312314813465,1.32616105417456,1.36685409214787,1.39562535711261,1.42479757071069,1.46747407729996,1.48151303423249
"38",39,45,1.41010076111213,0.0408939648816522,1.33107918917773,1.34351712485738,1.38230696005493,1.40970546241274,1.43746364487957,1.47803280147082,1.49136875910972
"39",40,46,1.3654621764477,0.0380618945007093,1.29187215899949,1.30346488252899,1.33960069337381,1.36510853767883,1.39093815536858,1.42866576780556,1.44106187415051
"40",41,47,1.31013920734086,0.0355261372568281,1.24142612900094,1.25225668655521,1.28600537919958,1.30981810878563,1.3339230033042,1.36911702738427,1.38067704536051
"41",42,48,1.27709447732857,0.0337247276526624,1.21184274434792,1.22213314071315,1.25418857965609,1.27679762895835,1.29967677785945,1.33306839319805,1.34403316027544
"42",43,49,1.30850970271409,0.0329818174283162,1.2446574897054,1.25473615759864,1.28611534035001,1.30823260393657,1.33060199670702,1.36322845895841,1.37393663260502
"43",44,50,1.28776481823703,0.0314275993459352,1.22689749309657,1.23651071710275,1.26643017534726,1.28750916619067,1.30882077180756,1.33989097341527,1.35008498196185
"44",45,51,1.27522202917099,0.0301242888890856,1.21685638371068,1.22607983541469,1.25477627991784,1.27498483053808,1.29540920515985,1.32517333042197,1.33493564541671
"45",46,52,1.24101232816867,0.0286829075813788,1.18542537257213,1.19421302657058,1.22154743823047,1.24079135718656,1.26023633467671,1.28856538308064,1.29785503517691
"46",47,53,1.2781060921729,0.028242421401603,1.22334540849732,1.2320089351063,1.25894517720642,1.27789807311311,1.29704024252759,1.32491282212916,1.33404892373564
"47",48,54,1.21859062414413,0.0265854983790208,1.16703551525457,1.1751935862736,1.20055515398815,1.21839729457924,1.23641534285973,1.26264712759145,1.27124440241759
"48",49,55,1.1840203611065,0.025499683648905,1.13456406814933,1.14239164045815,1.16672276171636,1.18383730795067,1.20111841146574,1.2262734934813,1.23451692397235
"49",50,56,1.17756118011242,0.0248860765872963,1.12928539923958,1.13692840020055,1.16068158766138,1.17738587417097,1.19424966881128,1.21879194521219,1.2268332045874
"50",51,57,1.1906232178231,0.0244930284226278,1.14309676528908,1.15062425058596,1.17401265009238,1.19045526841489,1.20705070117244,1.23119507634609,1.23910410790564
"51",52,58,1.16331999761326,0.0236283222893791,1.1174655547755,1.12472961253944,1.14729693956412,1.16316002902775,1.1791686712618,1.20245605060311,1.21008352400643
"52",53,59,1.1533077708431,0.0230569344868846,1.10855517594059,1.11564635023612,1.13767348790552,1.15315412303454,1.16877455971271,1.1914932985655,1.19893352917558
"53",54,60,1.06261600022166,0.021722259703407,1.02046328672535,1.02714028782466,1.04788499582933,1.06246798661502,1.07718565255392,1.09859660098948,1.10560985841056
"54",55,61,1.07263026177149,0.0217415127469898,1.03043660064564,1.03712093923514,1.05788686503766,1.07248336994143,1.08721352928569,1.10864064617469,1.11565869273405
"55",56,62,1.07772347093841,0.0216543094045939,1.03569539451828,1.04235436770938,1.06303988490987,1.07757844366296,1.09224896030259,1.1135872758446,1.12057572121433
"56",57,63,1.12314879977517,0.0219132735883783,1.08060594220231,1.08734936687618,1.10829186780453,1.1230062895023,1.13785037882362,1.15943434856063,1.16650152759451
"57",58,64,1.07969527963403,0.0211258706505617,1.03868222872232,1.04518289767571,1.06537198820424,1.07955749622658,1.09386837098742,1.11467765370356,1.12149133851298
"58",59,65,1.09836561985801,0.021106809989884,1.05738252798079,1.06388012124556,1.08405655826679,1.09823042271608,1.1125273006584,1.13331228855517,1.14011702237145
"59",60,66,1.1375300263069,0.0212150443809783,1.09632531587168,1.10286076717553,1.12314971619802,1.13739814148642,1.15176656637223,1.17264915683491,1.17948422401948
"60",61,67,1.19703981521591,0.0213451037952336,1.1555658416336,1.16214795794333,1.18257444214304,1.1969129453423,1.2113668850326,1.23236443736757,1.23923477694307
"61",62,68,1.15323533443056,0.0203547336689759,1.11368214958328,1.11996026408552,1.13944178069463,1.15311558219356,1.16689834396117,1.18691889072391,1.19346905869801
"62",63,69,1.11949383435,0.0196432659115928,1.08132123018316,1.08738067143462,1.10618277339349,1.11937894586406,1.13267965315853,1.15199889250191,1.15831933777928
"63",64,70,1.122448016513,0.0193900541944414,1.08476245431447,1.09074577693051,1.10930947677548,1.12233636544716,1.13546484324926,1.15453110817433,1.16076808012967
"64",65,71,1.16233530348075,0.019434436763707,1.12455320989803,1.13055429999707,1.14916860379388,1.16222698961947,1.17538392806548,1.19448577549469,1.2007329336412
"65",66,72,1.18191390709186,0.019165611485887,1.14464522041199,1.15056695340119,1.16893105202628,1.18181031383317,1.19478383303412,1.21361422687329,1.21977130377221
"66",67,73,1.13989727153605,0.0183496728108764,1.10421316250786,1.10988360791701,1.12746752138423,1.13979881081518,1.152219687639,1.17024679368271,1.17614092289889
"67",68,74,1.15840119776677,0.018171138905444,1.12305716017954,1.12867525836597,1.14609371193738,1.15830618593073,1.17060510921535,1.18845123121151,1.19428517811368
"68",69,75,1.15650891099712,0.0177840283012314,1.12191259360538,1.1274130829098,1.14446459648576,1.15641775527048,1.16845385473029,1.18591567957179,1.19162325732745
"69",70,76,1.12931669977828,0.0172139136065519,1.09582725394669,1.10115228564103,1.11765891020103,1.12922923841292,1.14087914586913,1.15777945259364,1.1633031798862
"70",71,77,1.13393729326377,0.0169755656991321,1.10090714812919,1.10616019495008,1.1224417428785,1.13385258369912,1.14534049994094,1.16200334360051,1.16744883451385
"71",72,78,1.12400058456235,0.0166177028134772,1.09166380602569,1.09680728131715,1.11274792292015,1.12391869122724,1.13516397251683,1.1514732334077,1.15680275489191
"72",73,79,1.1188026841586,0.0163228877256387,1.08703656531265,1.09208999182569,1.10775022256375,1.11872330367252,1.12976861136488,1.14578615052747,1.15101991455545
"73",74,80,1.12170169145605,0.0161033776764935,1.09035918464377,1.09534607311881,1.11079853276927,1.12162463127532,1.13252084515601,1.14832016904808,1.1534821237879
"74",75,81,1.09630976915015,0.0156743687606675,1.06580137814375,1.07065575967345,1.08569724496508,1.09623506919866,1.10684086128263,1.12221858692373,1.12724267273171
"75",76,82,1.05317537930172,0.0151886253002811,1.02361423134466,1.02831746341436,1.04289139720747,1.05310236471507,1.0633797666032,1.07828235455854,1.08315146205038
"76",77,83,1.03255605735373,0.0149755937441096,1.00341069061141,1.00804749417529,1.02241609773408,1.03248365914973,1.04261709411718,1.05731157736761,1.06211285603274
"77",78,84,1.05178352228292,0.0150933979816674,1.02240668550632,1.02708083754977,1.0415642092584,1.05171132495411,1.06192413142144,1.07673247864238,1.08157064946501
"78",79,85,1.03364512700098,0.0148775977415136,1.00468891985495,1.00929600046312,1.02357181213264,1.03357374847489,1.04364063058033,1.05823773215651,1.06300697136988
"79",80,86,1.02524263538051,0.0147704341391153,0.996495189269098,1.00106900998775,1.01524184342216,1.02517170484056,1.03516610441004,1.04965821127009,1.0543931728511
"80",81,87,1.0186708275217,0.0146955949486096,0.990069312149433,0.994619849961299,1.0087206568306,1.0186001609755,1.02854396307036,1.04296285507306,1.04767393399952
"81",82,88,0.997423155170738,0.0145242109480054,0.96915707200436,0.973653796531588,0.98758867553494,0.997352656823198,1.00718078302824,1.02143299006488,1.02608987356616
"82",83,89,1.00952987228495,0.0146431754916051,0.981031476245559,0.985565346690604,0.999614988753992,1.00945907368163,1.01936757671927,1.03373589833191,1.03843060988608
"83",84,90,1.01374877054235,0.0146673859479308,0.985202746892444,0.989744315686055,1.00381758944522,1.01367803324601,1.02360283937298,1.03799451672628,1.04269678735779
"84",85,91,1.00248765553894,0.0145624913079133,0.974146583062256,0.978655353968946,0.992627347677386,1.00241714311587,1.01227109627629,1.02656048137557,1.03122944323978
"85",86,92,1.02586218691913,0.0147366007365739,0.997180005395869,1.00174358137598,1.01588441236826,1.02579162359259,1.03576303884635,1.05022149035942,1.05494537296958
"86",87,93,1.03558447218835,0.014750478904905,1.00687357360242,1.01144212441038,1.0255976202974,1.03551443959074,1.0454949800086,1.05996570749473,1.06469335923803
"87",88,94,1.04258358554397,0.0147193567926801,1.01393150603832,1.01849111561865,1.03261813407654,1.04251431630804,1.05247352509166,1.06691233909754,1.07162931542064
"88",89,95,1.05332364934971,0.0147019927075628,1.02470312463216,1.0292582468086,1.04337037431292,1.05325524805819,1.06320235862415,1.07762237487674,1.08233289201624
"89",90,96,1.04137645492498,0.0145041879692172,1.01314058713123,1.01763458685498,1.03155717113382,1.04130911806866,1.05112233331673,1.06534801509525,1.06999499158904
"90",91,97,1.04259249271047,0.0144331975534445,1.01449366606016,1.01896613004769,1.03282148617827,1.04252589116125,1.05229089541381,1.06644603927182,1.07106980956286
"91",92,98,1.05647395060909,0.0144492170845888,1.02834164367245,1.03281998222938,1.04669252871696,1.05640807816621,1.0661835634796,1.08035261583448,1.08498060432834
"92",93,99,1.0530623573972,0.0143118232176625,1.02519637958462,1.02963260085046,1.04337416442748,1.05299752235039,1.06267987223003,1.07671327213532,1.0812967865808
"93",94,100,1.03009448324183,0.0140529868862574,1.00273316753736,1.00708888267677,1.02058137627764,1.03003057833945,1.03953792604273,1.05331806919334,1.05781896438901
"94",95,101,1.02074973823612,0.0139462823677668,0.993596447606821,0.997918982433944,1.01130881378952,1.02068622392799,1.03012142431585,1.04379714707312,1.04826397459582
"95",96,102,1.00176350907209,0.0137941563756311,0.974907812487534,0.979182638806143,0.992425302781499,1.00170019518938,1.01103269548883,1.02456034870702,1.0289790123753
"96",97,103,0.985514383420687,0.0136995969469189,0.95884449300361,0.963089336502927,0.976239870688751,0.985450904960305,0.994719696874911,1.00815596110077,1.01254501581894
"97",98,104,0.981328521623649,0.0137211844498981,0.954617667210452,0.958868778066956,0.972039195495383,0.981264571336797,0.990548134129433,1.00400640538794,1.00840279935202
"98",99,105,0.959503859984979,0.0136199210020163,0.932992889017463,0.937211532508269,0.950282574012332,0.959439416946329,0.968654895185436,0.982016008497029,0.986381054500921
"99",100,106,0.967802245214841,0.0137766316530834,0.940986766719411,0.945253740507757,0.958474760518396,0.967736876040709,0.977058469540384,0.99057373009051,0.994989210391591
"100",101,107,0.971330741998124,0.0138733224556672,0.944327691788875,0.948624362384824,0.961937674435266,0.971264692834592,0.980651807921035,0.994262421286983,0.99870914319608
"101",102,108,0.979428592429386,0.0139875557850664,0.952203178944221,0.956535236147311,0.969958185712836,0.979362006206403,0.988826412045645,1.00254908034537,1.00703240896021
"102",103,109,0.982026971579508,0.0140418582478413,0.954696097706623,0.959044879899556,0.972519755062665,0.981960044906539,0.991461229864935,1.00523735619968,1.00973818323989
"103",104,110,0.987808648206197,0.0141129922919677,0.960339163110457,0.964710037906443,0.978253298860435,0.987741437435387,0.99729072961869,1.01113652052923,1.0156600855915
