"","FECHA_DEF","RESULTADO","RESULTADO_ACUM","RESULTADO7D","RESULTADO_ACUM7D"
"1","2020-04-03",2,2,0,0
"2","2020-04-04",1,3,0,0
"3","2020-04-05",1,4,0,0
"4","2020-04-06",2,6,0,0
"5","2020-04-07",5,11,0,0
"6","2020-04-08",4,15,0,0
"7","2020-04-09",4,19,0,0
"8","2020-04-10",1,20,2.85714285714286,11.4285714285714
"9","2020-04-11",1,21,2.71428571428571,14.1428571428571
"10","2020-04-12",2,23,2.85714285714286,17
"11","2020-04-13",1,24,2.85714285714286,19.8571428571429
"12","2020-04-14",2,26,2.85714285714286,22.7142857142857
"13","2020-04-15",6,32,3,25.7142857142857
"14","2020-04-16",1,33,2.57142857142857,28.2857142857143
"15","2020-04-17",7,40,3,31.2857142857143
"16","2020-04-18",5,45,3.57142857142857,34.8571428571429
"17","2020-04-19",3,48,3.85714285714286,38.7142857142857
"18","2020-04-20",5,53,4.28571428571429,43
"19","2020-04-21",5,58,4.85714285714286,47.8571428571429
"20","2020-04-22",6,64,5.42857142857143,53.2857142857143
"21","2020-04-23",2,66,4.85714285714286,58.1428571428571
"22","2020-04-24",10,76,6.14285714285714,64.2857142857143
"23","2020-04-25",7,83,6.14285714285714,70.4285714285714
"24","2020-04-26",2,85,5.71428571428571,76.1428571428571
"25","2020-04-27",5,90,6,82.1428571428571
"26","2020-04-28",5,95,6,88.1428571428571
"27","2020-04-29",4,99,5.85714285714286,94
"28","2020-04-30",8,107,6.14285714285714,100.142857142857
"29","2020-05-01",9,116,7.14285714285714,107.285714285714
"30","2020-05-02",4,120,6.28571428571429,113.571428571429
"31","2020-05-03",8,128,6.42857142857143,120
"32","2020-05-04",6,134,7,127
"33","2020-05-05",3,137,6.71428571428571,133.714285714286
"34","2020-05-06",8,145,7.14285714285714,140.857142857143
"35","2020-05-07",15,160,8.71428571428571,149.571428571429
"36","2020-05-08",7,167,8.57142857142857,158.142857142857
"37","2020-05-09",9,176,8.57142857142857,166.714285714286
"38","2020-05-10",9,185,9.28571428571429,176
"39","2020-05-11",8,193,9.28571428571429,185.285714285714
"40","2020-05-12",8,201,9.57142857142857,194.857142857143
"41","2020-05-13",11,212,10.7142857142857,205.571428571429
"42","2020-05-14",11,223,11.1428571428571,216.714285714286
"43","2020-05-15",5,228,9.71428571428571,226.428571428571
"44","2020-05-16",1,229,8.85714285714286,235.285714285714
"45","2020-05-17",5,234,8.28571428571429,243.571428571429
"46","2020-05-18",10,244,8.42857142857143,252
"47","2020-05-19",14,258,9.28571428571429,261.285714285714
"48","2020-05-20",6,264,9,270.285714285714
"49","2020-05-21",2,266,7.71428571428571,278
"50","2020-05-22",8,274,7.28571428571429,285.285714285714
"51","2020-05-23",12,286,8.28571428571429,293.571428571429
"52","2020-05-24",2,288,8.42857142857143,302
"53","2020-05-25",8,296,8.85714285714286,310.857142857143
"54","2020-05-26",10,306,8.85714285714286,319.714285714286
"55","2020-05-27",4,310,7.42857142857143,327.142857142857
"56","2020-05-28",7,317,7.57142857142857,334.714285714286
"57","2020-05-29",8,325,8.42857142857143,343.142857142857
"58","2020-05-30",6,331,8.14285714285714,351.285714285714
"59","2020-05-31",5,336,7.14285714285714,358.428571428571
"60","2020-06-01",8,344,8,366.428571428571
"61","2020-06-02",10,354,8.28571428571429,374.714285714286
"62","2020-06-03",7,361,7.85714285714286,382.571428571429
"63","2020-06-04",2,363,7.57142857142857,390.142857142857
"64","2020-06-05",9,372,7.85714285714286,398
"65","2020-06-06",13,385,8.57142857142857,406.571428571429
"66","2020-06-07",13,398,9.57142857142857,416.142857142857
"67","2020-06-08",11,409,10.4285714285714,426.571428571429
"68","2020-06-09",6,415,10.1428571428571,436.714285714286
"69","2020-06-10",6,421,9.57142857142857,446.285714285714
"70","2020-06-11",7,428,9.57142857142857,455.857142857143
"71","2020-06-12",7,435,10.2857142857143,466.142857142857
"72","2020-06-13",7,442,10,476.142857142857
"73","2020-06-14",8,450,9.28571428571429,485.428571428571
"74","2020-06-15",9,459,8.71428571428571,494.142857142857
"75","2020-06-16",8,467,8.28571428571429,502.428571428571
"76","2020-06-17",8,475,8.57142857142857,511
"77","2020-06-18",5,480,8.42857142857143,519.428571428571
"78","2020-06-19",2,482,7.71428571428571,527.142857142857
"79","2020-06-20",5,487,7.42857142857143,534.571428571429
"80","2020-06-21",2,489,6.71428571428571,541.285714285714
"81","2020-06-22",8,497,6.71428571428571,548
"82","2020-06-23",5,502,6.14285714285714,554.142857142857
"83","2020-06-24",5,507,5.71428571428571,559.857142857143
"84","2020-06-25",4,511,5.14285714285714,565
"85","2020-06-26",4,515,5,570
"86","2020-06-27",1,516,4.85714285714286,574.857142857143
"87","2020-06-28",5,521,4.85714285714286,579.714285714286
"88","2020-06-29",6,527,5.42857142857143,585.142857142857
"89","2020-06-30",7,534,5.28571428571429,590.428571428571
"90","2020-07-01",1,535,4.71428571428571,595.142857142857
"91","2020-07-02",1,536,4.14285714285714,599.285714285714
"92","2020-07-03",3,539,4,603.285714285714
"93","2020-07-04",3,542,3.85714285714286,607.142857142857
"94","2020-07-05",1,543,3.85714285714286,611
"95","2020-07-06",6,549,4,615
"96","2020-07-07",5,554,3.85714285714286,618.857142857143
"97","2020-07-08",2,556,3.14285714285714,622
"98","2020-07-09",4,560,3.57142857142857,625.571428571429
"99","9999-99-99",1830,2390,264.857142857143,890.428571428571
