"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,2.33658271913943,0.433892518209252,1.56484611826731,1.67154110019255,2.03116754540373,2.30978102017117,2.61280464598459,3.09306358737831,3.26056388561039
"2",3,9,1.86489160023983,0.329669374176855,1.27558447403635,1.35772574012073,1.63323736678501,1.84550203156852,2.07542446762012,2.43820767042154,2.56434399232961
"3",4,10,1.61502742833115,0.276974918925136,1.11845344318385,1.18800071584116,1.42060185365276,1.59922171985225,1.79223483251261,2.09597700141265,2.20139017693155
"4",5,11,1.73874741356372,0.268294550650804,1.25313619764674,1.32219862347852,1.55106295521441,1.72496747081812,1.91141848141993,2.20230658676855,2.30264512314081
"5",6,12,1.69188920237078,0.24169845748154,1.25166894589617,1.31490509060814,1.5232087861803,1.68039377511941,1.84804421267162,2.10808936441133,2.19742003967815
"6",7,13,1.47904161412772,0.207107251571169,1.10124362976187,1.15564596617652,1.33458782680859,1.46938598848052,1.61297444042223,1.83537678870578,1.9116980205594
"7",8,14,1.76284342755346,0.213776166271435,1.36891689929339,1.42655561176761,1.61433501737338,1.75420960930804,1.90194315866975,2.12858419397537,2.20582606148751
"8",9,15,1.48747587278055,0.177787371884196,1.15956041644263,1.20761086634334,1.36401554779481,1.48039868202708,1.60322377197299,1.7914835806465,1.85560311868704
"9",10,16,1.44922303850563,0.165154292886689,1.14370415867075,1.18868137004654,1.33467546437879,1.44295419685538,1.556938880693,1.73114971111949,1.79036135163609
"10",11,17,1.47008199155117,0.157609333038132,1.17747541092485,1.2207933548786,1.36093124213541,1.46445334613975,1.57309847190563,1.73857157169611,1.79467103249138
"11",12,18,1.53065088176699,0.151557020973666,1.24806286920227,1.29017991566939,1.42588525449294,1.52565167121441,1.62996799849064,1.78817545686206,1.84164546220822
"12",13,19,1.39700290594239,0.135053368447733,1.14487759484747,1.18252619657026,1.30369534246736,1.39265329046261,1.48556988421769,1.62631725111671,1.67384379301705
"13",14,20,1.4431563220135,0.130657234269469,1.19845410155485,1.23517636637312,1.35301298407457,1.43921519295302,1.52900416129142,1.66458038310957,1.71025332650431
"14",15,21,1.14077195526858,0.109770832576381,0.935797345906389,0.966416337267259,1.06493970479668,1.13725299261532,1.21276892958525,1.32713163732214,1.36574219069466
"15",16,22,1.25596030602705,0.114178209638823,1.04216255888471,1.07423735069162,1.1771794345753,1.25250205989118,1.33097198658194,1.4494801452915,1.48940892159084
"16",17,23,1.24432641400516,0.110416114330589,1.03733886662193,1.06844640433059,1.16817954302957,1.24106199371462,1.31691531464049,1.43134209990732,1.46986354105466
"17",18,24,1.18971384813125,0.104748463585531,0.993280367329626,1.02281816847381,1.11748713785324,1.18664106834668,1.25859145197955,1.36709146825291,1.40360796721815
"18",19,25,1.25522924699148,0.105336498446404,1.05726912919466,1.08713515270362,1.18266673613474,1.25228393227619,1.32458152506111,1.43337043284575,1.46992585177849
"19",20,26,1.28345010271235,0.103089193018046,1.08935230549818,1.11871974869178,1.21249545208667,1.2806910526898,1.35139749683936,1.4575921311952,1.49322607215711
"20",21,27,1.25884896692619,0.0982995894072239,1.07355532243936,1.10164051201673,1.19122650924558,1.25629125740352,1.32368359798585,1.4247822673406,1.4586767410688
"21",22,28,1.29947711703729,0.0965893734275964,1.1170544014669,1.14478679279831,1.23309021255754,1.29708475826992,1.3632563868868,1.46232821889514,1.49549445899243
"22",23,29,1.23331227406766,0.0904308434562235,1.06243245844499,1.08843069158864,1.17117304899993,1.23110274257765,1.29304313498389,1.3857309707477,1.41674782009829
"23",24,30,1.18867252266545,0.0862353684352136,1.02565557662849,1.05047269701503,1.12942714663228,1.1865877839393,1.24564555114811,1.33398376750275,1.36353607742457
"24",25,31,1.21039960510149,0.085163419029192,1.04922818818681,1.07380661120183,1.15192122262017,1.20840283302722,1.26670150682689,1.35380393705046,1.38291780184776
"25",26,32,1.15461974220345,0.0810384190674734,1.00124122746147,1.02463443088618,1.0989761447176,1.15272436932656,1.20819738282498,1.29107050039224,1.31876883294909
"26",27,33,1.07644571652679,0.0768889797519137,0.931013393898328,0.953173003296411,1.02363558430754,1.07461558106074,1.12726100898268,1.20596134616031,1.23227787623619
"27",28,34,1.01762962843521,0.0744164485249406,0.876996725342222,0.898396402666611,0.966497024835414,1.0158162478338,1.06678566649326,1.14304862467417,1.16856712613129
"28",29,35,1.05379777273946,0.0760513034703196,0.910004526985761,0.93190163112631,1.00155376380908,1.05196882845512,1.10404824530619,1.18193277086407,1.20798407260399
"29",30,36,1.15443913244317,0.0792872051384149,1.00425925662322,1.02719168103443,1.10001760892338,1.15262448482977,1.20688267986274,1.28787665607946,1.31493088522313
"30",31,37,1.09364936749932,0.0754689762507828,0.950725574661845,0.972544416349547,1.04184456522631,1.09191390683713,1.14356250990555,1.22067427207216,1.24643504563365
"31",32,38,1.02267979040137,0.07213427065868,0.886178217963741,0.906991664951589,0.973145943306078,1.02098430493897,1.07036556010372,1.14415151342176,1.16881606000105
"32",33,39,1.0358171888206,0.0727001144677686,0.898220284698445,0.919206485889368,0.985898940745557,1.03411683697891,1.08388205300379,1.15822808791871,1.1830764496047
"33",34,40,1.05742813761231,0.0733194494284534,0.918598673482243,0.93978697222836,1.0070948612524,1.05573402487668,1.10591482553125,1.18084821293599,1.20588451875478
