"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.69644729921881,0.389191702123015,1.02137209360013,1.11090085224023,1.42030877435349,1.66677968282807,1.94028512356448,2.38322008717299,2.54000663550905
"2",3,9,1.37817894771568,0.324839893206098,0.816796188834676,0.89078630812407,1.14745031625566,1.35274284965183,1.5812159275746,1.95236122684164,2.08400922372171
"3",4,10,1.29255060685296,0.304657099710837,0.766047407198711,0.835440408555425,1.07615749396561,1.26869489200338,1.48297259230356,1.83105807321543,1.9545265810898
"4",5,11,1.37731991669354,0.30797809604911,0.841302786882677,0.912794781761828,1.15902486498012,1.35443384718116,1.57069610193832,1.91993160088388,2.04331287847212
"5",6,12,1.52794084567934,0.311889619089251,0.978980530458947,1.05358134204103,1.30764446004028,1.50677264339696,1.72518416164645,2.07452249483528,2.19713391880078
"6",7,13,1.34020768106458,0.273568747330576,0.85869634956346,0.924131199988911,1.14697840194745,1.32164034753632,1.51321634684197,1.81963260553019,1.92717915921353
"7",8,14,1.45244037506091,0.27448543046861,0.965136081183596,1.03230326089595,1.25911031717624,1.43518649140967,1.62697752202228,1.93144286914472,2.0377521864424
"8",9,15,1.3955726801583,0.254795545853548,0.94158702689403,1.00453224883666,1.21633036275876,1.38009732069522,1.55795828664798,1.83941002035062,1.93746598965485
"9",10,16,1.2693342692987,0.231747670769746,0.856414501198247,0.91366592811163,1.10630555770344,1.25525875436817,1.41703106652665,1.67302370368673,1.76220988790829
"10",11,17,1.68354255872018,0.259776256614275,1.21334939402557,1.28021910275339,1.50181704138711,1.67020012618054,1.8507313574657,2.13238382829592,2.22953663780962
"11",12,18,1.63437397375911,0.233481996251301,1.20911886314343,1.27020531547925,1.47142779399848,1.62326932985539,1.78522054476988,2.03642554531605,2.12271945304348
"12",13,19,1.65828869410624,0.215890799177504,1.2623661869292,1.31986130591382,1.50802219838582,1.64892929977293,1.79835636137344,2.02864459585218,2.10738839852949
"13",14,20,1.53609818289911,0.190529530418857,1.18552814767492,1.2367035630143,1.4036594627577,1.52822797841087,1.65996050853922,1.86234089627645,1.93138519274682
"14",15,21,1.42204904990419,0.171194588002523,1.10643904183775,1.15265284634683,1.30314453727519,1.41518517897857,1.53347364061107,1.71486027362347,1.77665868541854
"15",16,22,1.32190041066191,0.156880716133248,1.03241518792955,1.07486439218007,1.21297834423492,1.31569951196302,1.42406496527788,1.5900897786865,1.64661852220191
"16",17,23,1.35114355980507,0.152986882259965,1.06802291511961,1.10972817907328,1.24505222587173,1.34537384937791,1.45094708598991,1.61224123303456,1.66704765382389
"17",18,24,1.40034527925899,0.149277308341608,1.12311786246609,1.16417973074932,1.29697891711883,1.39504452785847,1.49793470327829,1.65459321733982,1.70769208381357
"18",19,25,1.37738991660011,0.140579269688539,1.11569025465677,1.15459703949696,1.28014572883665,1.37261027618506,1.46942497343099,1.61648744358447,1.66624829060318
"19",20,26,1.35427903374633,0.132797984998503,1.10654410775154,1.14349544677284,1.26250077123071,1.34994087780525,1.4413292309089,1.57986118583102,1.62666433520054
"20",21,27,1.16682915329375,0.117867543825739,0.947288308240299,0.979955341995658,1.08531484047796,1.16286275548136,1.24402063258016,1.36723340845914,1.4089077916868
"21",22,28,1.19122920338678,0.117375301110132,0.972319884870686,1.00495905398476,1.11010098319056,1.18737631853541,1.26815825433863,1.39064253982779,1.43203145211467
"22",23,29,1.21197621126589,0.116086267221321,0.995158581085561,1.02755832194079,1.1317892107775,1.20827188375512,1.28812590047393,1.40903048508954,1.44984277976446
